Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
2460.28 4.48623
2486.44 4.48226
2512.59 4.47833
2538.74 4.47445
2551.82 4.47252
2564.89 4.47060
2573.39 4.46937
2581.89 4.46813
2590.39 4.46691
2598.89 4.46569
2607.39 4.46448
2611.64 4.46389
2615.89 4.46329
2620.14 4.46271
2624.39 4.46213
2628.64 4.46156
2632.89 4.46101
2635.67 4.46066
2638.45 4.46032
2641.23 4.46001
2644.00 4.45972
2646.78 4.45948
2648.17 4.45939
2649.56 4.45931
2650.95 4.45927
2652.34 4.45927
2653.73 4.45933
2655.12 4.45947
2656.26 4.45969
2657.41 4.46004
2657.98 4.46029
2658.55 4.46061
2659.12 4.46103
2659.69 4.46161
2660.27 4.46241
2660.84 4.46357
2661.12 4.46434
2661.41 4.46529
2661.70 4.46645
2661.98 4.46789
2662.27 4.46967
2662.55 4.47187
2662.84 4.47458
2663.13 4.47790
2663.41 4.48196
2663.70 4.48687
2663.98 4.49277
2664.27 4.49981
2664.68 4.51209
2665.09 4.52728
2665.50 4.54561
2665.91 4.56706
2666.31 4.59155
2666.72 4.61849
2667.54 4.67645
2667.91 4.70225
2668.28 4.72634
2668.64 4.74760
2669.01 4.76495
2669.23 4.77292
2669.44 4.77908
2669.66 4.78329
2669.88 4.78547
2670.00 4.78579
2670.32 4.78342
2670.64 4.77657
2670.89 4.76835
2671.14 4.75783
2671.39 4.74526
2671.64 4.73100
2671.96 4.71058
2672.28 4.68858
2672.92 4.64273
2673.24 4.62021
2673.56 4.59868
2673.88 4.57857
2674.20 4.56016
2674.54 4.54276
2674.87 4.52753
2675.21 4.51445
2675.55 4.50343
2675.89 4.49424
2676.22 4.48673
2676.56 4.48062
2676.90 4.47574
2677.24 4.47185
2677.58 4.46878
2677.91 4.46636
2678.25 4.46445
2678.59 4.46294
2678.93 4.46175
2679.26 4.46078
2679.60 4.45999
2680.10 4.45907
2680.60 4.45835
2681.09 4.45777
2681.59 4.45729
2682.59 4.45653
2683.58 4.45593
2684.58 4.45544
2685.57 4.45502
2686.57 4.45466
2687.56 4.45434
2689.55 4.45379
2691.54 4.45332
2693.54 4.45289
2695.53 4.45250
2697.94 4.45206
2700.36 4.45164
2702.78 4.45124
2705.19 4.45085
2707.61 4.45048
2710.03 4.45011
2714.86 4.44939
2719.70 4.44868
2724.53 4.44798
2729.36 4.44729
2734.20 4.44661
2741.59 4.44558
2748.99 4.44455
2756.38 4.44353
2763.77 4.44251
2778.56 4.44049
2793.35 4.43848
2808.13 4.43649
2822.92 4.43451
2852.49 4.43058
2884.34 4.42640
2916.19 4.42227
2979.89 4.41414
3107.28 4.39840
3180.08 4.38971
3453.07 4.35892
3726.06 4.33070
3999.04 4.30462
4272.03 4.28050
4490.42 4.26247
4708.81 4.24545
4745.21 4.24270
4872.61 4.23329
4936.30 4.22868
5000.00 4.22416
5053.20 4.22043
5079.79 4.21858
5106.39 4.21675
5132.99 4.21493
5146.29 4.21402
5159.59 4.21312
5172.89 4.21222
5186.19 4.21133
5199.48 4.21044
5212.78 4.20955
