Au-197(n,g) ENDFB-8.0
0.000125000 1391.04
0.000128125 1373.98
0.000131250 1357.52
0.000134375 1341.65
0.000137500 1326.31
0.000143750 1297.16
0.000150000 1269.86
0.000156250 1244.20
0.000162500 1220.04
0.000168750 1197.24
0.000175000 1175.67
0.000181250 1155.22
0.000187500 1135.81
0.000193750 1117.34
0.000200000 1099.75
0.000209375 1074.85
0.000218750 1051.57
0.000228125 1029.74
0.000237500 1009.21
0.000246875 989.866
0.000256250 971.593
0.000265625 954.296
0.000275000 937.892
0.000284375 922.306
0.000293750 907.472
0.000303125 893.332
0.000312500 879.833
0.000321875 866.928
0.000331250 854.575
0.000340625 842.735
0.000350000 831.375
0.000359375 820.462
0.000368750 809.968
0.000378125 799.867
0.000387500 790.134
0.000396875 780.749
0.000406250 771.690
0.000425000 754.481
0.000443750 738.374
0.000462500 723.257
0.000481250 709.033
0.000500000 695.616
0.000515625 684.999
0.000531250 674.854
0.000546875 665.147
0.000562500 655.848
0.000578125 646.928
0.000593750 638.363
0.000609375 630.129
0.000625000 622.206
0.000640625 614.575
0.000656250 607.218
0.000671875 600.119
0.000687500 593.264
0.000718750 580.230
0.000750000 568.020
0.000781250 556.550
0.000812500 545.749
0.000843750 535.553
0.000875000 525.909
0.000906250 516.768
0.000937500 508.088
0.000968750 499.832
0.00100000 491.966
0.00103125 484.460
0.00106250 477.288
0.00109375 470.426
0.00112500 463.852
0.00115625 457.546
0.00118750 451.491
0.00121875 445.670
0.00125000 440.069
0.00128125 434.675
0.00131250 429.474
0.00134375 424.456
0.00137500 419.609
0.00143750 410.396
0.00150000 401.764
0.00156250 393.656
0.00162500 386.021
0.00168750 378.814
0.00175000 371.996
0.00181250 365.535
0.00187500 359.399
0.00193750 353.563
0.00200000 348.002
0.00209375 340.133
0.00218750 332.776
0.00228125 325.878
0.00237500 319.392
0.00246875 313.279
0.00256250 307.505
0.00265625 302.040
0.00275000 296.857
0.00284375 291.932
0.00293750 287.246
0.00303125 282.778
0.00312500 278.514
0.00321875 274.437
0.00331250 270.535
0.00340625 266.795
0.00350000 263.207
0.00359375 259.760
0.00368750 256.445
0.00378125 253.255
0.00387500 250.181
0.00396875 247.217
0.00406250 244.356
0.00425000 238.922
0.00443750 233.836
0.00462500 229.062
0.00481250 224.571
0.00500000 220.335
0.00515625 216.983
0.00531250 213.781
0.00546875 210.717
0.00562500 207.781
0.00578125 204.966
0.00593750 202.263
0.00609375 199.664
0.00625000 197.164
0.00640625 194.756
0.00656250 192.435
0.00671875 190.195
0.00687500 188.033
0.00718750 183.921
0.00750000 180.069
0.00781250 176.451
0.00812500 173.045
0.00843750 169.829
0.00875000 166.788
0.00906250 163.905
0.00937500 161.168
0.00968750 158.565
0.0100000 156.085
0.0103125 153.720
0.0106250 151.459
0.0109375 149.297
0.0112500 147.225
0.0115625 145.239
0.0118750 143.332
0.0121875 141.499
0.0125000 139.735
0.0128125 138.037
0.0131250 136.400
0.0134375 134.820
0.0137500 133.295
0.0143750 130.396
0.0150000 127.680
0.0156250 125.129
0.0162500 122.727
0.0168750 120.461
0.0175000 118.317
0.0181250 116.285
0.0187500 114.357
0.0193750 112.522
0.0200000 110.775
0.0206625 109.011
0.0213250 107.331
0.0219875 105.727
0.0226500 104.194
0.0233125 102.728
0.0239750 101.323
0.0246375 99.9758
0.0253000 98.6822
0.0264578 96.5399
0.0276156 94.5348
0.0287734 92.6529
0.0299313 90.8824
0.0310891 89.2128
0.0322469 87.6349
0.0334047 86.1405
0.0345625 84.7223
0.0355274 83.5941
0.0364922 82.5112
0.0374570 81.4706
0.0384219 80.4697
0.0393867 79.5061
0.0403516 78.5775
0.0413164 77.6820
0.0422813 76.8177
0.0442109 75.1757
0.0461406 73.6390
0.0480703 72.1970
0.0500000 70.8405
0.0515625 69.7991
0.0531250 68.8046
0.0546875 67.8537
0.0562500 66.9433
0.0578125 66.0707
0.0593750 65.2335
0.0609375 64.4294
0.0625000 63.6564
0.0640625 62.9125
0.0656250 62.1959
0.0687500 60.8378
0.0718750 59.5703
0.0750000 58.3838
0.0781250 57.2705
0.0812500 56.2235
0.0843750 55.2366
0.0875000 54.3044
0.0906250 53.4221
0.0937500 52.5855
0.0968750 51.7908
0.100000 51.0347
0.103125 50.3144
0.106250 49.6270
0.109375 48.9703
0.112500 48.3421
0.115625 47.7404
0.118750 47.1635
0.121875 46.6099
0.125000 46.0782
0.128125 45.5672
0.131250 45.0755
0.137500 44.1447
0.143750 43.2769
0.150000 42.4661
0.156250 41.7069
0.162500 40.9942
0.168750 40.3237
0.175000 39.6916
0.181250 39.0945
0.187500 38.5296
0.193750 37.9944
0.200000 37.4867
0.209375 36.7712
0.218750 36.1051
0.228125 35.4838
0.237500 34.9030
0.246875 34.3588
0.256250 33.8479
0.265625 33.3672
0.275000 32.9141
0.284375 32.4864
0.293750 32.0820
0.303125 31.6991
0.312500 31.3360
0.321875 30.9913
0.331250 30.6638
0.340625 30.3521
0.350000 30.0553
0.359375 29.7727
0.368750 29.5037
0.382813 29.1225
0.396875 28.7651
0.410938 28.4303
0.425000 28.1165
0.443750 27.7280
0.462500 27.3703
0.500000 26.7376
0.531250 26.2819
0.562500 25.8800
0.625000 25.2161
0.687500 24.7045
0.750000 24.3157
0.812500 24.0283
0.875000 23.8285
0.937500 23.7031
1.00000 23.6418
1.06250 23.6398
1.12500 23.6923
1.18750 23.7956
1.25000 23.9469
1.37500 24.3869
1.50000 25.0045
1.62500 25.8007
1.75000 26.7868
1.87500 27.9696
1.93750 28.6390
2.00000 29.3726
2.10508 30.7492
2.21015 32.3238
2.26269 33.1897
2.31523 34.1232
2.36776 35.1153
2.42030 36.1807
2.47284 37.3227
2.52538 38.5410
2.57792 39.8563
2.63045 41.2595
2.68299 42.7709
2.73553 44.3800
2.78807 46.1293
2.84060 48.0184
2.89591 50.1719
2.95121 52.5128
3.00651 55.0627
3.06181 57.8464
3.11712 60.8926
3.17242 64.2346
3.22772 67.9112
3.28302 71.9680
3.33556 76.2232
3.38810 80.9243
3.44064 86.1357
3.49318 91.9337
3.54571 98.4099
3.57198 101.935
3.59825 105.670
3.62452 109.626
3.65079 113.826
3.67706 118.301
3.70333 123.076
3.73374 129.010
3.76416 135.421
3.79458 142.359
3.82499 149.886
3.85541 158.070
3.88582 166.990
3.90103 171.754
3.91624 176.737
3.93145 181.954
3.94666 187.418
3.97293 197.488
3.99920 208.440
4.01233 214.279
4.02546 220.378
4.03860 226.756
4.05173 233.426
4.06487 240.409
4.07800 247.723
4.09114 255.388
4.10427 263.428
4.11741 271.868
4.13054 280.736
4.14367 290.066
4.15681 299.889
4.17202 311.931
4.18723 324.744
4.20243 338.394
4.21764 352.956
4.23285 368.513
4.24806 385.157
4.26327 402.992
4.27847 422.135
4.29368 442.720
4.30889 464.892
4.32410 488.823
4.33931 514.700
4.35452 542.746
4.36972 573.207
4.38493 606.370
4.39254 624.067
4.40014 642.567
4.40775 661.922
4.41535 682.182
4.42295 703.405
4.43056 725.655
4.43816 748.998
4.44577 773.508
4.45337 799.263
4.46097 826.350
4.46858 854.866
4.47618 884.905
4.48379 916.581
4.49139 950.015
4.49899 985.338
4.50660 1022.70
4.51420 1062.25
4.52181 1104.17
4.53218 1165.50
4.54255 1232.13
4.55291 1304.71
4.56328 1383.97
4.57365 1470.75
4.57884 1517.27
4.58402 1566.04
4.58921 1617.22
4.59439 1670.97
4.59958 1727.47
4.60476 1786.90
4.61237 1879.81
4.61997 1980.18
4.62757 2088.82
4.63518 2206.67
4.64278 2334.77
4.65039 2474.33
4.65799 2626.71
4.66559 2793.50
4.67320 2976.56
4.68080 3177.91
4.68460 3286.21
4.68841 3400.03
4.69221 3519.74
4.69601 3645.72
4.69981 3778.40
4.70361 3918.22
4.70742 4065.68
4.71122 4221.30
4.71502 4385.64
4.71882 4559.30
4.72262 4742.93
4.72643 4937.21
4.73023 5142.88
4.73403 5360.72
4.73783 5591.57
4.74163 5836.31
4.74544 6095.85
4.74924 6371.18
4.75304 6663.30
4.75684 6973.25
4.76064 7302.10
4.76445 7650.95
4.76825 8020.88
4.77205 8412.97
4.77585 8828.26
4.77965 9267.73
4.78346 9732.28
4.78726 10222.7
4.79141 10788.0
4.79555 11385.3
4.79970 12015.0
4.80385 12676.5
4.80800 13369.7
4.81215 14093.1
4.81629 14844.8
4.82044 15622.1
4.82662 16820.7
4.83280 18055.2
4.84515 20556.2
4.85133 21775.9
4.85751 22939.2
4.86369 24016.7
4.86986 24979.1
4.87359 25492.6
4.87732 25948.1
4.88105 26340.3
4.88478 26664.6
4.88851 26917.3
4.89224 27095.0
4.89597 27195.8
4.89970 27218.4
4.90396 27148.0
4.90743 27016.1
4.91089 26818.6
4.91435 26557.7
4.91782 26236.2
4.92128 25857.1
4.92474 25424.6
4.93167 24416.3
4.93860 23248.8
4.94552 21963.3
4.95245 20600.5
4.95938 19199.6
4.96953 17147.9
4.97969 15177.4
4.98477 14242.8
4.98984 13349.5
4.99492 12501.0
5.00000 11699.5
5.00671 10713.7
5.01007 10252.2
5.01343 9811.50
5.01679 9391.07
5.02014 8990.48
5.02350 8609.14
5.02686 8246.43
5.03021 7901.69
5.03357 7574.19
5.03693 7263.21
5.04028 6968.00
5.04364 6687.83
5.04700 6421.96
5.05036 6169.67
5.05371 5930.25
5.05707 5703.01
5.06043 5487.30
5.06714 5087.94
5.07385 4727.42
5.08057 4401.46
5.08728 4106.21
5.09400 3838.27
5.10071 3594.61
5.10742 3372.59
5.11170 3241.44
5.11597 3117.57
5.12024 3000.43
5.12451 2889.61
5.13306 2685.14
5.14160 2501.14
5.15015 2335.04
5.15869 2184.63
5.16724 2048.04
5.17578 1923.66
5.18250 1833.56
5.18921 1749.55
5.19592 1671.08
5.20264 1597.69
5.20935 1528.95
5.21607 1464.49
5.22278 1403.95
5.22949 1347.05
5.23621 1293.48
5.24292 1243.00
5.24964 1195.38
5.25635 1150.41
5.26306 1107.89
5.26978 1067.66
5.28320 993.422
5.29663 926.569
5.31006 866.161
5.32349 811.401
5.33692 761.615
5.35034 716.216
5.36377 674.713
5.37720 636.672
5.39063 601.728
5.40161 575.208
5.41260 550.388
5.42359 527.120
5.43457 505.282
5.44556 484.752
5.45654 465.431
5.46753 447.222
5.47852 430.041
5.48950 413.812
5.50049 398.469
5.52246 370.192
5.54444 344.776
5.56641 321.852
5.57984 308.932
5.59326 296.763
5.60669 285.288
5.62012 274.455
5.63355 264.217
5.64697 254.532
5.67383 236.668
5.70069 220.591
5.72754 206.071
5.75440 192.915
5.78125 180.958
5.80811 170.060
5.83496 160.100
5.86182 150.974
5.88867 142.592
5.91553 134.876
5.94238 127.760
5.96924 121.184
5.99609 115.099
6.02783 108.473
6.05957 102.390
6.09131 96.7880
6.12305 91.6201
6.15479 86.8457
6.18652 82.4272
6.21826 78.3304
6.25000 74.5250
6.27686 71.5128
6.30371 68.6756
6.33057 66.0001
6.35742 63.4746
6.38428 61.0880
6.41113 58.8305
6.46484 54.6671
6.51856 50.9211
6.57227 47.5390
6.62598 44.4756
6.67969 41.6925
6.73340 39.1569
6.78711 36.8406
6.84082 34.7193
6.89453 32.7720
6.94824 30.9803
7.00195 29.3284
7.05567 27.8033
7.10938 26.3957
7.15820 25.2052
7.20703 24.0882
7.25586 23.0410
7.30469 22.0591
7.35352 21.1372
7.40234 20.2707
7.45117 19.4553
7.50000 18.6870
7.55371 17.8923
7.60742 17.1462
7.66113 16.4448
7.71484 15.7847
7.76856 15.1629
7.82227 14.5763
7.87598 14.0226
7.92969 13.4992
7.98340 13.0040
8.03711 12.5351
8.14453 11.6692
8.25195 10.8886
8.35938 10.1828
8.45703 9.59818
8.55469 9.06193
8.65234 8.56891
8.75000 8.11465
8.81836 7.81763
8.88672 7.53649
9.02344 7.01758
9.16016 6.55021
9.29688 6.12797
9.43359 5.74785
9.57031 5.39954
9.70703 5.08189
9.84375 4.79173
10.0000 4.48941
10.1626 4.20445
10.3252 3.94647
10.4878 3.71189
10.6504 3.49803
10.8130 3.30251
10.9756 3.12335
11.1382 2.95881
11.3008 2.80733
11.4280 2.69707
11.5552 2.59346
11.6825 2.49662
11.8097 2.40537
11.9369 2.31810
12.0641 2.23619
12.3185 2.08558
12.5730 1.95072
12.8274 1.82930
13.0818 1.71954
13.3362 1.62013
13.5093 1.55785
13.6823 1.49932
13.8553 1.44444
14.0283 1.39282
14.2013 1.34430
14.3743 1.29926
14.5473 1.25558
14.7203 1.21507
14.8933 1.17605
15.0663 1.13957
15.4123 1.07201
15.7583 1.01109
16.1043 0.956075
16.3265 0.923587
16.5488 0.893027
16.9932 0.836946
17.4377 0.787308
17.8821 0.742705
18.3266 0.702714
18.7710 0.666834
19.2155 0.634343
19.6599 0.604881
20.0000 0.584240
20.3913 0.562305
20.7825 0.542072
21.1737 0.523331
21.5650 0.505941
21.9562 0.489813
22.3475 0.474893
22.7387 0.461089
23.1299 0.448255
23.5212 0.436283
23.9124 0.425212
24.6949 0.405077
25.4774 0.387587
26.2599 0.372395
27.1504 0.357531
28.0409 0.344981
28.9314 0.334344
29.8218 0.325446
30.7123 0.318273
31.6028 0.312543
32.4933 0.308326
33.3838 0.305418
34.5590 0.303717
35.2392 0.303817
35.9193 0.304737
36.5994 0.306511
37.2795 0.309184
37.9596 0.312816
38.6398 0.317488
39.3199 0.323304
40.0000 0.330411
40.5419 0.337254
41.0837 0.344795
41.6256 0.353730
42.1674 0.364154
42.7093 0.376393
43.2511 0.390990
43.5220 0.399567
43.7930 0.408976
44.0639 0.419917
44.3348 0.432796
44.4896 0.441328
44.6444 0.450976
44.7993 0.462024
44.9541 0.475110
45.1089 0.491028
45.1863 0.500400
45.2637 0.510987
45.3411 0.523067
45.4185 0.537006
45.4959 0.553333
45.5733 0.572800
45.6378 0.592167
45.7023 0.615259
45.7346 0.628545
45.7668 0.643224
45.7991 0.659529
45.8313 0.677738
45.8604 0.696038
45.8894 0.716464
45.9184 0.739390
45.9475 0.765271
45.9765 0.794702
46.0055 0.828411
46.0345 0.867342
46.0491 0.889132
46.0636 0.912723
46.0894 0.959847
46.1023 0.986278
46.1152 1.01494
46.1281 1.04611
46.1410 1.08014
46.1539 1.11739
46.1668 1.15835
46.1845 1.22174
46.1934 1.25699
46.2023 1.29494
46.2111 1.33589
46.2200 1.38018
46.2289 1.42819
46.2377 1.48033
46.2466 1.53708
46.2555 1.59898
46.2643 1.66663
46.2732 1.74069
46.2821 1.82192
46.2910 1.91111
46.2998 2.00920
46.3087 2.11715
46.3151 2.20246
46.3216 2.29400
46.3280 2.39224
46.3345 2.49767
46.3442 2.67050
46.3538 2.86227
46.3635 3.07525
46.3732 3.31093
46.3821 3.54893
46.3909 3.80931
46.3998 4.09352
46.4087 4.40288
46.4175 4.73860
46.4264 5.10169
46.4353 5.49295
46.4442 5.91286
46.4506 6.23632
46.4571 6.57495
46.4635 6.92858
46.4700 7.29688
46.4780 7.77764
46.4861 8.27879
46.5022 9.33715
46.5183 10.4556
46.5345 11.6088
46.5522 12.8826
46.5699 14.1159
46.5788 14.7014
46.5877 15.2573
46.5965 15.7770
46.6054 16.2538
46.6183 16.8607
46.6312 17.3480
46.6442 17.7019
46.6506 17.8254
46.6571 17.9120
46.6690 17.9729
46.6755 17.9519
46.6819 17.8931
46.6884 17.7969
46.6948 17.6641
46.7078 17.2927
46.7207 16.7897
46.7302 16.3437
46.7397 15.8409
46.7492 15.2885
46.7587 14.6945
46.7767 13.4875
46.7946 12.2153
46.8044 11.5122
46.8208 10.3500
46.8371 9.22762
46.8452 8.68885
46.8534 8.16833
46.8616 7.66803
46.8697 7.18948
46.8787 6.68936
46.8877 6.21800
46.8967 5.77592
46.9056 5.36367
46.9146 4.98001
46.9236 4.62517
46.9326 4.29745
46.9415 3.99645
46.9481 3.79315
46.9546 3.60259
46.9611 3.42421
46.9676 3.25741
46.9742 3.10161
46.9807 2.95621
46.9872 2.82063
46.9938 2.69427
47.0003 2.57659
47.0068 2.46701
47.0134 2.36500
47.0199 2.27020
47.0289 2.15025
47.0378 2.04154
47.0468 1.94294
47.0558 1.85354
47.0648 1.77221
47.0737 1.69819
47.0827 1.63073
47.0917 1.56920
47.1007 1.51285
47.1097 1.46120
47.1186 1.41377
47.1276 1.37016
47.1366 1.32989
47.1456 1.29271
47.1635 1.22627
47.1766 1.18367
47.1880 1.14978
47.1994 1.11870
47.2108 1.09008
47.2223 1.06370
47.2451 1.01665
47.2680 0.976065
47.2908 0.940776
47.3137 0.909894
47.3365 0.882710
47.3594 0.858663
47.3855 0.834434
47.4116 0.813166
47.4377 0.794400
47.4638 0.777787
47.5084 0.753589
47.5529 0.733644
47.5974 0.717088
47.6419 0.703282
47.6865 0.691724
47.7310 0.682028
47.8200 0.667056
47.9091 0.656595
47.9981 0.649496
48.0872 0.644978
48.1762 0.642478
48.2902 0.641524
48.4042 0.642498
48.6322 0.648837
48.8601 0.659542
49.0881 0.673628
49.3161 0.690387
49.5441 0.709360
49.7720 0.730513
50.0000 0.753785
50.3584 0.794846
50.7168 0.841699
51.0751 0.894949
51.2543 0.924237
51.4335 0.955482
51.6127 0.988816
51.7919 1.02443
51.9711 1.06251
52.1503 1.10327
52.3295 1.14696
52.5087 1.19387
52.6879 1.24429
52.8670 1.29857
53.0750 1.36700
53.2831 1.44180
53.4911 1.52350
53.6991 1.61389
53.9071 1.71392
54.1151 1.82485
54.3231 1.94841
54.5311 2.08667
54.6965 2.20877
54.8619 2.34328
55.0273 2.49203
55.1926 2.65726
55.3580 2.84167
55.4407 2.94209
55.5234 3.04862
55.6061 3.16183
55.6888 3.28232
55.7715 3.41085
55.8542 3.54818
55.9595 3.73721
56.0647 3.94419
56.1700 4.17169
56.2752 4.42323
56.3805 4.70355
56.4857 5.01829
56.5383 5.19071
56.5910 5.37453
56.6436 5.57107
56.6962 5.78186
56.7639 6.07679
56.8315 6.40300
56.8992 6.76651
56.9668 7.17507
57.0007 7.39937
57.0345 7.63908
57.0683 7.89615
57.1022 8.17286
57.1360 8.47195
57.1698 8.79673
57.2036 9.15118
57.2375 9.54011
57.2751 10.0204
57.3126 10.5615
57.3502 11.1775
57.3690 11.5194
57.3878 11.8874
57.4066 12.2854
57.4254 12.7173
57.4442 13.1887
57.4630 13.7053
57.4818 14.2753
57.5006 14.9077
57.5194 15.6149
57.5382 16.4123
57.5485 16.8963
57.5589 17.4174
57.5692 17.9800
57.5795 18.5886
57.5899 19.2504
57.6002 19.9716
57.6105 20.7599
57.6209 21.6232
57.6312 22.5734
57.6416 23.6209
57.6519 24.7786
57.6622 26.0597
57.6726 27.4825
57.6829 29.0639
57.6932 30.8235
57.7036 32.7805
57.7102 34.1414
57.7167 35.5988
57.7233 37.1592
57.7299 38.8267
57.7365 40.6134
57.7430 42.5241
57.7496 44.5659
57.7562 46.7428
57.7628 49.0687
57.7694 51.5477
57.7759 54.1869
57.7825 56.9888
57.7891 59.9686
57.7957 63.1283
57.8022 66.4737
57.8088 70.0042
57.8138 72.7868
57.8187 75.6749
57.8236 78.6815
57.8286 81.7954
57.8335 85.0298
57.8384 88.3717
57.8434 91.8274
57.8483 95.3962
57.8532 99.0845
57.8582 102.876
57.8631 106.784
57.8680 110.789
57.8730 114.905
57.8779 119.112
57.8828 123.413
57.8878 127.804
57.8943 133.793
57.9009 139.916
57.9075 146.157
57.9141 152.488
57.9202 158.445
57.9263 164.452
57.9385 176.527
57.9488 186.723
57.9592 196.767
57.9695 206.563
57.9798 215.980
57.9902 224.897
58.0005 233.186
58.0108 240.735
58.0211 247.435
58.0312 253.085
58.0413 257.754
58.0505 261.090
58.0597 263.519
58.0688 265.013
58.0780 265.553
58.0890 264.936
58.1000 262.951
58.1100 260.012
58.1199 256.038
58.1299 251.086
58.1398 245.228
58.1483 239.571
58.1568 233.380
58.1653 226.702
58.1737 219.617
58.1830 211.486
58.1922 203.035
58.2015 194.334
58.2108 185.484
58.2277 169.107
58.2447 152.927
58.2617 137.334
58.2786 122.646
58.2887 114.475
58.2987 106.730
58.3087 99.4352
58.3187 92.6104
58.3288 86.2486
58.3388 80.3560
58.3488 74.9255
58.3588 69.9494
58.3673 66.0720
58.3758 62.4968
58.3843 59.2021
58.3928 56.1811
58.4013 53.4118
58.4098 50.8852
58.4182 48.5824
58.4267 46.4881
58.4352 44.5850
58.4437 42.8630
58.4522 41.3037
58.4607 39.8974
58.4691 38.6282
58.4776 37.4869
58.4861 36.4609
58.4946 35.5399
58.5031 34.7134
58.5116 33.9746
58.5200 33.3136
58.5285 32.7248
58.5455 31.7348
58.5625 30.9589
58.5794 30.3602
58.5964 29.9090
58.6134 29.5816
58.6303 29.3595
58.6473 29.2276
58.6643 29.1742
58.6812 29.1901
58.6982 29.2680
58.7322 29.5871
58.7661 30.0979
58.8000 30.7796
58.8340 31.6196
58.8679 32.6122
58.9018 33.7554
58.9358 35.0522
58.9697 36.5077
59.0036 38.1308
59.0376 39.9327
59.0715 41.9293
59.0885 43.0060
59.1055 44.1385
59.1224 45.3296
59.1394 46.5826
59.1564 47.9008
59.1733 49.2873
59.1903 50.7478
59.2073 52.2861
59.2242 53.9071
59.2412 55.6162
59.2582 57.4193
59.2751 59.3229
59.2921 61.3342
59.3091 63.4596
59.3260 65.7102
59.3430 68.0943
59.3600 70.6223
59.3769 73.3041
59.3939 76.1558
59.4109 79.1900
59.4279 82.4226
59.4448 85.8690
59.4633 89.9022
59.4818 94.2429
59.5004 98.9261
59.5189 103.989
59.5374 109.476
59.5559 115.436
59.5744 121.926
59.5929 129.014
59.6102 136.252
59.6275 144.151
59.6448 152.809
59.6535 157.449
59.6621 162.318
59.6708 167.436
59.6794 172.810
59.6881 178.464
59.6967 184.419
59.7054 190.697
59.7140 197.322
59.7227 204.322
59.7313 211.725
59.7398 219.387
59.7482 227.489
59.7567 236.075
59.7651 245.185
59.7736 254.862
59.7820 265.152
59.7905 276.105
59.7989 287.778
59.8074 300.245
59.8159 313.543
59.8243 327.757
59.8328 342.963
59.8412 359.244
59.8497 376.689
59.8581 395.392
59.8666 415.457
59.8769 441.991
59.8872 470.932
59.8975 502.502
59.9079 536.939
59.9182 574.489
59.9285 615.408
59.9389 659.958
59.9492 708.400
59.9595 760.996
59.9699 817.995
59.9802 879.634
59.9905 946.126
60.0008 1017.66
60.0112 1094.37
60.0215 1176.36
60.0318 1263.67
60.0422 1356.26
60.0525 1454.05
60.0628 1556.84
60.0732 1664.34
60.0835 1776.19
60.0938 1891.89
60.1145 2132.40
60.1445 2492.69
60.1596 2671.02
60.1746 2843.39
60.1920 3031.11
60.2094 3200.16
60.2181 3275.92
60.2268 3344.94
60.2355 3406.61
60.2443 3460.38
60.2560 3519.69
60.2678 3562.61
60.2796 3588.39
60.2914 3596.58
60.2973 3594.02
60.3069 3580.44
60.3165 3555.33
60.3260 3519.00
60.3356 3471.91
60.3452 3414.49
60.3548 3347.44
60.3644 3271.50
60.3739 3187.56
60.3865 3066.73
60.3990 2935.75
60.4116 2796.69
60.4241 2651.73
60.4518 2320.80
60.4795 1992.29
60.4913 1858.13
60.5030 1728.51
60.5147 1604.01
60.5264 1485.47
60.5382 1373.14
60.5499 1267.52
60.5616 1168.60
60.5733 1076.58
60.5851 991.230
60.5968 912.543
60.6085 840.145
60.6202 773.870
60.6320 713.270
60.6437 658.088
60.6554 607.856
60.6671 562.276
60.6741 537.340
60.6810 513.806
60.6879 491.601
60.6948 470.651
60.7018 450.885
60.7087 432.236
60.7156 414.639
60.7226 398.030
60.7295 382.351
60.7364 367.544
60.7434 353.554
60.7503 340.333
60.7572 327.830
60.7641 316.000
60.7780 294.208
60.7897 277.492
60.8015 262.194
60.8132 248.165
60.8249 235.284
60.8366 223.411
60.8484 212.462
60.8601 202.328
60.8718 192.943
60.8835 184.220
60.8953 176.110
60.9070 168.542
60.9187 161.480
60.9304 154.868
60.9422 148.676
60.9539 142.858
60.9656 137.394
60.9773 132.245
60.9891 127.392
61.0008 122.810
61.0125 118.483
61.0360 110.506
61.0594 103.332
61.0829 96.8530
61.1063 90.9802
61.1298 85.6384
61.1532 80.7641
61.1735 76.8875
61.1937 73.2908
61.2140 69.9455
61.2342 66.8283
61.2545 63.9171
61.2747 61.1964
61.2950 58.6484
61.3152 56.2585
61.3355 54.0127
61.3557 51.9015
61.3760 49.9131
61.3962 48.0382
61.4165 46.2674
61.4368 44.5945
61.4773 41.5126
61.5007 39.8728
61.5242 38.3299
61.5476 36.8758
61.5711 35.5036
61.5945 34.2074
61.6180 32.9816
61.6649 30.7213
61.7118 28.6873
61.7587 26.8508
61.8056 25.1866
61.8525 23.6736
61.9079 22.0564
61.9633 20.6007
62.0188 19.2859
62.0742 18.0944
62.1296 17.0111
62.1851 16.0232
62.2405 15.1196
62.2959 14.2906
62.3428 13.6414
62.3897 13.0358
62.4366 12.4698
62.4835 11.9401
62.5304 11.4436
62.5773 10.9778
62.6242 10.5401
62.6711 10.1284
62.7180 9.74040
62.7649 9.37463
62.8118 9.02929
62.8587 8.70289
62.9525 8.10158
63.0463 7.56119
63.1402 7.07370
63.2340 6.63252
63.3278 6.23188
63.4216 5.86703
63.5154 5.53378
63.6092 5.22863
63.7030 4.94847
63.7968 4.69072
63.8735 4.49489
63.9503 4.31146
64.0270 4.13946
64.1038 3.97790
64.1805 3.82582
64.2573 3.68239
64.3340 3.54699
64.4108 3.41911
64.5643 3.18380
64.7178 2.97277
64.8713 2.78281
65.0248 2.61124
65.1186 2.51443
65.2124 2.42319
65.3062 2.33707
65.4000 2.25573
65.5876 2.10600
65.7752 1.97161
65.9628 1.85058
66.1504 1.74121
66.3380 1.64210
66.5256 1.55204
66.6536 1.49528
66.7815 1.44195
66.9094 1.39180
67.0373 1.34459
