Ti-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.0640625 3.84614
0.0656250 3.84442
0.0671875 3.84278
0.0687500 3.84119
0.0718750 3.83818
0.0750000 3.83538
0.0781250 3.83275
0.0812500 3.83029
0.0843750 3.82798
0.0875000 3.82579
0.0906250 3.82373
0.0937500 3.82178
0.0968750 3.81993
0.100000 3.81817
0.103125 3.81650
0.106250 3.81490
0.109375 3.81338
0.112500 3.81192
0.115625 3.81053
0.118750 3.80920
0.121875 3.80792
0.125000 3.80669
0.128125 3.80551
0.131250 3.80438
0.134375 3.80328
0.137500 3.80223
0.143750 3.80023
0.150000 3.79836
0.156250 3.79661
0.162500 3.79497
0.168750 3.79343
0.175000 3.79197
0.181250 3.79059
0.187500 3.78928
0.193750 3.78804
0.200000 3.78686
0.209375 3.78520
0.218750 3.78365
0.228125 3.78220
0.237500 3.78084
0.246875 3.77956
0.256250 3.77835
0.265625 3.77721
0.275000 3.77613
0.284375 3.77511
0.293750 3.77414
0.303125 3.77321
0.312500 3.77233
0.321875 3.77149
0.331250 3.77069
0.340625 3.76992
0.350000 3.76918
0.359375 3.76848
0.368750 3.76780
0.378125 3.76714
0.387500 3.76652
0.396875 3.76591
0.406250 3.76533
0.425000 3.76422
0.443750 3.76319
0.462500 3.76222
0.500000 3.76046
0.531250 3.75914
0.562500 3.75793
0.593750 3.75682
0.625000 3.75579
0.687500 3.75396
0.750000 3.75237
0.812500 3.75097
0.875000 3.74973
0.937500 3.74862
1.00000 3.74761
1.06250 3.74670
1.12500 3.74586
1.18750 3.74509
1.25000 3.74438
1.37500 3.74310
1.50000 3.74199
1.62500 3.74102
1.75000 3.74015
1.87500 3.73937
2.00000 3.73866
2.18750 3.73771
2.37500 3.73688
2.56250 3.73614
2.75000 3.73548
2.93750 3.73488
3.12500 3.73434
3.31250 3.73384
3.50000 3.73338
3.87500 3.73255
4.25000 3.73184
4.62500 3.73121
5.00000 3.73065
5.31250 3.73023
5.62500 3.72984
5.93750 3.72947
6.25000 3.72914
6.87500 3.72853
7.50000 3.72799
8.12500 3.72751
8.75000 3.72708
9.37500 3.72668
10.0000 3.72632
10.6250 3.72598
11.2500 3.72567
11.8750 3.72537
12.5000 3.72510
13.7500 3.72459
15.0000 3.72413
16.2500 3.72371
17.5000 3.72333
18.7500 3.72297
20.0000 3.72263
21.8750 3.72216
23.7500 3.72173
25.6250 3.72132
27.5000 3.72094
29.3750 3.72058
31.2500 3.72023
33.1250 3.71989
35.0000 3.71957
38.7500 3.71896
42.5000 3.71838
46.2500 3.71783
50.0000 3.71730
53.1250 3.71687
56.2500 3.71645
59.3750 3.71604
62.5000 3.71564
68.7500 3.71486
75.0000 3.71409
81.2500 3.71335
87.5000 3.71262
93.7500 3.71190
100.000 3.71120
106.250 3.71050
112.500 3.70981
118.750 3.70913
125.000 3.70845
137.500 3.70711
150.000 3.70579
162.500 3.70448
175.000 3.70319
187.500 3.70190
200.000 3.70062
218.750 3.69872
237.500 3.69683
256.250 3.69495
275.000 3.69308
293.750 3.69123
312.500 3.68938
331.250 3.68754
350.000 3.68571
368.750 3.68388
387.500 3.68206
425.000 3.67844
462.500 3.67484
500.000 3.67125
531.250 3.66828
562.500 3.66533
593.750 3.66238
625.000 3.65944
687.500 3.65361
750.000 3.64781
812.500 3.64206
875.000 3.63634
937.500 3.63067
1000.00 3.62503
1062.50 3.61942
1125.00 3.61386
1250.00 3.60282
1375.00 3.59193
1500.00 3.58116
1625.00 3.57053
1750.00 3.56002
1875.00 3.54963
2000.00 3.53936
2187.50 3.52417
2375.00 3.50925
2562.50 3.49457
2750.00 3.48013
2937.50 3.46593
3125.00 3.45195
3500.00 3.42466
3875.00 3.39821
4250.00 3.37256
4625.00 3.34767
5000.00 3.32350
5625.00 3.28471
6250.00 3.24768
6875.00 3.21227
7500.00 3.17835
8125.00 3.14581
8750.00 3.11455
10000.0 3.05550
11201.4 3.00267
12402.8 2.95310
13604.1 2.90637
14805.5 2.86213
16006.9 2.82009
16334.5 2.80896
16498.4 2.80344
16580.3 2.80070
16662.2 2.79796
16721.9 2.79597
16751.8 2.79498
16781.6 2.79399
16796.6 2.79350
16811.5 2.79302
16826.4 2.79253
16841.4 2.79205
16856.3 2.79157
16871.2 2.79111
16878.7 2.79088
16886.2 2.79066
16893.6 2.79044
16901.1 2.79024
16907.9 2.79006
16914.7 2.78991
16921.6 2.78978
16928.4 2.78968
16935.2 2.78964
16938.6 2.78965
16942.0 2.78969
16945.5 2.78977
16948.9 2.78991
16952.3 2.79014
16955.7 2.79047
16958.3 2.79083
16960.8 2.79134
16963.4 2.79204
16965.9 2.79307
16967.2 2.79376
16968.5 2.79464
16969.8 2.79578
16971.1 2.79738
16971.7 2.79847
16972.3 2.79987
16973.0 2.80175
16973.6 2.80435
16974.3 2.80807
16974.6 2.81052
16974.9 2.81348
16975.2 2.81708
16975.5 2.82144
16975.9 2.82675
16976.2 2.83298
16976.7 2.84612
16977.2 2.86388
16977.7 2.88768
16978.2 2.91854
16978.7 2.95974
16979.2 3.01311
16979.7 3.08130
16980.2 3.16531
16980.7 3.27140
16981.2 3.40099
16981.8 3.55668
16982.3 3.73669
16982.8 3.94950
16983.3 4.19206
16983.8 4.46324
16984.3 4.75432
16984.7 5.02150
16985.1 5.30051
16986.0 5.86874
16986.4 6.15367
16986.8 6.42240
16987.3 6.68124
16987.7 6.91189
16988.0 7.07845
16988.4 7.21989
16988.7 7.33901
16989.0 7.43375
16989.3 7.48639
16989.5 7.52475
16989.8 7.54980
16990.0 7.55720
16990.0 7.55744
16990.2 7.55423
16990.4 7.53997
16990.8 7.47770
16991.1 7.41461
16991.3 7.33759
16991.6 7.24547
16991.8 7.13922
16992.2 6.97588
16992.5 6.79755
16992.9 6.59698
16993.2 6.38892
16993.9 5.94025
16994.6 5.48494
16995.1 5.18140
16995.5 4.88859
16996.0 4.61147
16996.4 4.35385
16996.9 4.11836
16997.4 3.90654
16997.8 3.71891
16998.3 3.55517
16998.6 3.44598
16999.0 3.35198
16999.3 3.26686
16999.7 3.19468
17000.0 3.13027
17000.3 3.07642
17000.7 3.02903
17001.0 2.98993
17001.4 2.95596
17001.7 2.92827
17002.1 2.90450
17002.4 2.88534
17002.8 2.86905
17003.1 2.85604
17003.4 2.84536
17003.8 2.83661
17004.1 2.82927
17004.5 2.82347
17004.8 2.81861
17005.2 2.81477
17005.5 2.81155
17005.9 2.80898
17006.5 2.80506
17007.2 2.80233
17007.9 2.80035
17008.6 2.79886
17009.3 2.79769
17010.9 2.79570
17012.4 2.79427
17014.0 2.79316
17015.5 2.79227
17017.1 2.79153
17018.7 2.79091
17021.8 2.78994
17024.9 2.78919
17028.0 2.78861
17031.2 2.78813
17034.3 2.78773
17038.9 2.78724
17043.5 2.78683
17048.1 2.78648
17052.7 2.78617
17057.3 2.78589
17061.8 2.78563
17071.0 2.78517
17080.2 2.78475
17089.4 2.78436
17098.6 2.78399
17107.8 2.78363
17123.9 2.78303
17140.1 2.78245
17156.3 2.78188
17172.4 2.78133
17204.8 2.78023
17237.1 2.77914
17269.4 2.77807
17301.8 2.77700
17366.4 2.77487
17448.7 2.77218
17531.0 2.76951
17695.6 2.76419
18024.8 2.75364
18683.2 2.73290
20000.0 2.69257
21875.0 2.63741
23750.0 2.58423
27500.0 2.48101
30312.5 2.40354
32656.3 2.33670
35000.0 2.26590
38046.9 2.16304
39570.3 2.10468
41093.8 2.03964
42500.0 1.97158
43437.5 1.92070
44375.0 1.86425
45312.5 1.80094
46250.0 1.72903
46894.5 1.67337
47539.1 1.61163
48183.6 1.54261
48828.1 1.46482
49414.1 1.38449
49707.0 1.34054
50000.0 1.29373
50376.4 1.22847
50752.8 1.15703
51129.2 1.07858
51505.6 0.992117
51685.2 0.947536
51864.8 0.900830
52044.5 0.851909
52224.1 0.800305
52403.8 0.746153
52583.4 0.689465
52763.0 0.629879
52942.7 0.567667
53148.0 0.493154
53353.3 0.415463
53558.6 0.335326
53763.9 0.254134
53900.7 0.200576
53969.2 0.174359
54037.6 0.148759
54106.0 0.123979
54140.3 0.111977
54174.5 0.100301
54208.7 0.0889757
54242.9 0.0780533
54277.1 0.0675859
54311.3 0.0576751
54324.2 0.0541678
54330.6 0.0525010
54337.0 0.0509460
54343.4 0.0496185
54346.6 0.0491934
54348.2 0.0491539
54349.8 0.0493673
54351.4 0.0500676
54352.2 0.0507185
54353.0 0.0516699
54353.9 0.0530459
54354.7 0.0549494
54355.5 0.0575679
54356.3 0.0611191
54357.1 0.0659411
54357.9 0.0722465
54358.7 0.0804791
54359.5 0.0910983
54360.3 0.104631
54361.1 0.121665
54361.9 0.142844
54362.7 0.168848
54363.3 0.194845
54364.0 0.225112
54364.7 0.260029
54365.3 0.299931
54366.7 0.395712
54368.0 0.512594
54369.4 0.651480
54370.7 0.806993
54373.4 1.14541
54374.4 1.26999
54375.4 1.38392
54376.4 1.48442
54377.4 1.56483
54378.2 1.61282
54379.0 1.64460
54379.7 1.65826
54380.0 1.66001
54380.5 1.65689
54381.4 1.63505
54382.4 1.58656
54383.3 1.51588
54384.6 1.39267
54385.9 1.24622
54388.5 0.921041
54389.6 0.780794
54390.7 0.649732
54391.9 0.531370
54393.0 0.427808
54394.1 0.339848
54395.2 0.267210
54396.4 0.208810
54397.5 0.163036
54398.1 0.144148
54398.6 0.128016
54399.2 0.113819
54399.8 0.101825
54400.3 0.0913800
54400.9 0.0826440
54401.5 0.0751076
54402.0 0.0688588
54402.6 0.0635106
54403.2 0.0591071
54403.7 0.0553603
54404.3 0.0522895
54404.9 0.0496848
54405.4 0.0475529
54406.0 0.0457434
54406.5 0.0442580
54407.8 0.0417550
54409.0 0.0400201
54410.3 0.0387468
54411.5 0.0377795
54414.0 0.0363270
54416.4 0.0352052
54421.4 0.0333615
54426.3 0.0317939
54436.2 0.0290875
54446.0 0.0267059
54465.7 0.0225330
54485.5 0.0188333
54502.7 0.0159594
54520.0 0.0133859
54537.3 0.0110972
54554.5 0.00913192
54571.8 0.00751472
54580.4 0.00683322
54589.1 0.00623567
54597.7 0.00572572
54606.3 0.00531177
54615.0 0.00499343
54623.6 0.00477153
54628.5 0.00468878
54633.5 0.00463889
54638.4 0.00462215
54643.3 0.00463904
54649.1 0.00470203
54654.9 0.00481239
54660.6 0.00497093
54666.4 0.00517808
54672.1 0.00543542
54677.9 0.00574299
54689.4 0.00651690
54700.9 0.00751177
54712.4 0.00872128
54723.9 0.0101556
54735.4 0.0118264
54746.1 0.0135974
54756.8 0.0155870
54778.2 0.0203076
54799.6 0.0259540
54820.9 0.0326097
54842.3 0.0402694
54863.7 0.0491828
54885.1 0.0593514
54906.4 0.0708493
54924.5 0.0816925
54942.6 0.0936156
54960.7 0.106681
54978.8 0.120947
54996.9 0.136500
55015.0 0.153407
55033.0 0.171747
55051.1 0.191593
55069.2 0.213058
55087.3 0.236227
55105.4 0.261200
55123.5 0.288072
55141.6 0.316987
55159.7 0.348054
55177.7 0.381403
55195.8 0.417155
55213.9 0.455498
55232.0 0.496571
55250.1 0.540546
55268.2 0.587576
55286.3 0.637908
55304.4 0.691724
55322.4 0.749246
55340.5 0.810676
55358.6 0.876337
55376.7 0.946467
55394.8 1.02136
55412.9 1.10128
55431.0 1.18665
55449.0 1.27774
55467.1 1.37504
55485.2 1.47884
55503.3 1.58971
55521.4 1.70807
55539.5 1.83443
55557.6 1.96928
55575.7 2.11334
55593.7 2.26718
55611.8 2.43150
55629.9 2.60691
55648.0 2.79442
55666.1 2.99477
55684.2 3.20888
55702.3 3.43760
55720.4 3.68224
55738.4 3.94381
55756.5 4.22352
55774.6 4.52250
55792.7 4.84249
55810.8 5.18480
55828.9 5.55103
55847.0 5.94265
55865.1 6.36191
55883.1 6.81050
55901.2 7.29046
55919.3 7.80361
55937.4 8.35277
55955.5 8.94000
55973.6 9.56771
55991.7 10.2380
56009.8 10.9542
56027.8 11.7180
56045.9 12.5328
56064.0 13.4003
56077.6 14.0908
56091.3 14.8130
56104.9 15.5689
56118.5 16.3582
56132.1 17.1828
56145.8 18.0450
56173.0 19.8721
56200.3 21.8344
56227.5 23.9293
56254.8 26.1438
56282.0 28.4576
56336.5 33.2572
56363.8 35.6574
56391.0 37.9875
56418.3 40.1876
56445.5 42.1970
56472.8 43.9580
56500.0 45.4213
56527.3 46.5498
56554.5 47.3218
56581.8 47.7326
56609.0 47.7932
56629.4 47.6200
56649.9 47.2798
56670.3 46.7940
56690.8 46.1743
56711.2 45.4364
56731.6 44.6054
56772.5 42.7336
56854.3 38.5692
56895.1 36.4576
56936.0 34.4054
56988.4 31.9153
57040.9 29.6194
57093.3 27.5289
57145.8 25.6402
57191.1 24.1624
57236.3 22.8198
57281.6 21.5922
57326.9 20.4758
57372.2 19.4573
57417.5 18.5259
57462.8 17.6729
57508.0 16.8920
57560.5 16.0696
57612.9 15.3209
57665.4 14.6392
57717.8 14.0188
57770.2 13.4488
57822.7 12.9272
57875.1 12.4473
57927.5 12.0039
57980.0 11.5954
58032.4 11.2161
58084.9 10.8641
58137.3 10.5374
58189.7 10.2320
58242.2 9.94733
58347.0 9.43112
58437.6 9.03548
58528.2 8.67970
58618.8 8.35673
58709.3 8.06460
58799.9 7.79787
58890.5 7.55327
58981.0 7.32832
59071.6 7.12127
59176.5 6.90243
59281.4 6.70122
59386.2 6.51635
59491.1 6.34678
59700.8 6.04386
59910.6 5.78250
60158.5 5.51707
60406.4 5.28892
60654.2 5.09159
60902.1 4.91722
61111.9 4.78706
61321.6 4.66857
61531.4 4.56079
61741.1 4.46295
62160.6 4.29011
62580.1 4.14289
62999.6 4.01639
63419.1 3.90611
63838.5 3.80907
64258.0 3.72304
65020.7 3.58988
65783.5 3.47860
66546.2 3.38527
67308.9 3.30493
67995.3 3.24220
68681.8 3.18657
69368.2 3.13694
70054.6 3.09250
70703.0 3.05485
71351.3 3.02093
71999.6 2.99046
72647.9 2.96361
73334.3 2.93962
73677.5 2.92969
74020.7 2.92158
74478.4 2.91484
74707.2 2.91407
74936.0 2.91603
75088.5 2.91954
75241.1 2.92566
75393.6 2.93562
75546.2 2.95175
75632.0 2.96509
75717.8 2.98313
75803.6 3.00809
75889.4 3.04382
75939.4 3.07244
75989.5 3.10952
76039.5 3.15881
76089.6 3.22621
76115.8 3.27211
76142.0 3.32810
76168.3 3.39735
76194.5 3.48442
76217.1 3.57917
76239.8 3.69860
76251.1 3.77045
76262.4 3.85219
