Pt-198(n,g) ENDFB-8.0
Energy(eV) XS(b)
336.277 0.0177377
337.227 0.0183978
338.177 0.0191026
339.472 0.0201535
340.768 0.0213166
342.063 0.0226087
343.358 0.0240491
344.006 0.0248212
344.654 0.0256489
345.302 0.0265278
345.949 0.0274613
346.597 0.0284539
347.245 0.0295109
347.892 0.0306380
348.540 0.0318417
349.447 0.0336707
350.355 0.0356866
351.262 0.0379163
352.169 0.0403919
353.076 0.0431513
353.984 0.0462389
354.437 0.0479223
354.891 0.0497041
355.344 0.0516013
355.798 0.0536228
356.513 0.0570845
357.228 0.0609250
357.943 0.0652027
358.301 0.0675266
358.658 0.0699869
359.016 0.0725952
359.373 0.0753623
359.731 0.0783020
360.088 0.0814293
360.446 0.0847603
360.803 0.0883135
361.161 0.0921090
361.518 0.0961694
361.908 0.100931
362.298 0.106076
362.688 0.111643
363.078 0.117675
363.509 0.124957
363.940 0.132980
364.371 0.141837
364.802 0.151641
365.233 0.162513
365.448 0.168408
365.663 0.174647
365.879 0.181263
366.094 0.188275
366.310 0.195717
366.525 0.203622
366.821 0.215329
367.118 0.228101
367.414 0.242082
367.710 0.257418
368.006 0.274305
368.303 0.292945
368.599 0.313598
368.895 0.336565
369.178 0.360984
369.319 0.374222
369.461 0.388215
369.602 0.403023
369.743 0.418711
369.885 0.435349
370.026 0.453003
370.168 0.471784
370.309 0.491776
370.450 0.513084
370.592 0.535805
370.733 0.560098
370.874 0.586093
371.016 0.613958
371.157 0.643867
371.305 0.677691
371.453 0.714284
371.602 0.753982
371.750 0.797140
371.898 0.844169
372.046 0.895544
372.194 0.951819
372.342 1.01364
372.483 1.07854
372.625 1.14995
372.766 1.22878
372.908 1.31604
373.049 1.41312
373.120 1.46578
373.190 1.52147
373.261 1.58043
373.332 1.64293
373.402 1.70925
373.473 1.77963
373.544 1.85462
373.614 1.93452
373.650 1.97651
373.685 2.01978
373.721 2.06463
373.756 2.11088
373.791 2.15887
373.827 2.20840
373.862 2.25983
373.897 2.31295
373.933 2.36815
373.968 2.42523
374.003 2.48459
374.039 2.54603
374.076 2.61313
374.113 2.68277
374.150 2.75528
374.187 2.83083
374.220 2.90243
374.222 2.90612
374.228 2.91984
374.235 2.93365
374.247 2.96159
374.269 3.01112
374.291 3.06193
374.313 3.11406
374.335 3.16732
374.369 3.25242
374.402 3.34107
374.436 3.43348
374.470 3.52956
374.503 3.63014
374.537 3.73485
374.571 3.84459
374.604 3.95902
374.623 4.02463
374.641 4.09155
374.660 4.16020
374.678 4.23064
374.697 4.30292
374.715 4.37713
374.734 4.45332
374.752 4.53157
374.771 4.61241
374.789 4.69503
374.808 4.77996
374.826 4.86729
374.845 4.95710
374.863 5.04950
374.882 5.14459
374.900 5.24248
374.919 5.34383
374.937 5.44769
374.956 5.55470
374.974 5.66502
374.993 5.77878
375.011 5.89612
375.030 6.01722
375.048 6.14224
375.067 6.27206
375.086 6.40549
375.104 6.54340
375.123 6.68602
375.141 6.83357
375.160 6.98630
375.178 7.14445
375.197 7.30832
375.215 7.47912
375.234 7.65535
375.252 7.83824
375.271 8.02816
375.289 8.22657
375.308 8.43179
375.326 8.64530
375.345 8.86759
375.363 9.10048
375.382 9.34204
375.400 9.59413
375.419 9.85741
375.437 10.1326
375.456 10.4206
375.474 10.7222
375.493 11.0384
375.511 11.3721
375.530 11.7209
375.548 12.0878
375.567 12.4742
375.585 12.8817
375.604 13.3119
375.622 13.7669
375.641 14.2485
375.659 14.7593
375.678 15.3016
375.696 15.8784
375.715 16.4927
375.733 17.1481
375.752 17.8482
375.770 18.5974
375.789 19.4002
375.805 20.1418
375.821 20.9309
375.837 21.7716
375.853 22.6680
375.869 23.6247
375.885 24.6467
375.901 25.7394
375.917 26.9086
375.933 28.1603
375.949 29.5012
375.965 30.9385
375.981 32.4796
375.997 34.1325
376.013 35.9058
376.029 37.8084
376.045 39.8366
376.063 42.3961
376.082 45.1573
376.100 48.1500
376.119 51.3917
376.137 54.9005
376.156 58.6949
376.174 62.7936
376.193 67.2155
376.212 72.0063
376.230 77.1331
376.249 82.6389
376.267 88.5410
376.286 94.8557
376.304 101.598
376.323 108.780
376.341 116.413
376.360 124.552
376.378 133.113
376.397 142.142
376.415 151.637
376.434 161.594
376.452 172.002
376.471 182.847
376.489 194.111
376.508 205.832
376.526 217.856
376.563 242.849
376.600 268.809
376.637 295.303
376.678 324.244
376.718 352.474
376.755 377.082
376.792 399.713
376.829 419.813
376.866 436.758
376.891 446.286
376.916 453.968
376.941 459.732
376.967 463.495
377.000 465.308
377.008 465.181
377.036 463.159
377.063 458.732
377.090 451.973
377.117 442.999
377.137 435.075
377.157 426.106
377.177 416.172
377.197 405.360
377.236 382.353
377.275 357.118
377.303 337.758
377.331 317.875
377.387 277.580
377.426 250.225
377.464 223.866
377.503 198.785
377.522 186.883
377.542 175.428
377.561 164.441
377.580 153.941
377.599 143.939
377.619 134.444
377.638 125.457
377.657 116.976
377.677 108.994
377.696 101.504
377.712 95.6921
377.728 90.2306
377.743 85.0725
377.759 80.2079
377.775 75.6264
377.791 71.3171
377.807 67.2686
377.822 63.4693
377.838 59.9076
377.854 56.5717
377.870 53.4499
377.886 50.5305
377.901 47.8022
377.917 45.2538
377.933 42.8746
377.949 40.6540
377.968 38.1297
377.988 35.8231
378.007 33.7040
378.026 31.7569
378.045 29.9671
378.065 28.3211
378.084 26.8063
378.103 25.4111
378.123 24.1184
378.142 22.9317
378.161 21.8350
378.181 20.8201
378.200 19.8797
378.219 19.0068
378.239 18.1955
378.258 17.4401
378.279 16.6724
378.300 15.9596
378.321 15.2966
378.342 14.6815
378.363 14.1043
378.384 13.5642
378.405 13.0579
378.426 12.5847
378.448 12.1373
378.469 11.7159
378.511 10.9439
378.553 10.2521
378.595 9.62902
378.634 9.10856
378.672 8.63310
378.711 8.19613
378.749 7.79332
378.788 7.42005
378.827 7.07507
378.865 6.75463
378.904 6.45634
378.943 6.17743
378.981 5.91748
379.020 5.67414
379.058 5.44597
379.097 5.23115
379.136 5.02966
379.174 4.83989
379.213 4.66093
379.252 4.49153
379.290 4.33182
379.367 4.03745
379.445 3.77236
379.522 3.53331
379.599 3.31640
379.676 3.11945
379.754 2.93958
379.831 2.77528
379.894 2.65078
379.957 2.53477
380.021 2.42631
380.084 2.32476
380.147 2.22953
380.210 2.14009
380.273 2.05599
380.337 1.97679
380.400 1.90212
380.463 1.83164
380.526 1.76503
380.589 1.70202
380.716 1.58578
380.842 1.48114
380.920 1.42221
380.997 1.36675
381.074 1.31450
381.151 1.26528
381.229 1.21874
381.306 1.17479
381.460 1.09374
381.615 1.02085
381.769 0.955073
381.924 0.895497
382.078 0.841367
382.247 0.787755
382.415 0.739175
382.584 0.694967
382.753 0.654673
382.921 0.617807
383.090 0.584034
383.258 0.552992
383.427 0.524382
383.581 0.500048
383.736 0.477389
383.890 0.456242
384.045 0.436480
384.199 0.417987
384.354 0.400658
384.508 0.384398
384.663 0.369120
384.817 0.354748
384.972 0.341210
385.126 0.328444
385.281 0.316392
385.435 0.305001
385.590 0.294225
385.899 0.274344
386.208 0.256441
386.517 0.240272
386.826 0.225615
387.135 0.212288
387.444 0.200135
387.753 0.189021
388.062 0.178832
388.371 0.169469
388.624 0.162360
388.877 0.155710
389.129 0.149485
389.382 0.143645
389.635 0.138148
389.888 0.132966
390.141 0.128077
390.393 0.123463
390.899 0.114984
391.405 0.107391
391.910 0.100563
392.416 0.0944032
392.725 0.0909295
393.034 0.0876579
393.343 0.0845722
393.652 0.0816585
394.270 0.0762987
394.888 0.0714915
395.506 0.0671635
396.124 0.0632548
396.742 0.0597130
397.360 0.0564942
398.147 0.0528057
398.933 0.0495152
399.720 0.0465677
400.506 0.0439278
401.125 0.0420403
401.743 0.0402863
402.361 0.0386615
402.979 0.0371578
403.597 0.0357612
404.215 0.0344614
404.833 0.0332527
405.451 0.0321262
406.069 0.0310732
406.687 0.0300901
407.923 0.0283094
409.159 0.0267452
410.395 0.0253655
411.856 0.0239406
413.316 0.0227044
414.777 0.0216299
416.238 0.0206949
417.699 0.0198799
419.159 0.0191817
420.620 0.0185607
422.081 0.0180243
423.842 0.0174775
425.603 0.0170258
427.364 0.0166590
429.124 0.0163694
430.885 0.0161508
432.646 0.0159984
434.407 0.0159090
436.168 0.0158789
438.268 0.0159241
440.367 0.0160521
442.467 0.0162685
444.566 0.0165783
446.666 0.0169863
448.765 0.0175069
450.865 0.0181495
452.964 0.0189370
454.385 0.0195674
455.806 0.0202861
457.227 0.0211062
458.647 0.0220445
460.068 0.0231180
461.489 0.0243522
462.910 0.0257775
464.331 0.0274257
465.117 0.0284553
465.904 0.0295792
466.690 0.0308090
467.477 0.0321574
468.263 0.0336403
469.050 0.0352754
469.837 0.0370845
470.623 0.0390836
471.241 0.0408119
471.859 0.0427059
472.477 0.0447791
473.095 0.0470540
473.713 0.0495582
474.331 0.0523228
474.949 0.0553859
475.567 0.0587921
476.185 0.0625958
476.803 0.0668600
477.421 0.0716636
477.730 0.0742966
478.039 0.0771019
478.348 0.0800949
478.657 0.0832928
478.966 0.0867148
479.275 0.0903826
479.584 0.0943201
479.893 0.0985531
480.202 0.103108
480.511 0.108015
480.820 0.113325
481.129 0.119089
481.438 0.125357
481.747 0.132185
482.056 0.139641
482.365 0.147805
482.674 0.156768
482.983 0.166641
483.292 0.177549
483.601 0.189646
483.910 0.203109
484.065 0.210419
484.219 0.218154
484.374 0.226349
484.528 0.235041
484.683 0.244271
484.837 0.254084
484.992 0.264531
485.146 0.275667
485.301 0.287556
485.455 0.300267
485.666 0.319064
485.877 0.339753
486.088 0.362593
486.298 0.387896
486.509 0.416045
486.614 0.431336
486.720 0.447503
486.825 0.464648
486.930 0.482817
487.036 0.502128
487.141 0.522640
487.296 0.555162
487.450 0.590911
487.605 0.630331
487.759 0.673947
487.914 0.722379
488.068 0.776372
488.145 0.805746
488.223 0.836819
488.300 0.869769
488.377 0.904753
488.510 0.970561
488.577 1.00623
488.644 1.04394
488.711 1.08393
488.777 1.12624
488.844 1.17114
488.911 1.21885
488.978 1.26967
489.044 1.32374
489.111 1.38141
489.178 1.44305
489.244 1.50911
489.311 1.57983
489.378 1.65579
489.445 1.73753
489.522 1.84030
489.599 1.95262
489.676 2.07605
489.754 2.21181
489.831 2.36205
489.908 2.52851
489.985 2.71423
490.024 2.81505
490.063 2.92186
490.115 3.07827
490.168 3.24825
490.221 3.43352
490.247 3.53232
490.273 3.63572
490.300 3.74444
490.326 3.85801
490.352 3.97721
490.379 4.10245
490.405 4.23470
490.431 4.37347
490.458 4.51982
490.484 4.67437
490.512 4.84938
490.540 5.03554
490.568 5.23399
490.596 5.44597
490.624 5.67297
490.638 5.79305
490.652 5.91667
490.667 6.04584
490.681 6.17901
490.695 6.31836
490.709 6.46225
490.729 6.68134
490.749 6.91265
490.759 7.02758
490.772 7.19122
490.784 7.34988
490.797 7.51484
490.809 7.68647
490.821 7.86369
490.839 8.13246
490.856 8.41624
490.874 8.71977
490.883 8.87885
490.891 9.04120
490.900 9.21078
490.909 9.38599
490.918 9.56709
490.926 9.75217
490.935 9.94576
490.944 10.1461
490.953 10.3534
490.961 10.5655
490.971 10.8109
490.981 11.0661
490.991 11.3315
491.000 11.6048
491.010 11.8921
491.019 12.1882
491.029 12.4997
491.039 12.8208
491.048 13.1590
491.058 13.5077
491.068 13.8751
491.077 14.2543
491.087 14.6539
491.097 15.0664
491.106 15.5013
491.116 15.9505
491.126 16.4242
491.135 16.9187
491.145 17.4351
491.155 17.9687
491.164 18.5316
491.174 19.1132
491.184 19.7269
491.193 20.3610
491.203 21.0300
491.213 21.7214
491.222 22.4506
491.232 23.2041
491.242 23.9988
491.251 24.8197
491.261 25.6852
491.270 26.5791
491.280 27.5213
491.290 28.5043
491.300 29.5296
491.309 30.5876
491.319 31.7018
491.328 32.8509
491.338 34.0605
491.348 35.3072
491.357 36.6188
491.367 37.9698
491.377 39.3901
491.386 40.8520
491.396 42.3878
491.406 43.9675
491.415 45.6257
491.425 47.3298
491.435 49.1171
491.444 50.9719
491.454 52.8957
491.464 54.8692
491.483 59.0527
491.502 63.5342
491.522 68.3250
491.541 73.4351
491.560 78.8732
491.579 84.6466
491.599 90.7935
491.618 97.2540
491.637 104.060
491.657 111.211
491.676 118.702
491.695 126.527
491.715 134.677
491.734 143.138
491.766 157.618
491.797 172.794
491.829 188.550
491.860 204.742
491.938 245.091
491.976 264.921
492.015 283.989
492.054 301.904
492.092 318.140
492.131 332.330
492.169 344.098
492.189 349.109
492.209 353.334
492.229 356.782
492.249 359.392
492.274 361.529
492.300 362.228
492.307 362.177
492.327 361.386
492.348 359.656
492.369 356.985
492.390 353.420
492.410 349.167
492.430 344.166
492.450 338.434
492.470 332.013
492.490 324.765
492.510 316.897
492.551 299.535
492.592 280.419
492.633 260.061
492.696 227.312
492.759 194.613
492.800 174.094
492.841 154.569
492.861 145.242
492.881 136.238
492.902 127.579
492.922 119.279
492.943 111.351
492.963 103.803
492.983 96.6390
493.004 89.8607
493.024 83.4660
493.045 77.4503
