S-36(n,tot) ENDFB-8.0
0.0162500 2.41319
0.0168750 2.40867
0.0175000 2.40442
0.0181250 2.40040
0.0187500 2.39662
0.0193750 2.39303
0.0200000 2.38963
0.0206625 2.38621
0.0213250 2.38297
0.0219875 2.37989
0.0226500 2.37696
0.0233125 2.37416
0.0239750 2.37150
0.0246375 2.36895
0.0253000 2.36651
0.0261684 2.36348
0.0270367 2.36060
0.0279051 2.35787
0.0287734 2.35527
0.0296418 2.35280
0.0305102 2.35044
0.0313785 2.34819
0.0322469 2.34604
0.0339836 2.34201
0.0357203 2.33829
0.0374570 2.33484
0.0391938 2.33164
0.0405445 2.32931
0.0418953 2.32709
0.0432461 2.32498
0.0445969 2.32297
0.0459477 2.32105
0.0472984 2.31922
0.0486492 2.31747
0.0500000 2.31580
0.0515625 2.31395
0.0531250 2.31218
0.0546875 2.31049
0.0562500 2.30887
0.0593750 2.30584
0.0625000 2.30304
0.0656250 2.30044
0.0687500 2.29803
0.0718750 2.29579
0.0750000 2.29368
0.0781250 2.29171
0.0812500 2.28985
0.0843750 2.28810
0.0875000 2.28644
0.0906250 2.28487
0.0937500 2.28338
0.0968750 2.28196
0.100000 2.28062
0.103125 2.27933
0.106250 2.27810
0.109375 2.27692
0.112500 2.27580
0.118750 2.27368
0.125000 2.27172
0.131250 2.26990
0.137500 2.26820
0.143750 2.26662
0.150000 2.26514
0.156250 2.26374
0.162500 2.26243
0.168750 2.26118
0.175000 2.26001
0.181250 2.25889
0.187500 2.25783
0.193750 2.25682
0.200000 2.25586
0.209375 2.25450
0.218750 2.25322
0.228125 2.25202
0.237500 2.25089
0.246875 2.24983
0.256250 2.24882
0.265625 2.24786
0.275000 2.24696
0.284375 2.24609
0.293750 2.24527
0.303125 2.24448
0.312500 2.24373
0.321875 2.24301
0.331250 2.24232
0.340625 2.24166
0.350000 2.24103
0.368750 2.23983
0.387500 2.23871
0.406250 2.23767
0.425000 2.23670
0.443750 2.23579
0.462500 2.23493
0.500000 2.23335
0.562500 2.23107
0.625000 2.22913
0.687500 2.22744
0.750000 2.22596
0.812500 2.22465
0.875000 2.22348
0.937500 2.22242
1.00000 2.22145
1.12500 2.21975
1.25000 2.21831
1.37500 2.21705
1.50000 2.21594
1.62500 2.21496
1.75000 2.21409
1.87500 2.21329
2.00000 2.21257
2.18750 2.21159
2.37500 2.21073
2.56250 2.20996
2.75000 2.20926
2.93750 2.20863
3.12500 2.20806
3.50000 2.20703
3.87500 2.20616
4.25000 2.20539
4.62500 2.20471
5.00000 2.20411
5.62500 2.20323
6.25000 2.20248
6.87500 2.20183
7.50000 2.20125
8.12500 2.20074
8.75000 2.20028
9.37500 2.19987
10.0000 2.19949
11.2500 2.19883
12.5000 2.19826
13.7500 2.19776
15.0000 2.19732
16.2500 2.19694
17.5000 2.19659
18.7500 2.19627
20.0000 2.19599
21.8750 2.19560
23.7500 2.19525
25.6250 2.19495
27.5000 2.19467
29.3750 2.19442
31.2500 2.19419
35.0000 2.19378
38.7500 2.19342
42.5000 2.19312
46.2500 2.19285
50.0000 2.19260
56.2500 2.19225
62.5000 2.19195
68.7500 2.19168
75.0000 2.19145
81.2500 2.19125
87.5000 2.19106
93.7500 2.19089
100.000 2.19074
112.500 2.19047
125.000 2.19024
137.500 2.19004
150.000 2.18986
162.500 2.18971
175.000 2.18957
187.500 2.18944
200.000 2.18932
218.750 2.18916
237.500 2.18902
256.250 2.18890
275.000 2.18879
293.750 2.18868
312.500 2.18859
350.000 2.18842
387.500 2.18828
425.000 2.18816
462.500 2.18805
500.000 2.18795
562.500 2.18780
625.000 2.18768
687.500 2.18757
750.000 2.18748
812.500 2.18740
875.000 2.18732
937.500 2.18725
1000.00 2.18719
1125.00 2.18708
1250.00 2.18699
1375.00 2.18690
1500.00 2.18683
1625.00 2.18677
1750.00 2.18671
1875.00 2.18666
2000.00 2.18661
2187.50 2.18655
2375.00 2.18649
2562.50 2.18644
2750.00 2.18639
2937.50 2.18635
3125.00 2.18631
3500.00 2.18624
3875.00 2.18619
4250.00 2.18614
4625.00 2.18609
5000.00 2.18605
5625.00 2.18599
6250.00 2.18594
6875.00 2.18590
7500.00 2.18586
8125.00 2.18582
8750.00 2.18579
9375.00 2.18577
10000.0 2.18574
10625.0 2.18572
11250.0 2.18569
12500.0 2.18565
13750.0 2.18562
15000.0 2.18559
16250.0 2.18556
17500.0 2.18553
18750.0 2.18551
20000.0 2.18549
21875.0 2.18546
23750.0 2.18544
25625.0 2.18542
27500.0 2.18540
31250.0 2.18537
35000.0 2.18534
38750.0 2.18531
42500.0 2.18529
46250.0 2.18527
50000.0 2.18526
56250.0 2.18523
62500.0 2.18521
68750.0 2.18519
75000.0 2.18518
81250.0 2.18516
87500.0 2.18515
100000 2.18513
109766 2.18511
119531 2.18510
139063 2.18508
158594 2.18506
178125 2.18505
200000 2.18503
225000 2.18502
256250 2.18500
287500 2.18499
318750 2.18498
350000 2.18497
412500 2.18496
475000 2.18494
500000 2.18494
600000 2.18493
700000 2.20432
800000 2.23631
850000 2.25715
900000 2.27699
950000 2.30076
1.00000E+06 2.32354
1.12500E+06 2.39838
1.25000E+06 2.46737
1.50000E+06 2.59148
1.75000E+06 2.72551
2.00000E+06 2.84721
2.25000E+06 2.93457
2.50000E+06 3.01499
2.75000E+06 3.08963
3.00000E+06 3.15939
3.19165E+06 3.18046
3.38329E+06 3.20043
3.38329E+06 3.20043
3.38747E+06 3.20062
3.39165E+06 3.20083
3.39582E+06 3.20106
3.40000E+06 3.20129
3.41992E+06 3.20217
3.43984E+06 3.20335
3.44736E+06 3.20325
3.45488E+06 3.20315
3.46992E+06 3.20295
3.50000E+06 3.20260
3.53125E+06 3.20207
3.56250E+06 3.20158
3.62500E+06 3.20075
3.68750E+06 3.20008
3.75000E+06 3.19957
3.81250E+06 3.19863
3.87500E+06 3.19786
4.00000E+06 3.19674
4.06494E+06 3.19121
4.25000E+06 3.17597
4.30956E+06 3.17121
4.32087E+06 3.16976
4.33217E+06 3.16831
4.35478E+06 3.16547
4.37739E+06 3.16267
4.40000E+06 3.15993
4.46246E+06 3.15192
4.52492E+06 3.14430
4.58738E+06 3.13703
4.64984E+06 3.13011
4.66492E+06 3.12799
4.68000E+06 3.12591
4.70330E+06 3.12267
4.71539E+06 3.12072
4.72748E+06 3.11878
4.75165E+06 3.11497
4.80000E+06 3.10758
4.85000E+06 3.09956
4.90000E+06 3.09188
5.00000E+06 3.07752
5.14021E+06 3.05428
5.14022E+06 3.05427
5.15475E+06 3.05120
5.16928E+06 3.04816
5.19834E+06 3.04214
5.25646E+06 3.03042
5.31457E+06 3.01908
5.37269E+06 3.00812
5.43081E+06 2.99668
5.48893E+06 2.98562
5.60516E+06 2.96458
5.72140E+06 2.94331
5.83763E+06 2.92340
5.90000E+06 2.91255
5.91882E+06 2.90935
6.00000E+06 2.89593
6.07011E+06 2.88091
6.18635E+06 2.85544
6.30258E+06 2.83140
6.41882E+06 2.80869
6.53505E+06 2.78723
6.65129E+06 2.76429
6.76753E+06 2.74261
6.88376E+06 2.72212
7.00000E+06 2.70274
7.25000E+06 2.65222
7.50000E+06 2.60640
7.75000E+06 2.56081
8.00000E+06 2.51940
8.15653E+06 2.49003
8.31306E+06 2.46208
8.62611E+06 2.41011
8.81306E+06 2.37953
9.00000E+06 2.35066
9.24307E+06 2.31098
9.25223E+06 2.30951
9.40000E+06 2.28625
9.70000E+06 2.24030
9.85000E+06 2.21857
9.90000E+06 2.21151
1.00000E+07 2.19763
1.01694E+07 2.17351
1.02000E+07 2.16922
1.03000E+07 2.15365
1.04000E+07 2.13883
1.05000E+07 2.12472
1.06000E+07 2.11131
1.07000E+07 2.09858
1.08000E+07 2.08650
1.09000E+07 2.07506
1.10000E+07 2.06423
1.10625E+07 2.05672
1.11250E+07 2.04932
1.11875E+07 2.04202
1.12482E+07 2.03503
1.12500E+07 2.03482
1.13125E+07 2.02773
1.13750E+07 2.02073
1.14375E+07 2.01383
1.15000E+07 2.00703
1.15625E+07 2.00033
1.16250E+07 1.99372
1.16875E+07 1.98720
1.17500E+07 1.98077
1.17859E+07 1.97713
1.18125E+07 1.97444
1.18750E+07 1.96820
1.19375E+07 1.96204
1.20000E+07 1.95598
1.20625E+07 1.95043
1.21250E+07 1.94496
1.21875E+07 1.93957
1.22500E+07 1.93426
1.23125E+07 1.92903
1.23750E+07 1.92387
1.24375E+07 1.91879
1.25000E+07 1.91379
1.25625E+07 1.90885
1.26250E+07 1.90399
1.26875E+07 1.89921
1.27500E+07 1.89449
1.28125E+07 1.88985
1.28750E+07 1.88527
1.29375E+07 1.88077
1.30000E+07 1.87633
1.31019E+07 1.87069
1.32038E+07 1.86524
1.33057E+07 1.85997
1.34076E+07 1.85488
1.34077E+07 1.85488
1.34817E+07 1.85084
1.35558E+07 1.84689
1.36298E+07 1.84305
1.37038E+07 1.83930
1.37779E+07 1.83565
1.38519E+07 1.83209
1.39260E+07 1.82863
1.40000E+07 1.82525
1.40625E+07 1.82312
1.41250E+07 1.82104
1.41875E+07 1.81901
1.42500E+07 1.81704
1.43125E+07 1.81512
1.43750E+07 1.81326
1.44375E+07 1.81144
1.45000E+07 1.80968
1.45625E+07 1.80833
1.46250E+07 1.80702
1.46875E+07 1.80575
1.47500E+07 1.80453
1.48125E+07 1.80335
1.48750E+07 1.80222
1.49375E+07 1.80112
1.50000E+07 1.80007
1.50625E+07 1.79978
1.51250E+07 1.79950
1.51875E+07 1.79923
1.52500E+07 1.79896
1.53125E+07 1.79869
1.53750E+07 1.79843
1.54375E+07 1.79817
1.55000E+07 1.79791
1.55625E+07 1.79767
1.56250E+07 1.79742
1.56875E+07 1.79718
1.57500E+07 1.79694
1.58125E+07 1.79671
1.58610E+07 1.79653
1.58750E+07 1.79648
1.59375E+07 1.79626
1.60000E+07 1.79604
1.61250E+07 1.79754
1.62500E+07 1.79903
1.63750E+07 1.80050
1.65000E+07 1.80197
1.66250E+07 1.80341
1.67500E+07 1.80485
1.68750E+07 1.80627
1.70000E+07 1.80768
1.71250E+07 1.81046
1.72500E+07 1.81322
1.73750E+07 1.81597
1.75000E+07 1.81871
1.76250E+07 1.82142
1.77500E+07 1.82413
1.78750E+07 1.82682
1.80000E+07 1.82949
1.81250E+07 1.83303
1.82500E+07 1.83655
1.83750E+07 1.84006
1.85000E+07 1.84354
1.86250E+07 1.84701
1.87500E+07 1.85046
1.88750E+07 1.85389
1.90000E+07 1.85731
1.91250E+07 1.86122
1.92500E+07 1.86512
1.93750E+07 1.86901
1.95000E+07 1.87288
1.96250E+07 1.87674
1.97500E+07 1.88058
1.98750E+07 1.88441
2.00000E+07 1.88823
