Ar-36(n,tot) ENDFB-8.0
0.000147048 267.879
0.000151302 264.455
0.000155557 261.177
0.000161979 256.484
0.000168401 252.072
0.000174822 247.915
0.000181244 243.988
0.000185933 241.256
0.000190622 238.628
0.000195311 236.100
0.000200000 233.665
0.000206218 230.571
0.000212436 227.619
0.000218653 224.800
0.000224871 222.104
0.000231089 219.523
0.000237307 217.049
0.000243524 214.675
0.000249742 212.394
0.000250183 212.236
0.000251137 211.895
0.000252090 211.556
0.000253997 210.884
0.000257811 209.565
0.000265439 207.016
0.000273068 204.580
0.000280696 202.251
0.000288324 200.019
0.000295952 197.879
0.000303580 195.826
0.000311208 193.852
0.000320649 191.514
0.000330091 189.284
0.000339532 187.153
0.000348973 185.115
0.000358414 183.164
0.000367855 181.294
0.000377296 179.499
0.000386737 177.775
0.000398426 175.732
0.000410114 173.784
0.000421803 171.923
0.000433492 170.145
0.000445181 168.442
0.000456869 166.811
0.000468558 165.246
0.000480247 163.743
0.000500000 161.335
0.000518079 159.263
0.000536159 157.307
0.000554238 155.456
0.000572317 153.701
0.000590397 152.036
0.000608476 150.452
0.000626555 148.945
0.000644635 147.508
0.000668052 145.742
0.000691469 144.077
0.000714886 142.503
0.000738303 141.012
0.000761721 139.599
0.000785138 138.256
0.000808555 136.978
0.000831972 135.761
0.000863477 134.212
0.000894983 132.755
0.000926488 131.381
0.000957993 130.084
0.000960674 129.977
0.000970505 129.588
0.000980337 129.206
0.00100000 128.462
0.00103974 127.030
0.00107947 125.687
0.00110596 124.838
0.00115305 123.409
0.00120015 122.075
0.00124724 120.827
0.00129433 119.656
0.00134142 118.555
0.00138851 117.517
0.00143561 116.536
0.00148270 115.608
0.00154736 114.411
0.00161202 113.295
0.00167669 112.251
0.00174135 111.272
0.00180601 110.352
0.00187068 109.484
0.00193534 108.665
0.00200000 107.889
0.00208518 106.927
0.00217035 106.028
0.00225553 105.184
0.00234071 104.389
0.00242588 103.640
0.00251106 102.932
0.00259624 102.261
0.00268141 101.624
0.00275419 101.105
0.00282697 100.607
0.00289975 100.129
0.00297253 99.6696
0.00311809 98.8016
0.00326364 97.9950
0.00340920 97.2430
0.00355476 96.5400
0.00370031 95.8809
0.00384587 95.2616
0.00399014 94.6836
0.00413440 94.1380
0.00427867 93.6223
0.00442294 93.1341
0.00456720 92.6713
0.00471147 92.2320
0.00485573 91.8145
0.00500000 91.4175
0.00512973 91.0767
0.00525945 90.7505
0.00538917 90.4378
0.00551890 90.1381
0.00564862 89.8506
0.00577835 89.5745
0.00590807 89.3094
0.00603780 89.0546
0.00620904 88.7333
0.00638028 88.4279
0.00655153 88.1374
0.00672277 87.8609
0.00689402 87.5975
0.00706526 87.3463
0.00723650 87.1067
0.00740775 86.8778
0.00757899 86.6590
0.00775024 86.4497
0.00792148 86.2494
0.00809272 86.0575
0.00826397 85.8735
0.00843521 85.6969
0.00860646 85.5273
0.00877770 85.3644
0.00908328 85.0888
0.00938885 84.8311
0.00969443 84.5896
0.0100000 84.3626
0.0103267 84.1346
0.0106534 83.9201
0.0109801 83.7181
0.0113068 83.5272
0.0116335 83.3464
0.0119602 83.1749
0.0122869 83.0119
0.0126136 82.8567
0.0131616 82.6121
0.0137095 82.3850
0.0142575 82.1735
0.0148055 81.9756
0.0153535 81.7901
0.0159015 81.6156
0.0164494 81.4510
0.0169974 81.2955
0.0177481 81.0958
0.0184987 80.9097
0.0192494 80.7360
0.0200000 80.5732
0.0206625 80.4377
0.0213250 80.3094
0.0219875 80.1875
0.0226500 80.0716
0.0233125 79.9613
0.0239750 79.8561
0.0246375 79.7557
0.0253000 79.6598
0.0263753 79.5128
0.0274505 79.3756
0.0285258 79.2474
0.0296010 79.1271
0.0297461 79.1115
0.0303336 79.0494
0.0309212 78.9894
0.0320963 78.8751
0.0332714 78.7677
0.0344465 78.6667
0.0356217 78.5713
0.0367968 78.4811
0.0379719 78.3955
0.0391470 78.3141
0.0405036 78.2248
0.0418603 78.1400
0.0432169 78.0592
0.0445735 77.9820
0.0459301 77.9079
0.0472868 77.8369
0.0486434 77.7686
0.0500000 77.7028
0.0512595 77.6440
0.0525190 77.5872
0.0537784 77.5325
0.0550379 77.4797
0.0562974 77.4288
0.0575569 77.3797
0.0588163 77.3325
0.0600758 77.2870
0.0625948 77.2011
0.0651137 77.1212
0.0676327 77.0469
0.0701516 76.9776
0.0718248 76.9340
0.0734979 76.8922
0.0751710 76.8522
0.0768442 76.8137
0.0801904 76.7410
0.0835367 76.6731
0.0868830 76.6092
0.0902292 76.5484
0.0935755 76.4899
0.0969218 76.4335
0.100000 76.3832
0.105037 76.3045
0.107555 76.2669
0.110073 76.2307
0.112592 76.1958
0.115110 76.1625
0.117628 76.1307
0.120147 76.1002
0.122665 76.0712
0.125183 76.0434
0.130220 75.9909
0.135257 75.9420
0.140293 75.8960
0.143640 75.8669
0.146987 75.8389
0.150334 75.8121
0.153680 75.7865
0.157027 75.7621
0.160374 75.7387
0.167067 75.6948
0.173761 75.6537
0.180454 75.6142
0.193841 75.5377
0.200000 75.5032
0.210072 75.4481
0.215108 75.4216
0.220144 75.3959
0.225180 75.3714
0.230216 75.3482
0.235252 75.3264
0.240288 75.3060
0.245324 75.2868
0.250360 75.2686
0.260432 75.2346
0.270504 75.2024
0.280576 75.1710
0.292632 75.1349
0.298660 75.1177
0.304688 75.1014
0.310715 75.0860
0.316743 75.0715
0.322771 75.0579
0.328799 75.0450
0.340854 75.0204
0.352910 74.9967
0.377021 74.9495
0.438511 74.8322
0.446197 74.8185
0.453883 74.8055
0.461569 74.7931
0.469255 74.7816
0.500000 74.7423
0.585427 74.6496
0.606784 74.6279
0.628141 74.6092
0.670855 74.5787
0.841709 74.4634
0.881282 74.4364
0.920855 74.4120
0.960427 74.3924
1.00000 74.3759
1.08543 74.3441
1.17085 74.3107
1.21357 74.2945
1.25628 74.2812
1.34171 74.2604
1.68341 74.1777
1.76256 74.1575
1.84171 74.1392
1.92085 74.1253
2.00000 74.1134
2.17085 74.0900
2.25628 74.0781
2.34170 74.0649
2.42713 74.0523
2.51255 74.0425
2.68340 74.0269
3.36681 73.9632
3.57096 73.9427
3.67303 73.9335
3.77511 73.9261
4.18340 73.9014
5.00000 73.8540
7.45026 73.7512
10.0000 73.6747
14.9000 73.5571
20.0000 73.4560
29.7996 73.2824
39.8998 73.1182
42.4248 73.0792
44.9499 73.0404
50.0000 72.9617
52.7281 72.9196
54.0922 72.8986
55.4563 72.8771
58.1844 72.8344
59.5485 72.8136
60.9125 72.7930
66.3688 72.7112
71.8250 72.6299
76.3141 72.5620
78.5586 72.5283
80.8032 72.4952
89.7813 72.3635
100.000 72.2127
106.424 72.1184
112.847 72.0232
116.059 71.9756
117.665 71.9519
119.270 71.9285
125.694 71.8348
139.161 71.6397
142.528 71.5910
145.895 71.5419
152.628 71.4433
156.251 71.3905
167.188 71.2325
178.126 71.0753
200.000 70.7585
216.716 70.5177
233.431 70.2739
242.409 70.1441
263.733 69.8377
285.056 69.5335
306.379 69.2247
311.710 69.1476
317.040 69.0773
327.702 68.9392
349.025 68.6649
359.686 68.5280
370.348 68.3887
391.671 68.1113
412.994 67.8358
426.114 67.6676
439.235 67.4961
465.475 67.1506
468.751 67.1077
476.563 67.0058
484.376 66.9042
500.000 66.7015
540.749 66.1782
561.123 65.9195
571.310 65.7901
581.497 65.6575
622.245 65.1237
642.620 64.8810
662.994 64.6433
703.742 64.1731
724.117 63.9364
744.491 63.6940
785.239 63.2135
825.988 62.7390
869.491 62.2357
912.994 61.7207
934.745 61.4651
956.497 61.2330
1000.00 60.7757
1005.55 60.7177
1020.83 60.5524
1036.11 60.3876
1066.66 60.0604
1127.78 59.4157
1250.00 58.0917
1343.75 57.2210
1437.50 56.3750
1531.25 55.4815
1625.00 54.6099
1718.75 53.7594
1812.50 52.8696
1859.38 52.4307
1871.09 52.3210
1882.81 52.2244
1906.25 52.0442
2000.00 51.3239
2125.00 50.3272
2250.00 49.3583
2500.00 47.3379
2656.25 46.3624
2812.50 45.4334
2890.63 44.9609
2968.75 44.4486
3125.00 43.4477
3281.25 42.4825
3437.50 41.5511
3593.75 40.5415
3750.00 39.5565
4062.50 38.1199
4218.75 37.3558
4375.00 36.6167
4531.25 35.9015
4609.38 35.5427
4687.50 35.1494
4843.75 34.3706
5000.00 33.6130
5312.50 32.5983
5468.75 32.1213
5546.88 31.8829
5625.00 31.6120
5781.25 31.0578
5937.50 30.5252
6250.00 29.4968
6562.50 28.5065
6875.00 27.4276
7187.50 26.3942
7500.00 25.3991
7775.64 24.7492
8051.29 24.1297
8326.93 23.5374
8464.75 23.2437
8602.58 22.9210
8878.22 22.2897
9153.86 21.6808
9429.51 21.0893
9705.15 20.4522
10000.0 19.7925
10312.5 19.2939
10625.0 18.7687
10937.5 18.2438
11250.0 17.7386
11875.0 16.6918
12187.5 16.1829
12500.0 15.6617
13125.0 14.7711
13750.0 13.8779
14375.0 12.9892
14687.5 12.5457
15000.0 12.0978
15186.5 11.8070
15427.2 11.4521
15848.4 10.8088
16269.5 10.1395
17111.9 8.48216
17306.0 8.08640
17500.0 7.71877
17703.8 7.13474
17907.6 6.56729
18111.5 6.00153
18136.9 5.92007
18162.4 5.82330
18213.4 5.62755
18264.3 5.42772
18315.3 5.23915
18425.5 4.81675
18535.6 4.39904
18755.9 3.54763
19013.2 2.45691
19034.4 2.37036
19055.6 2.27636
19060.9 2.25736
19066.2 2.24688
19076.8 2.24270
19098.0 2.24151
19133.6 2.25132
19157.6 2.24826
19181.7 2.25151
19205.8 2.24589
19229.8 2.25013
19253.9 2.24252
19278.0 2.24900
19302.1 2.23820
19326.1 2.24936
19338.2 2.24897
19350.2 2.25038
19362.2 2.24846
19367.9 2.25169
19370.7 2.25711
19373.6 2.26734
19376.4 2.28393
19379.3 2.30707
19384.9 2.36740
19407.7 2.64020
19430.4 2.91318
19441.7 3.05144
19447.4 3.12480
19450.3 3.16599
19453.1 3.21385
19457.6 3.30670
19462.1 3.41569
19471.1 3.64645
19489.0 4.10323
19507.0 4.55823
19525.0 5.02629
19529.1 5.15163
19533.2 5.30901
19537.3 5.49846
19541.5 5.70396
19557.9 6.53734
19590.9 8.22758
19599.9 8.68224
19604.4 8.93282
19608.9 9.23767
19613.4 9.61428
19617.9 10.0374
19627.0 10.9275
19663.1 14.5796
19675.1 15.7693
19681.1 16.4157
19684.1 16.7813
19687.1 17.1932
19690.1 17.6632
19693.2 18.1861
19699.2 19.3335
19711.2 21.7554
19747.3 28.8934
19756.3 30.7458
19760.8 31.7301
19765.3 32.8722
19767.6 33.5433
19769.9 34.2840
19774.4 35.9200
19783.4 39.3925
19795.4 43.9314
19807.5 48.5960
19819.5 53.1349
19831.5 57.8202
19839.8 61.1073
19844.0 63.0602
19848.1 65.3482
19864.6 75.6369
19897.7 96.5873
19914.3 107.121
19922.5 112.333
19930.8 117.521
19947.4 127.748
19963.9 138.130
19982.0 149.337
19991.0 154.897
19995.5 157.189
20000.0 158.656
20004.5 159.040
20009.0 158.589
20018.1 156.657
20036.1 152.847
20072.2 144.794
20108.3 137.272
20126.4 133.369
20144.4 129.076
20168.5 123.734
20192.5 118.559
20193.0 118.456
20194.3 118.161
20195.6 117.863
20198.2 117.259
20203.5 116.047
20214.0 113.687
20224.4 111.449
20234.9 109.224
20245.4 106.575
20255.8 103.664
20276.8 98.1847
20294.8 93.5334
20312.9 88.6177
20349.0 79.3173
20353.5 78.2918
20358.0 77.4379
20367.0 75.9977
20385.1 73.3271
20403.1 70.3988
20421.2 67.6208
20439.2 64.8765
20457.3 61.9861
20466.3 60.6610
20475.3 59.6928
20493.4 58.1977
20529.5 55.3659
20565.6 52.4508
20679.9 43.3633
20694.2 42.2017
20701.4 41.6651
20708.5 41.2545
20737.1 40.1338
20765.7 39.0524
20794.2 37.8837
20827.3 36.5959
20860.4 35.4097
20926.6 32.8334
20934.9 32.5335
20943.2 32.3053
20959.7 32.0254
20992.8 31.3937
21059.0 30.2461
21234.2 27.0907
21409.5 23.9560
21691.5 21.5246
21832.5 20.3271
21867.8 20.0318
21885.4 19.9144
21903.0 19.8483
21973.5 19.5470
22184.9 18.6667
22396.3 17.7871
22819.1 16.0102
23455.3 14.6556
23614.3 14.2986
23773.4 13.9738
24091.5 13.5825
24633.0 12.9374
25174.5 12.2643
25445.3 11.9395
25580.7 11.7854
25648.4 11.7137
25716.0 11.6719
25986.8 11.4688
26257.6 11.2665
26781.8 10.9052
27306.1 10.5162
27568.2 10.3447
27830.4 10.2226
28354.6 9.95894
29403.2 9.49357
30451.7 9.00116
30941.7 8.77884
31186.7 8.67127
31431.7 8.58228
32411.6 8.22563
33391.6 7.89043
34371.5 7.53463
38291.3 6.14832
39317.4 5.78991
40343.5 5.41190
41369.6 5.04543
42395.7 4.68943
43421.7 4.33276
44447.8 3.96244
45473.9 3.59989
46500.0 3.24559
46500.0 3.24451
50000.0 3.19335
60000.0 3.04717
70000.0 2.90098
80000.0 2.81893
90000.0 2.73688
100000 2.65484
125000 2.50563
150000 2.39032
170000 2.35438
200000 2.31817
250000 2.25427
300000 2.21451
350000 2.19691
400000 2.18971
500000 2.19991
500041 2.19992
600000 2.22870
700000 2.26745
800000 2.30702
900000 2.38393
1.00000E+06 2.45999
1.10000E+06 2.58452
1.20000E+06 2.71112
1.20000E+06 2.71112
1.30000E+06 2.81804
1.35000E+06 2.87261
1.40000E+06 2.92719
1.50000E+06 3.04000
1.60000E+06 3.10041
1.65000E+06 3.13252
1.70000E+06 3.16463
1.80000E+06 3.23149
1.90000E+06 3.24973
1.97000E+06 3.26333
2.00000E+06 3.26497
2.02525E+06 3.22824
2.10000E+06 3.25449
2.20000E+06 3.24257
2.30000E+06 3.24788
2.40000E+06 3.25148
2.50000E+06 3.26062
2.60000E+06 3.25411
2.80000E+06 3.24383
3.00000E+06 3.23591
3.50000E+06 3.18659
4.00000E+06 3.11419
4.17830E+06 3.08584
4.29517E+06 3.05483
4.32910E+06 3.06015
4.41440E+06 3.04591
4.44050E+06 3.04084
4.45040E+06 3.03797
4.50000E+06 3.02692
4.53779E+06 3.01348
4.56554E+06 3.00733
4.60000E+06 3.01209
4.95120E+06 2.94925
4.97400E+06 2.94399
5.00000E+06 2.93886
5.08985E+06 2.91170
5.11349E+06 2.90823
5.17110E+06 2.90794
5.19440E+06 2.90407
5.25947E+06 2.88913
5.31602E+06 2.87616
5.33966E+06 2.87116
5.50000E+06 2.83986
5.83600E+06 2.78646
5.85660E+06 2.78203
5.89590E+06 2.77482
5.99967E+06 2.74996
6.00000E+06 2.74990
6.02125E+06 2.74398
6.06135E+06 2.73508
6.13650E+06 2.72137
6.21730E+06 2.70062
6.30911E+06 2.67482
6.35600E+06 2.66384
6.39135E+06 2.65410
6.50000E+06 2.62545
6.53425E+06 2.62195
6.61120E+06 2.61639
6.64560E+06 2.61305
6.73000E+06 2.60569
6.79640E+06 2.59837
6.82724E+06 2.59645
6.83238E+06 2.59613
6.83520E+06 2.59632
6.83650E+06 2.59628
6.86700E+06 2.59374
6.91874E+06 2.58991
7.00000E+06 2.58452
7.02668E+06 2.57850
7.02874E+06 2.57805
7.05958E+06 2.57156
7.09350E+06 2.56462
8.00000E+06 2.42308
8.74600E+06 2.31560
9.00000E+06 2.27976
1.00000E+07 2.15476
1.05000E+07 2.09921
1.10000E+07 2.04995
1.10000E+07 1.99074
1.10000E+07 1.99074
1.15000E+07 2.06876
1.20000E+07 2.01547
1.25000E+07 1.96117
1.30000E+07 1.91004
1.35000E+07 1.86274
1.40000E+07 1.81992
1.45000E+07 1.77275
1.50000E+07 1.73921
1.52539E+07 1.71669
1.52541E+07 1.71667
1.60000E+07 1.65852
1.70000E+07 1.59804
1.80000E+07 1.53924
1.90000E+07 1.48817
2.00000E+07 1.45484
