Er-166(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.000284375 122.251
0.000293750 120.284
0.000303125 118.409
0.000312500 116.620
0.000321875 114.909
0.000331250 113.271
0.000340625 111.701
0.000350000 110.195
0.000359375 108.748
0.000368750 107.357
0.000378125 106.018
0.000387500 104.727
0.000396875 103.483
0.000406250 102.282
0.000425000 100.000
0.000443750 97.8647
0.000462500 95.8604
0.000481250 93.9744
0.000500000 92.1955
0.000515625 90.7878
0.000531250 89.4426
0.000546875 88.1556
0.000562500 86.9226
0.000578125 85.7399
0.000593750 84.6041
0.000609375 83.5124
0.000625000 82.4619
0.000640625 81.4500
0.000656250 80.4745
0.000671875 79.5332
0.000687500 78.6242
0.000718750 76.8959
0.000750000 75.2768
0.000781250 73.7559
0.000812500 72.3235
0.000843750 70.9715
0.000875000 69.6926
0.000906250 68.4804
0.000937500 67.3294
0.000968750 66.2345
0.00100000 65.1913
0.00103125 64.1959
0.00106250 63.2448
0.00109375 62.3347
0.00112500 61.4628
0.00115625 60.6265
0.00118750 59.8235
0.00121875 59.0515
0.00125000 58.3087
0.00128125 57.5932
0.00131250 56.9034
0.00134375 56.2378
0.00137500 55.5950
0.00143750 54.3729
0.00150000 53.2280
0.00156250 52.1525
0.00162500 51.1397
0.00168750 50.1837
0.00175000 49.2793
0.00181250 48.4221
0.00187500 47.6082
0.00193750 46.8339
0.00200000 46.0962
0.00209375 45.0523
0.00218750 44.0762
0.00228125 43.1608
0.00237500 42.3003
0.00246875 41.4892
0.00256250 40.7230
0.00265625 39.9978
0.00275000 39.3100
0.00284375 38.6565
0.00293750 38.0345
0.00303125 37.4416
0.00312500 36.8756
0.00321875 36.3345
0.00331250 35.8165
0.00340625 35.3201
0.00350000 34.8437
0.00359375 34.3862
0.00368750 33.9461
0.00378125 33.5226
0.00387500 33.1145
0.00396875 32.7210
0.00406250 32.3411
0.00425000 31.6195
0.00443750 30.9441
0.00462500 30.3102
0.00481250 29.7137
0.00500000 29.1511
0.00515625 28.7059
0.00531250 28.2805
0.00546875 27.8734
0.00562500 27.4835
0.00578125 27.1094
0.00593750 26.7502
0.00609375 26.4050
0.00625000 26.0727
0.00640625 25.7527
0.00656250 25.4442
0.00671875 25.1465
0.00687500 24.8590
0.00718750 24.3124
0.00750000 23.8003
0.00781250 23.3193
0.00812500 22.8662
0.00843750 22.4386
0.00875000 22.0340
0.00906250 21.6506
0.00937500 21.2864
0.00968750 20.9401
0.0100000 20.6101
0.0103125 20.2952
0.0106250 19.9943
0.0109375 19.7064
0.0112500 19.4306
0.0115625 19.1661
0.0118750 18.9121
0.0121875 18.6679
0.0125000 18.4330
0.0128125 18.2067
0.0131250 17.9885
0.0134375 17.7780
0.0137500 17.5747
0.0143750 17.1882
0.0150000 16.8261
0.0156250 16.4859
0.0162500 16.1655
0.0168750 15.8630
0.0175000 15.5768
0.0181250 15.3056
0.0187500 15.0480
0.0193750 14.8030
0.0200000 14.5696
0.0206625 14.3339
0.0213250 14.1092
0.0219875 13.8947
0.0226500 13.6897
0.0233125 13.4935
0.0239750 13.3055
0.0246375 13.1252
0.0253000 12.9519
0.0264578 12.6650
0.0276156 12.3963
0.0287734 12.1440
0.0299313 11.9064
0.0310891 11.6824
