Pd-110(n,tot) ENDFB-8.0
Energy(eV) XS(b)
5.76356 120.161
5.76949 114.168
5.77542 108.634
5.78135 103.514
5.78729 98.7679
5.79322 94.3612
5.79915 90.2610
5.80509 86.4401
5.81102 82.8735
5.81695 79.5397
5.82288 76.4174
5.82882 73.4900
5.83475 70.7406
5.84068 68.1556
5.84931 64.6618
5.85794 61.4527
5.86559 58.8215
5.87324 56.3717
5.88088 54.0866
5.88853 51.9515
5.89618 49.9535
5.90383 48.0809
5.91148 46.3233
5.91912 44.6714
5.92677 43.1169
5.93442 41.6521
5.94207 40.2701
5.94972 38.9649
5.95736 37.7308
5.96501 36.5626
5.98031 34.4059
5.99657 32.3457
6.01284 30.4937
6.02910 28.8225
6.04536 27.3093
6.06163 25.9346
6.07789 24.6820
6.09416 23.5373
6.11042 22.4885
6.12225 21.7799
6.13408 21.1129
6.14594 20.4822
6.15781 19.8873
6.16967 19.3253
6.18154 18.7939
6.19340 18.2908
6.20527 17.8141
6.22900 16.9328
6.25273 16.1371
6.27646 15.4162
6.30019 14.7611
6.32392 14.1640
6.33839 13.8255
6.35285 13.5048
6.38179 12.9117
6.41072 12.3763
6.43965 11.8912
6.46859 11.4501
6.49752 11.0478
6.52645 10.6798
6.55538 10.3423
6.57651 10.1133
6.59764 9.89773
6.61877 9.69455
6.63990 9.50286
6.66103 9.32178
6.68216 9.15056
6.70329 8.98846
6.72442 8.83483
6.76668 8.55065
6.80894 8.29393
6.85120 8.06128
6.89345 7.84982
6.92150 7.71998
6.94955 7.59774
6.97759 7.48249
7.00564 7.37366
7.03368 7.27074
7.06173 7.17331
7.08977 7.08100
7.11782 6.99349
7.17391 6.83160
7.23000 6.68529
7.28609 6.55263
7.34218 6.43202
7.40375 6.31189
7.46533 6.20299
7.52690 6.10369
7.58847 6.01289
7.65005 5.92978
7.71162 5.85354
7.77320 5.78342
7.83477 5.71876
7.91615 5.64081
7.99753 5.57043
8.07891 5.50640
8.16029 5.44788
8.24167 5.39448
8.32305 5.34571
8.40443 5.30096
8.48581 5.25972
8.54564 5.23145
8.60548 5.20477
8.66531 5.17955
8.72515 5.15572
8.78498 5.13315
8.84482 5.11177
8.96449 5.07223
9.05078 5.04613
9.13707 5.02184
9.22336 4.99921
9.30966 4.97815
9.39595 4.95844
9.48224 4.93988
9.56854 4.92251
9.65483 4.90622
9.74112 4.89092
9.82742 4.87654
9.91371 4.86300
10.0000 4.85028
10.1535 4.82941
10.3070 4.81054
10.4585 4.79369
10.6101 4.77851
10.7616 4.76481
10.9131 4.75248
11.0181 4.74466
11.1232 4.73740
11.2282 4.73072
11.3333 4.72456
11.4383 4.71886
11.5434 4.71367
11.6484 4.70892
11.7535 4.70468
