Mg-24(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0812500 0.0280643
0.0843750 0.0275396
0.0875000 0.0270433
0.0906250 0.0265729
0.0937500 0.0261262
0.0968750 0.0257013
0.100000 0.0252964
0.103125 0.0249101
0.106250 0.0245410
0.109375 0.0241878
0.112500 0.0238495
0.115625 0.0235250
0.118750 0.0232134
0.121875 0.0229139
0.125000 0.0226258
0.128125 0.0223482
0.131250 0.0220806
0.134375 0.0218224
0.137500 0.0215731
0.143750 0.0210991
0.150000 0.0206549
0.156250 0.0202377
0.162500 0.0198447
0.168750 0.0194737
0.175000 0.0191228
0.181250 0.0187902
0.187500 0.0184744
0.193750 0.0181740
0.200000 0.0178879
0.209375 0.0174829
0.218750 0.0171042
0.228125 0.0167490
0.237500 0.0164150
0.246875 0.0161003
0.256250 0.0158029
0.265625 0.0155215
0.275000 0.0152545
0.284375 0.0150009
0.293750 0.0147595
0.303125 0.0145294
0.312500 0.0143098
0.321875 0.0140998
0.331250 0.0138988
0.340625 0.0137062
0.350000 0.0135214
0.359375 0.0133438
0.368750 0.0131731
0.378125 0.0130089
0.387500 0.0128506
0.396875 0.0126981
0.406250 0.0125508
0.425000 0.0122710
0.443750 0.0120091
0.462500 0.0117633
0.500000 0.0113141
0.531250 0.0109766
0.562500 0.0106673
0.593750 0.0103827
0.625000 0.0101196
0.687500 0.00964842
0.750000 0.00923748
0.812500 0.00887507
0.875000 0.00855296
0.937500 0.00826354
1.00000 0.00800101
1.06250 0.00776191
1.12500 0.00754305
1.18750 0.00734173
1.25000 0.00715572
1.37500 0.00682254
1.50000 0.00653197
1.62500 0.00627564
1.75000 0.00604795
1.87500 0.00584336
2.00000 0.00565739
2.18750 0.00540909
2.37500 0.00519111
2.56250 0.00499753
2.75000 0.00482460
2.93750 0.00466846
3.12500 0.00452613
3.31250 0.00439608
3.50000 0.00427663
3.87500 0.00406433
4.25000 0.00388081
4.62500 0.00372011
5.00000 0.00357810
5.31250 0.00347146
5.62500 0.00337360
5.93750 0.00328358
6.25000 0.00320041
6.87500 0.00305143
7.50000 0.00292150
8.12500 0.00280687
8.75000 0.00270498
9.37500 0.00261345
10.0000 0.00253043
10.6250 0.00245486
11.2500 0.00238568
11.8750 0.00232205
12.5000 0.00226325
13.7500 0.00215793
15.0000 0.00206607
16.2500 0.00198504
17.5000 0.00191296
18.7500 0.00184822
20.0000 0.00178950
21.8750 0.00171108
23.7500 0.00164218
25.6250 0.00158100
27.5000 0.00152626
29.3750 0.00147684
31.2500 0.00143188
33.1250 0.00139080
35.0000 0.00135307
38.7500 0.00128600
42.5000 0.00122802
46.2500 0.00117726
50.0000 0.00113235
53.1250 0.00109862
56.2500 0.00106772
59.3750 0.00103929
62.5000 0.00101303
68.7500 0.000965985
75.0000 0.000924959
81.2500 0.000888768
87.5000 0.000856554
93.7500 0.000827621
100.000 0.000801426
106.250 0.000777582
112.500 0.000755757
125.000 0.000717132
137.500 0.000683912
150.000 0.000654944
162.500 0.000629393
175.000 0.000606647
187.500 0.000586221
200.000 0.000567731
218.750 0.000543038
237.500 0.000521342
256.250 0.000502081
275.000 0.000484838
312.500 0.000455142
350.000 0.000430371
387.500 0.000409306
425.000 0.000391108
462.500 0.000375185
500.000 0.000361103
562.500 0.000340862
625.000 0.000323760
687.500 0.000309068
750.000 0.000296272
875.000 0.000274974
1000.00 0.000257859
1125.00 0.000243726
1250.00 0.000231810
1375.00 0.000221593
1500.00 0.000212713
1750.00 0.000197981
2000.00 0.000186199
2375.00 0.000172294
2750.00 0.000161493
3125.00 0.000152832
3500.00 0.000145722
4250.00 0.000134743
5000.00 0.000126693
5625.00 0.000121501
6250.00 0.000117317
7500.00 0.000111134
8750.00 0.000107006
10000.0 0.000104318
12500.0 0.000101941
13125.0 0.000101827
15000.0 0.000102403
17500.0 0.000105001
20000.0 0.000109420
23705.4 0.000119185
27410.7 0.000132825
31116.0 0.000150917
34821.4 0.000174494
36998.0 0.000191704
39174.6 0.000211887
41351.1 0.000235828
43527.7 0.000265552
44000.0 0.000273524
44994.4 0.000297175
45243.0 0.000307727
45491.7 0.000324719
45740.3 0.000360460
45864.6 0.000399677
45926.7 0.000432861
45988.9 0.000484395
46050.0 0.000567890
46080.5 0.000632938
46111.1 0.000724809
46141.7 0.000860692
46156.9 0.000954278
46172.2 0.00106967
46187.5 0.00122182
46202.8 0.00142660
46218.0 0.00170886
46233.3 0.00211184
46242.2 0.00242806
46251.0 0.00283492
46259.9 0.00337691
46268.7 0.00412006
46273.1 0.00460096
46277.5 0.00517957
46282.0 0.00588633
46286.4 0.00676330
46290.8 0.00787610
46295.2 0.00931963
46299.7 0.0112688
46301.9 0.0125305
46304.1 0.0140807
46305.8 0.0155614
46307.5 0.0173963
46309.2 0.0197457
46310.9 0.0228612
46312.6 0.0271346
46314.3 0.0331664
46315.2 0.0371330
46316.0 0.0418545
46316.9 0.0475467
46317.7 0.0544158
46318.6 0.0628111
46319.5 0.0728221
46320.3 0.0850181
46321.2 0.0994893
46322.0 0.117004
46322.9 0.137624
46323.7 0.162353
46324.6 0.191171
46325.4 0.225352
46326.3 0.264709
46327.2 0.310800
46328.0 0.363164
46328.9 0.423632
46329.7 0.491335
46330.6 0.567388
46331.4 0.652149
46332.8 0.812494
46334.2 0.997374
46335.6 1.20528
46337.0 1.43124
46338.5 1.67331
46339.9 1.92107
46341.3 2.16940
46342.7 2.40498
46343.7 2.56975
46344.8 2.71787
46345.8 2.84515
46346.9 2.94699
46347.7 3.00648
46348.5 3.04914
46349.1 3.06935
46349.7 3.07978
46350.0 3.08131
46350.9 3.06950
46351.5 3.04810
46352.2 3.01614
46352.9 2.96779
46353.5 2.90803
46354.2 2.83592
46354.9 2.75444
46355.8 2.64282
46356.6 2.52099
46357.4 2.38814
46358.3 2.24962
46361.6 1.66232
46363.2 1.39591
46364.7 1.14838
46365.5 1.03384
46366.3 0.926234
46367.1 0.825932
46367.9 0.733145
46368.6 0.647937
46369.4 0.570242
46370.2 0.499884
46371.0 0.436595
46371.8 0.380031
46372.5 0.329794
46374.1 0.246984
46375.1 0.201850
46376.2 0.164689
46377.3 0.134369
46378.3 0.109831
46379.4 0.0901154
46380.4 0.0743694
46381.5 0.0618535
46382.6 0.0520197
46383.6 0.0441559
46384.7 0.0379305
46385.7 0.0329885
46386.8 0.0290789
46387.8 0.0259036
46388.9 0.0233275
46391.0 0.0194728
46393.1 0.0167269
46395.2 0.0146841
46397.4 0.0130766
46399.5 0.0117769
46403.7 0.00976570
46407.9 0.00827513
46414.2 0.00666956
46420.4 0.00551606
46426.7 0.00465448
46432.9 0.00399353
46439.1 0.00347366
46445.4 0.00305798
46451.6 0.00272050
46457.8 0.00244348
46470.3 0.00201831
46482.8 0.00170864
46495.3 0.00147511
46507.7 0.00129572
46520.6 0.00115058
46533.6 0.00103562
46559.4 0.000869962
46585.2 0.000753716
46611.1 0.000670318
46636.9 0.000608782
46662.7 0.000562130
46714.4 0.000499296
46766.1 0.000456395
46817.8 0.000428150
46921.1 0.000392781
47020.9 0.000374140
47120.7 0.000364648
47320.2 0.000351635
47719.3 0.000345767
48859.7 0.000360274
50000.0 0.000384225
52265.5 0.000444448
54530.9 0.000520196
55663.7 0.000565990
56796.4 0.000617661
57929.2 0.000676158
59061.9 0.000742665
60307.9 0.000828194
61553.9 0.000928617
62799.9 0.00104744
