60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
1.500000e-02 9.73906082e+01
1.562500e-02 9.54050118e+01
1.625000e-02 9.35345453e+01
1.687500e-02 9.17685849e+01
1.750000e-02 9.00977558e+01
1.812500e-02 8.85138016e+01
1.875000e-02 8.70094000e+01
1.937500e-02 8.55783011e+01
2.000000e-02 8.42143669e+01
2.066250e-02 8.28366179e+01
2.132500e-02 8.15232328e+01
2.198750e-02 8.02694648e+01
2.265000e-02 7.90709816e+01
2.331250e-02 7.79236597e+01
2.397500e-02 7.68240867e+01
2.463750e-02 7.57689665e+01
2.530000e-02 7.47553797e+01
2.617760e-02 7.34764957e+01
2.645780e-02 7.30796730e+01
2.705520e-02 7.22569048e+01
2.761560e-02 7.15063795e+01
2.793280e-02 7.10926884e+01
2.877340e-02 7.00258008e+01
2.881040e-02 6.99800099e+01
2.968800e-02 6.89222241e+01
2.993130e-02 6.86363069e+01
3.056560e-02 6.79090552e+01
3.108910e-02 6.73235250e+01
3.144320e-02 6.69367016e+01
3.224690e-02 6.60795762e+01
3.232080e-02 6.60025150e+01
3.332930e-02 6.49770389e+01
3.340470e-02 6.49023148e+01
3.433770e-02 6.39979467e+01
3.456250e-02 6.37854273e+01
3.534620e-02 6.30589010e+01
3.552740e-02 6.28949387e+01
3.635470e-02 6.21591729e+01
3.649220e-02 6.20397482e+01
3.736310e-02 6.12958924e+01
3.745700e-02 6.12175055e+01
3.837160e-02 6.04664079e+01
3.842190e-02 6.04260112e+01
3.938010e-02 5.96687143e+01
3.938670e-02 5.96636096e+01
4.035160e-02 5.89288892e+01
4.038850e-02 5.89012079e+01
4.131640e-02 5.82200124e+01
4.139700e-02 5.81617020e+01
4.228130e-02 5.75352959e+01
4.240550e-02 5.74491553e+01
4.341390e-02 5.67640093e+01
4.421090e-02 5.62331034e+01
4.442240e-02 5.60960265e+01
4.614060e-02 5.50143961e+01
4.643930e-02 5.48312036e+01
4.807030e-02 5.38678613e+01
4.845630e-02 5.36455147e+01
5.000000e-02 5.27840221e+01
5.155850e-02 5.19556860e+01
5.156250e-02 5.19536141e+01
5.311710e-02 5.11638477e+01
5.312500e-02 5.11599322e+01
5.467560e-02 5.04056469e+01
5.468750e-02 5.03999976e+01
5.623410e-02 4.96790436e+01
5.625000e-02 4.96717254e+01
5.644530e-02 4.95833997e+01
5.664060e-02 4.94953910e+01
5.737310e-02 4.91677051e+01
5.781250e-02 4.89732590e+01
5.810550e-02 4.88457959e+01
5.937500e-02 4.83023640e+01
5.957030e-02 4.82201228e+01
6.093750e-02 4.76565171e+01
6.103520e-02 4.76168855e+01
6.250000e-02 4.70348494e+01
6.406250e-02 4.64363648e+01
6.562500e-02 4.58591960e+01
6.718750e-02 4.53021085e+01
6.875000e-02 4.47638273e+01
7.187500e-02 4.37399096e+01
7.500000e-02 4.27794985e+01
7.812500e-02 4.18761257e+01
8.125000e-02 4.10245947e+01
8.437500e-02 4.02201092e+01
8.750000e-02 3.94585155e+01
9.062500e-02 3.87360496e+01
9.375000e-02 3.80495498e+01
9.687500e-02 3.73960711e+01
1.000000e-01 3.67729017e+01
1.031250e-01 3.61778307e+01
1.062500e-01 3.56088126e+01
1.093750e-01 3.50638640e+01
1.125000e-01 3.45414100e+01
1.156250e-01 3.40400600e+01
1.187500e-01 3.35582039e+01
1.218750e-01 3.30946134e+01
1.250000e-01 3.26482438e+01
1.281250e-01 3.22181369e+01
1.312500e-01 3.18032693e+01
1.343750e-01 3.14028312e+01
1.375000e-01 3.10158555e+01
1.437500e-01 3.02793476e+01
1.500000e-01 2.95877542e+01
1.562500e-01 2.89368157e+01
1.625000e-01 2.83229026e+01
1.687500e-01 2.77424727e+01
1.750000e-01 2.71927725e+01
1.778280e-01 2.69548954e+01
1.812500e-01 2.66723393e+01
1.833710e-01 2.65013018e+01
1.875000e-01 2.61760474e+01
1.889140e-01 2.60671741e+01
1.937500e-01 2.57033151e+01
1.944570e-01 2.56512773e+01
2.000000e-01 2.52521787e+01
2.046880e-01 2.49279801e+01
2.093750e-01 2.46139106e+01
2.140630e-01 2.43133863e+01
2.187500e-01 2.40161847e+01
2.281250e-01 2.34543063e+01
2.375000e-01 2.29247856e+01
2.468750e-01 2.24247469e+01
2.562500e-01 2.19515264e+01
2.656250e-01 2.15028756e+01
2.750000e-01 2.10766138e+01
2.843750e-01 2.06709519e+01
2.937500e-01 2.02842310e+01
3.031250e-01 1.99149423e+01
3.125000e-01 1.95618280e+01
3.218750e-01 1.92238253e+01
3.312500e-01 1.88998383e+01
3.406250e-01 1.85888999e+01
3.500000e-01 1.82900499e+01
3.593750e-01 1.80026399e+01
3.640630e-01 1.78640158e+01
3.687500e-01 1.77257664e+01
3.781250e-01 1.74588074e+01
3.875000e-01 1.72014370e+01
3.921880e-01 1.70769750e+01
3.968750e-01 1.69528350e+01
4.062500e-01 1.67125041e+01
4.156250e-01 1.64803823e+01
4.250000e-01 1.62553138e+01
4.343750e-01 1.60380062e+01
4.437500e-01 1.58266519e+01
4.531250e-01 1.56240114e+01
4.625000e-01 1.54235122e+01
5.000000e-01 1.46843547e+01
5.311710e-01 1.41282795e+01
5.312500e-01 1.41269322e+01
5.623410e-01 1.36154918e+01
5.625000e-01 1.36129353e+01
5.634770e-01 1.35977564e+01
5.644530e-01 1.35826192e+01
5.664060e-01 1.35524141e+01
5.703130e-01 1.34924243e+01
5.737310e-01 1.34399897e+01
5.781250e-01 1.33733518e+01
5.810550e-01 1.33290004e+01
5.937500e-01 1.31399490e+01
5.957030e-01 1.31117935e+01
6.015630e-01 1.30295860e+01
6.250000e-01 1.27015936e+01
6.562500e-01 1.22953641e+01
6.875000e-01 1.19130352e+01
7.187500e-01 1.15639138e+01
7.500000e-01 1.12224076e+01
8.125000e-01 1.06110544e+01
8.750000e-01 1.00663456e+01
9.375000e-01 9.57602571e+00
9.687490e-01 9.35063046e+00
9.687500e-01 9.35062326e+00
9.999990e-01 9.13046235e+00
1.000000e+00 9.13045475e+00
1.000010e+00 9.13038998e+00
1.000020e+00 9.13032521e+00
1.000030e+00 9.13025796e+00
1.000060e+00 9.13006033e+00
1.000120e+00 9.12966508e+00
1.000250e+00 9.12881229e+00
1.000490e+00 9.12723211e+00
1.000980e+00 9.12400863e+00
1.001960e+00 9.11756334e+00
1.003910e+00 9.10473753e+00
1.010740e+00 9.05983222e+00
1.017580e+00 9.01489033e+00
1.031250e+00 8.92514845e+00
1.062500e+00 8.72471388e+00
1.076320e+00 8.64236558e+00
1.121390e+00 8.37449832e+00
1.125000e+00 8.35309799e+00
1.166460e+00 8.12627374e+00
1.187500e+00 8.01142928e+00
1.211530e+00 7.88991201e+00
1.211540e+00 7.88986134e+00
1.211550e+00 7.88981067e+00
1.211570e+00 7.88971015e+00
1.211610e+00 7.88950828e+00
1.211680e+00 7.88915398e+00
1.211830e+00 7.88839677e+00
1.212130e+00 7.88688153e+00
1.212730e+00 7.88385270e+00
1.213940e+00 7.87774562e+00
1.216340e+00 7.86563031e+00
1.223550e+00 7.82924739e+00
1.230770e+00 7.79283495e+00
1.250000e+00 7.69593503e+00
1.304450e+00 7.44149871e+00
1.312500e+00 7.40398617e+00
1.358900e+00 7.20219627e+00
1.375000e+00 7.13237899e+00
1.413350e+00 6.97737005e+00
1.437500e+00 6.88001985e+00
1.467800e+00 6.76496692e+00
1.467810e+00 6.76492863e+00
1.467820e+00 6.76489116e+00
1.467830e+00 6.76485287e+00
1.467860e+00 6.76473881e+00
1.467930e+00 6.76447406e+00
1.468050e+00 6.76401867e+00
1.468310e+00 6.76303378e+00
1.468810e+00 6.76113811e+00
1.469810e+00 6.75734677e+00
1.471830e+00 6.74969247e+00
1.477860e+00 6.72684362e+00
1.483900e+00 6.70396643e+00
1.500000e+00 6.64302980e+00
1.562500e+00 6.42236790e+00
1.625000e+00 6.21437222e+00
1.687500e+00 6.02309608e+00
1.750000e+00 5.83605060e+00
1.778280e+00 5.75826210e+00
1.778290e+00 5.75823451e+00
1.778310e+00 5.75818017e+00
1.778330e+00 5.75812501e+00
1.778380e+00 5.75798792e+00
1.778470e+00 5.75773966e+00
1.778660e+00 5.75721805e+00
1.779040e+00 5.75617401e+00
1.779790e+00 5.75411267e+00
1.781250e+00 5.75010065e+00
1.781300e+00 5.74996581e+00
1.784330e+00 5.74179733e+00
1.790370e+00 5.72551701e+00
1.802460e+00 5.69295003e+00
1.812500e+00 5.66596029e+00
1.851850e+00 5.56185738e+00
1.875000e+00 5.50084090e+00
1.901230e+00 5.43760979e+00
2.000000e+00 5.20031659e+00
2.072540e+00 5.04239439e+00
2.093750e+00 4.99647411e+00
2.118260e+00 4.94579757e+00
2.145090e+00 4.89222969e+00
2.154430e+00 4.87364077e+00
2.154440e+00 4.87362101e+00
2.154450e+00 4.87360124e+00
2.154470e+00 4.87356171e+00
2.154500e+00 4.87350158e+00
2.154560e+00 4.87338216e+00
2.154700e+00 4.87310378e+00
2.154960e+00 4.87258655e+00
2.155490e+00 4.87153234e+00
2.156550e+00 4.86942390e+00
2.158670e+00 4.86520785e+00
2.165040e+00 4.85254575e+00
2.171400e+00 4.83991172e+00
2.185110e+00 4.81270673e+00
2.187500e+00 4.80797101e+00
2.198820e+00 4.78660264e+00
2.226240e+00 4.73495565e+00
2.236530e+00 4.71564796e+00
2.281090e+00 4.63480473e+00
2.281250e+00 4.63451697e+00
2.354790e+00 4.50736661e+00
2.375000e+00 4.47355187e+00
2.390780e+00 4.44842325e+00
2.468750e+00 4.32612742e+00
2.473050e+00 4.31962912e+00
2.500470e+00 4.27954822e+00
2.555310e+00 4.20049957e+00
2.562500e+00 4.19020750e+00
2.582740e+00 4.16259428e+00
2.591320e+00 4.15096028e+00
2.610160e+00 4.12627548e+00
2.613760e+00 4.12157853e+00
2.626370e+00 4.10516010e+00
2.638980e+00 4.08880056e+00
2.656250e+00 4.06653623e+00
2.671590e+00 4.04749509e+00
2.704200e+00 4.00739614e+00
2.709580e+00 4.00088006e+00
2.750000e+00 3.95362245e+00
2.769410e+00 3.93202196e+00
2.827840e+00 3.86859481e+00
2.834630e+00 3.86149147e+00
2.843750e+00 3.85224798e+00
2.899840e+00 3.79780208e+00
2.937500e+00 3.76268190e+00
2.946100e+00 3.75519571e+00
2.965060e+00 3.73934908e+00
3.030270e+00 3.68764000e+00
3.042870e+00 3.67805661e+00
3.046580e+00 3.67534814e+00
3.062880e+00 3.66369865e+00
3.071030e+00 3.65796887e+00
3.079180e+00 3.65230376e+00
3.087340e+00 3.64669295e+00
3.091410e+00 3.64392282e+00
3.095490e+00 3.64115805e+00
3.099560e+00 3.63842108e+00
3.103640e+00 3.63569114e+00
3.107710e+00 3.63298735e+00
3.111790e+00 3.63029142e+00
3.115870e+00 3.62761206e+00
3.119940e+00 3.62496135e+00
3.124020e+00 3.62231766e+00
3.125000e+00 3.62168779e+00
3.128090e+00 3.61985652e+00
3.136250e+00 3.61506901e+00
3.139630e+00 3.61311926e+00
3.144400e+00 3.61051411e+00
3.160700e+00 3.60184816e+00
3.163400e+00 3.60044620e+00
3.171880e+00 3.59609929e+00
3.172090e+00 3.59599647e+00
3.180780e+00 3.59184288e+00
3.198160e+00 3.58384749e+00
3.208320e+00 3.57937528e+00
3.218490e+00 3.57504464e+00
3.218750e+00 3.57494001e+00
3.236390e+00 3.56808090e+00
3.238820e+00 3.56721322e+00
3.279470e+00 3.55474199e+00
3.312500e+00 3.54711730e+00
3.320130e+00 3.54573863e+00
3.333150e+00 3.54454307e+00
3.360790e+00 3.54294223e+00
3.401450e+00 3.54482421e+00
3.429910e+00 3.54964914e+00
3.442100e+00 3.55217188e+00
3.462430e+00 3.55852884e+00
3.482760e+00 3.56648801e+00
3.500000e+00 3.57471709e+00
3.503090e+00 3.57636197e+00
3.523420e+00 3.58910638e+00
3.526670e+00 3.59153007e+00
3.548360e+00 3.60864350e+00
3.573290e+00 3.63203485e+00
3.598230e+00 3.65960747e+00
3.623170e+00 3.69194856e+00
3.623430e+00 3.69234265e+00
3.648100e+00 3.73102800e+00
3.673040e+00 3.77636780e+00
3.687500e+00 3.80685781e+00
3.697980e+00 3.82944890e+00
3.720190e+00 3.88482901e+00
3.722920e+00 3.89177398e+00
3.736450e+00 3.93022643e+00
3.749980e+00 3.97181363e+00
3.763520e+00 4.01682893e+00
3.777050e+00 4.06562275e+00
3.779320e+00 4.07449740e+00
3.790590e+00 4.11905813e+00
3.804120e+00 4.17719336e+00
3.817660e+00 4.24040744e+00
3.831190e+00 4.30927796e+00
3.831200e+00 4.30931881e+00
3.831210e+00 4.30935551e+00
3.831220e+00 4.30942539e+00
3.831250e+00 4.30956867e+00
3.831300e+00 4.30986000e+00
3.831410e+00 4.31042130e+00
3.831620e+00 4.31157355e+00
3.832050e+00 4.31385670e+00
3.832910e+00 4.31845618e+00
3.834630e+00 4.32772978e+00
3.838060e+00 4.34658858e+00
3.838450e+00 4.34885466e+00
3.852010e+00 4.42847630e+00
3.858980e+00 4.47232431e+00
3.865950e+00 4.51823727e+00
3.872920e+00 4.56634788e+00
3.875000e+00 4.58140056e+00
3.879890e+00 4.61700035e+00
3.886870e+00 4.67021868e+00
3.893840e+00 4.72607790e+00
3.897580e+00 4.75755965e+00
3.900810e+00 4.78498583e+00
3.907780e+00 4.84714583e+00
3.914750e+00 4.91249863e+00
3.921730e+00 4.98125687e+00
3.928700e+00 5.05365873e+00
3.935670e+00 5.12995829e+00
3.949610e+00 5.29539497e+00
3.956710e+00 5.38888004e+00
3.962080e+00 5.46008377e+00
3.974550e+00 5.64300310e+00
3.987020e+00 5.84610759e+00
3.999490e+00 6.07243248e+00
4.011960e+00 6.32570133e+00
4.015850e+00 6.41192067e+00
4.018190e+00 6.46398846e+00
4.024430e+00 6.61108764e+00
4.030660e+00 6.76736836e+00
4.036890e+00 6.93362556e+00
4.043130e+00 7.11073711e+00
4.045410e+00 7.17988620e+00
4.049360e+00 7.29995800e+00
4.059560e+00 7.63831608e+00
4.062500e+00 7.74432135e+00
4.064660e+00 7.82228193e+00
4.069760e+00 8.01716959e+00
4.074870e+00 8.22383318e+00
4.074980e+00 8.22856556e+00
4.079970e+00 8.44364427e+00
4.085070e+00 8.67729692e+00
4.090170e+00 8.92595160e+00
4.095270e+00 9.19108448e+00
4.100370e+00 9.47416341e+00
4.104540e+00 9.72171956e+00
4.105470e+00 9.77701630e+00
4.110570e+00 1.01018017e+01
4.115670e+00 1.04504461e+01
4.120770e+00 1.08254124e+01
4.125870e+00 1.12294375e+01
4.130970e+00 1.16658052e+01
4.134110e+00 1.19591347e+01
4.137210e+00 1.22490733e+01
4.143440e+00 1.28945547e+01
4.149680e+00 1.36116074e+01
4.155910e+00 1.44116703e+01
4.159030e+00 1.48474044e+01
4.162150e+00 1.53091786e+01
4.163680e+00 1.55504686e+01
4.165260e+00 1.57998593e+01
4.168380e+00 1.63217685e+01
4.171500e+00 1.68775132e+01
4.174610e+00 1.74702405e+01
4.177730e+00 1.81034418e+01
4.180850e+00 1.87808447e+01
4.183970e+00 1.95070105e+01
4.187080e+00 2.02862474e+01
4.190200e+00 2.11240370e+01
4.193240e+00 2.20032100e+01
4.193320e+00 2.20263586e+01
4.196430e+00 2.30000569e+01
4.199550e+00 2.40518808e+01
4.202670e+00 2.51898690e+01
4.205780e+00 2.64227235e+01
4.208900e+00 2.77604901e+01
