16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.000000e-03 4.02078101e+00
1.031250e-03 3.97005726e+00
1.062500e-03 3.92168843e+00
1.093750e-03 3.87550542e+00
1.125000e-03 3.83133929e+00
1.156250e-03 3.78906051e+00
1.187500e-03 3.74853027e+00
1.218750e-03 3.70964821e+00
1.250000e-03 3.67229587e+00
1.281250e-03 3.63638346e+00
1.312500e-03 3.60183082e+00
1.343750e-03 3.56853923e+00
1.375000e-03 3.53643966e+00
1.437500e-03 3.47557395e+00
1.500000e-03 3.41872819e+00
1.562500e-03 3.36549453e+00
1.625000e-03 3.31551433e+00
1.687500e-03 3.26848006e+00
1.750000e-03 3.22410439e+00
1.812500e-03 3.18216722e+00
1.875000e-03 3.14244121e+00
1.937500e-03 3.10475679e+00
2.000000e-03 3.06893563e+00
2.093750e-03 3.01839927e+00
2.187500e-03 2.97131076e+00
2.281250e-03 2.92730231e+00
2.375000e-03 2.88605619e+00
2.468750e-03 2.84729577e+00
2.562500e-03 2.81079152e+00
2.656250e-03 2.77633527e+00
2.750000e-03 2.74373984e+00
2.843750e-03 2.71285494e+00
2.937500e-03 2.68353303e+00
3.031250e-03 2.65564475e+00
3.125000e-03 2.62908129e+00
3.218750e-03 2.60374335e+00
3.312500e-03 2.57954206e+00
3.406250e-03 2.55639777e+00
3.500000e-03 2.53422226e+00
3.593750e-03 2.51297479e+00
3.687500e-03 2.49256730e+00
3.781250e-03 2.47296898e+00
3.875000e-03 2.45411176e+00
3.968750e-03 2.43596449e+00
4.062500e-03 2.41846952e+00
4.250000e-03 2.38531467e+00
4.437500e-03 2.35437990e+00
4.625000e-03 2.32542760e+00
4.812500e-03 2.29825102e+00
5.000000e-03 2.27268144e+00
5.156250e-03 2.25249242e+00
5.312500e-03 2.23323988e+00
5.468750e-03 2.21485424e+00
5.625000e-03 2.19726677e+00
5.781250e-03 2.18041867e+00
5.937500e-03 2.16427895e+00
6.093750e-03 2.14877996e+00
6.250000e-03 2.13388203e+00
6.406250e-03 2.11956453e+00
6.562500e-03 2.10577853e+00
6.718750e-03 2.09248531e+00
6.875000e-03 2.07967421e+00
7.187500e-03 2.05535060e+00
7.500000e-03 2.03262147e+00
7.812500e-03 2.01131851e+00
8.125000e-03 1.99129435e+00
8.437500e-03 1.97243061e+00
8.750000e-03 1.95462807e+00
9.062500e-03 1.93777986e+00
9.375000e-03 1.92180631e+00
9.687500e-03 1.90662887e+00
1.000000e-02 1.89219815e+00
1.031250e-02 1.87845472e+00
1.062500e-02 1.86533073e+00
1.093750e-02 1.85279580e+00
1.125000e-02 1.84080065e+00
1.156250e-02 1.82930712e+00
1.187500e-02 1.81828437e+00
1.218750e-02 1.80769409e+00
1.250000e-02 1.79752537e+00
1.281250e-02 1.78773011e+00
1.312500e-02 1.77830718e+00
1.343750e-02 1.76921850e+00
1.375000e-02 1.76045364e+00
1.437500e-02 1.74380653e+00
1.500000e-02 1.72822904e+00
1.562500e-02 1.71363222e+00
1.625000e-02 1.69989857e+00
1.687500e-02 1.68695873e+00
1.750000e-02 1.67473510e+00
1.812500e-02 1.66315848e+00
1.875000e-02 1.65218013e+00
1.937500e-02 1.64175020e+00
2.000000e-02 1.63182982e+00
2.066250e-02 1.62181287e+00
