Ne-22(n,g) ENDFB-8.0
Energy(eV) XS(b)
0.0345625 0.0389262
0.0355274 0.0383940
0.0364922 0.0378830
0.0374570 0.0373919
0.0384219 0.0369194
0.0393867 0.0364643
0.0403516 0.0360257
0.0413164 0.0356025
0.0422813 0.0351939
0.0442109 0.0344172
0.0461406 0.0336897
0.0480703 0.0330065
0.0500000 0.0323632
0.0515625 0.0318690
0.0531250 0.0313968
0.0546875 0.0309449
0.0562500 0.0305121
0.0578125 0.0300969
0.0593750 0.0296983
0.0609375 0.0293150
0.0625000 0.0289463
0.0640625 0.0285911
0.0656250 0.0282487
0.0671875 0.0279183
0.0687500 0.0275992
0.0718750 0.0269926
0.0750000 0.0264242
0.0781250 0.0258903
0.0812500 0.0253875
0.0843750 0.0249128
0.0875000 0.0244638
0.0906250 0.0240382
0.0937500 0.0236340
0.0968750 0.0232496
0.100000 0.0228833
0.103125 0.0225338
0.106250 0.0221999
0.109375 0.0218803
0.112500 0.0215742
0.115625 0.0212807
0.118750 0.0209987
0.121875 0.0207278
0.125000 0.0204670
0.128125 0.0202159
0.131250 0.0199738
0.134375 0.0197402
0.137500 0.0195146
0.143750 0.0190857
0.150000 0.0186839
0.156250 0.0183063
0.162500 0.0179507
0.168750 0.0176151
0.175000 0.0172976
0.181250 0.0169967
0.187500 0.0167110
0.193750 0.0164392
0.200000 0.0161803
0.209375 0.0158138
0.218750 0.0154711
0.228125 0.0151498
0.237500 0.0148476
0.246875 0.0145628
0.256250 0.0142937
0.265625 0.0140390
0.275000 0.0137975
0.284375 0.0135680
0.293750 0.0133496
0.303125 0.0131414
0.312500 0.0129426
0.321875 0.0127526
0.331250 0.0125707
0.340625 0.0123964
0.350000 0.0122292
0.359375 0.0120685
0.368750 0.0119141
0.378125 0.0117654
0.387500 0.0116222
0.396875 0.0114842
0.406250 0.0113509
0.425000 0.0110977
0.443750 0.0108607
0.462500 0.0106382
0.500000 0.0102317
0.531250 0.00992622
0.562500 0.00964633
0.593750 0.00938869
0.625000 0.00915060
0.687500 0.00872411
0.750000 0.00835214
0.812500 0.00802410
0.875000 0.00773249
0.937500 0.00747046
1.00000 0.00723279
1.06250 0.00701632
1.12500 0.00681816
1.18750 0.00663587
1.25000 0.00646743
1.37500 0.00616571
1.50000 0.00590255
1.62500 0.00567039
1.75000 0.00546413
1.87500 0.00527878
2.00000 0.00511029
2.18750 0.00488530
2.37500 0.00468776
2.56250 0.00451231
2.75000 0.00435555
2.93750 0.00421399
3.12500 0.00408493
3.31250 0.00396698
3.50000 0.00385864
3.87500 0.00366604
4.25000 0.00349951
4.62500 0.00335364
5.00000 0.00322469
5.31250 0.00312785
5.62500 0.00303895
5.93750 0.00295716
6.25000 0.00288156
6.87500 0.00274612
7.50000 0.00262793
8.12500 0.00252362
8.75000 0.00243086
9.37500 0.00234750
10.0000 0.00227185
10.6250 0.00220295
11.2500 0.00213985
11.8750 0.00208178
12.5000 0.00202810
13.7500 0.00193188
15.0000 0.00184789
16.2500 0.00177373
17.5000 0.00170771
18.7500 0.00164836
20.0000 0.00159447
21.8750 0.00152243
23.7500 0.00145905
25.6250 0.00140270
27.5000 0.00135221
29.3750 0.00130658
31.2500 0.00126501
33.1250 0.00122698
35.0000 0.00119200
36.8750 0.00115969
38.7500 0.00112972
42.5000 0.00107575
46.2500 0.00102837
50.0000 0.000986361
53.1250 0.000954744
56.2500 0.000925720
59.3750 0.000898970
62.5000 0.000874208
68.7500 0.000829734
75.0000 0.000790807
81.2500 0.000756346
87.5000 0.000725565
93.7500 0.000697826
100.000 0.000672631
106.250 0.000649622
112.500 0.000628497
125.000 0.000590943
137.500 0.000558457
150.000 0.000529973
162.500 0.000504717
175.000 0.000482124
187.500 0.000461740
200.000 0.000443205
218.750 0.000418324
237.500 0.000396337
256.250 0.000376713
275.000 0.000359060
312.500 0.000328463
350.000 0.000302752
387.500 0.000280757
425.000 0.000261668
462.500 0.000244905
500.000 0.000230042
562.500 0.000208641
625.000 0.000190552
687.500 0.000175036
750.000 0.000161567
812.500 0.000149757
875.000 0.000139317
1000.00 0.000121688
1125.00 0.000107389
1250.00 9.55799E-05
1375.00 8.56889E-05
1500.00 7.73098E-05
1750.00 6.39921E-05
2000.00 5.41392E-05
2167.38 4.92339E-05
2334.75 4.63407E-05
2355.67 4.62557E-05
2407.98 4.66342E-05
2460.28 4.84602E-05
2486.44 5.05483E-05
2512.59 5.41246E-05
2538.74 6.03573E-05
2551.82 6.50862E-05
2564.89 7.20826E-05
2573.39 7.83497E-05
2581.89 8.66628E-05
2590.39 9.78803E-05
2598.89 0.000112711
2607.39 0.000134805
2611.64 0.000149747
2615.89 0.000168429
2620.14 0.000192218
2624.39 0.000223028
2628.64 0.000263269
2632.89 0.000318886
2635.67 0.000367531
2638.45 0.000430042
2641.23 0.000512257
2644.00 0.000623326
2646.78 0.000778079
2648.17 0.000879456
2649.56 0.00100354
2650.95 0.00115845
2652.34 0.00135533
2653.73 0.00161125
2655.12 0.00195311
2656.26 0.00233082
2657.41 0.00284306
2657.98 0.00317431
2658.55 0.00357851
2659.12 0.00408491
2659.69 0.00474071
2660.27 0.00562366
2660.84 0.00686178
2661.12 0.00767471
2661.41 0.00866232
2661.70 0.00986914
2661.98 0.0113497
2662.27 0.0131700
2662.55 0.0154084
2662.84 0.0181561
2663.13 0.0215178
2663.41 0.0256103
2663.70 0.0305606
2663.98 0.0365030
2664.27 0.0435738
2664.68 0.0559056
2665.09 0.0711468
2665.50 0.0895203
2665.91 0.111017
2666.31 0.135550
2666.72 0.162521
2667.54 0.220557
2667.91 0.246382
2668.28 0.270507
2668.64 0.291796
2669.01 0.309176
2669.23 0.317176
2669.44 0.323353
2669.66 0.327587
2669.88 0.329797
2670.00 0.330131
2670.32 0.327797
2670.64 0.320991
2670.89 0.312813
2671.14 0.302327
2671.39 0.289796
2671.64 0.275582
2671.96 0.255223
2672.28 0.233278
2672.92 0.187546
2673.24 0.165083
2673.56 0.143621
2673.88 0.123570
2674.20 0.105220
2674.54 0.0878781
2674.87 0.0727090
2675.21 0.0596850
2675.55 0.0487235
2675.89 0.0395883
2676.22 0.0321279
2676.56 0.0260765
2676.90 0.0212500
2677.24 0.0174116
2677.58 0.0143890
2677.91 0.0120179
2678.25 0.0101647
2678.59 0.00870458
2678.93 0.00755498
2679.26 0.00663698
2679.60 0.00590041
2680.10 0.00505138
2680.60 0.00440427
2681.09 0.00389578
2681.59 0.00348568
2682.59 0.00285911
2683.58 0.00240186
2684.58 0.00205259
2685.57 0.00177852
2686.57 0.00155861
2687.56 0.00137918
2689.55 0.00110595
2691.54 0.000909583
2693.54 0.000762778
2695.53 0.000650185
2697.94 0.000545539
2700.36 0.000465715
2702.78 0.000403413
2705.19 0.000353999
2707.61 0.000314266
2710.03 0.000281506
2714.86 0.000230673
2719.70 0.000194003
2724.53 0.000166742
2729.36 0.000145918
2734.20 0.000129849
2741.59 0.000111278
2748.99 9.73761E-05
2756.38 8.68291E-05
2763.77 7.86463E-05
2778.56 6.70376E-05
2793.35 5.94810E-05
2808.13 5.39358E-05
2822.92 4.97998E-05
2852.49 4.41984E-05
2884.34 4.04657E-05
2916.19 3.78604E-05
2979.89 3.44028E-05
3107.28 3.04230E-05
3180.08 2.88715E-05
3453.07 2.46808E-05
3726.06 2.16636E-05
3999.04 1.92672E-05
4272.03 1.73610E-05
4490.42 1.61963E-05
4708.81 1.55161E-05
4745.21 1.54855E-05
4872.61 1.57770E-05
4936.30 1.63353E-05
5000.00 1.74812E-05
5053.20 1.94656E-05
5079.79 2.09239E-05
5106.39 2.32002E-05
5132.99 2.65865E-05
5146.29 2.90435E-05
5159.59 3.21257E-05
5172.89 3.60592E-05
5186.19 4.14156E-05
5199.48 4.89442E-05
5212.78 5.98251E-05
5220.34 6.83312E-05
5227.89 7.93242E-05
5235.45 9.34829E-05
5243.01 0.000113136
5246.78 0.000125787
5250.56 0.000140979
5254.34 0.000159444
5258.12 0.000182199
5261.90 0.000210685
5265.67 0.000246910
5269.45 0.000293694
5273.23 0.000356003
5275.95 0.000415216
5278.67 0.000491673
5281.39 0.000592688
5284.11 0.000730049
5285.47 0.000818194
5286.83 0.000923940
5288.19 0.00105269
5289.55 0.00121220
5290.91 0.00141428
5292.27 0.00167801
5293.63 0.00203822
5294.31 0.00227478
5294.99 0.00256878
5295.56 0.00287603
5296.13 0.00326344
5296.69 0.00376416
5297.26 0.00442490
5297.83 0.00531648
5298.39 0.00653366
5298.96 0.00820684
5299.53 0.0105034
5299.81 0.0119582
5300.09 0.0136506
5300.38 0.0156276
5300.66 0.0179133
5301.23 0.0236051
5301.79 0.0310562
5302.36 0.0406458
5302.93 0.0526878
5303.49 0.0674320
5304.06 0.0849646
5304.50 0.100316
5304.93 0.117130
5305.80 0.154334
5306.67 0.193717
5307.54 0.231118
5307.93 0.246232
5308.33 0.259437
5308.73 0.270382
5309.12 0.278656
5309.53 0.284128
5309.94 0.286306
5310.00 0.286342
5310.20 0.285939
5310.39 0.284750
5310.79 0.280066
5311.15 0.273260
5311.50 0.264219
5311.86 0.253185
5312.22 0.240486
5312.65 0.223394
5313.08 0.204942
5313.94 0.166139
5314.80 0.128360
5315.23 0.110923
5315.65 0.0948221
5316.19 0.0768097
5316.73 0.0613161
5317.27 0.0483251
5317.80 0.0377062
5318.34 0.0291827
5318.88 0.0224910
5319.41 0.0173307
5319.95 0.0134185
5320.49 0.0104783
5321.02 0.00829272
5321.56 0.00667574
5322.10 0.00548113
5322.63 0.00459042
5323.17 0.00392159
5323.71 0.00340951
5324.24 0.00301123
5324.89 0.00263781
5325.53 0.00234465
5326.82 0.00191129
5328.11 0.00160251
5329.39 0.00136934
5330.68 0.00118672
5331.97 0.00104006
5333.26 0.000920025
5334.55 0.000820284
5337.12 0.000665112
5339.70 0.000551237
5342.27 0.000465171
5344.85 0.000398590
5348.43 0.000328506
5352.01 0.000275945
5355.58 0.000235278
5359.16 0.000203286
5362.74 0.000177721
5366.32 0.000156969
5369.90 0.000139888
5373.47 0.000125661
5380.63 0.000103541
5387.78 8.75527E-05
5394.94 7.51543E-05
5402.09 6.55290E-05
5408.39 5.87599E-05
5414.69 5.31691E-05
5427.28 4.45787E-05
5439.88 3.84321E-05
5452.47 3.38745E-05
5465.06 3.02782E-05
5477.66 2.73945E-05
5502.85 2.33298E-05
5528.03 2.05251E-05
5553.22 1.86379E-05
5578.41 1.71079E-05
5603.60 1.59258E-05
5640.23 1.46792E-05
5676.87 1.37540E-05
5750.14 1.24686E-05
5896.69 1.09726E-05
5969.96 1.04753E-05
6153.15 9.55739E-06
6336.33 8.87186E-06
6739.33 7.74818E-06
7142.34 6.88395E-06
7948.35 5.57646E-06
8461.26 4.94078E-06
8974.17 4.40754E-06
10000.0 3.56947E-06
12500.0 2.31680E-06
15000.0 1.63772E-06
17500.0 1.24204E-06
19687.5 1.06341E-06
20000.0 1.05806E-06
20859.5 1.12458E-06
21719.1 1.76204E-06
22312.5 8.98521E-06
22334.3 1.02906E-05
22356.0 1.19343E-05
22377.8 1.40463E-05
22399.5 1.68203E-05
22421.3 2.05675E-05
22443.0 2.56785E-05
22453.9 2.90669E-05
22464.7 3.32107E-05
22475.6 3.83394E-05
22486.5 4.47926E-05
22496.1 5.19886E-05
22505.7 6.11037E-05
22515.3 7.28986E-05
22524.9 8.83965E-05
22534.5 0.000109514
22539.3 0.000123175
22544.1 0.000139617
22548.9 0.000159718
22553.6 0.000184537
22558.4 0.000215828
22563.2 0.000255872
22567.4 0.000300626
22571.6 0.000358627
22575.7 0.000436112
22579.9 0.000543531
22581.9 0.000614497
22584.0 0.000702567
22586.1 0.000816071
22588.2 0.000970744
22589.2 0.00107402
22590.3 0.00120372
22591.3 0.00137115
22592.3 0.00159295
22593.4 0.00189327
22594.4 0.00230655
22595.5 0.00288092
22596.0 0.00324827
22596.5 0.00367315
22597.4 0.00458974
22598.2 0.00579777
22599.1 0.00737932
22600.0 0.00943212
22600.9 0.0120695
22601.8 0.0154191
22602.6 0.0196198
22603.5 0.0247517
22604.4 0.0310758
22605.3 0.0386734
22606.2 0.0476574
22607.0 0.0581064
22607.9 0.0700507
22608.8 0.0834592
22610.5 0.113982
22613.3 0.167275
22614.6 0.193264
22616.0 0.216233
22617.2 0.232427
22618.4 0.243592
22619.5 0.248717
22620.0 0.249280
22620.3 0.249140
22620.5 0.248704
22621.1 0.246428
22621.8 0.242546
22623.2 0.227352
22624.7 0.205353
22626.4 0.174654
22628.0 0.141581
22629.7 0.109491
22631.4 0.0808904
22632.4 0.0660733
22633.4 0.0532851
22634.4 0.0423778
22635.3 0.0332714
22636.3 0.0257545
22637.3 0.0197909
22638.3 0.0150934
22639.3 0.0114559
22640.3 0.00865899
22640.8 0.00753390
22641.3 0.00658135
22641.8 0.00574399
22642.3 0.00503891
22643.3 0.00390476
22644.3 0.00307625
22645.3 0.00247265
22646.3 0.00203211
22647.2 0.00170835
22648.3 0.00145491
22649.3 0.00126752
22650.4 0.00112276
22651.4 0.00101003
22653.5 0.000842411
22655.6 0.000722200
22657.7 0.000629898
22659.8 0.000555953
22661.9 0.000495131
22664.0 0.000444247
22668.1 0.000364172
22672.3 0.000304504
22676.5 0.000258765
22680.7 0.000222952
22686.1 0.000186618
22691.5 0.000158608
22697.0 0.000136476
22702.4 0.000118704
