Os-187(n,g) ENDFB-8.0
Energy(eV) XS(b)
21.3123 25.0678
21.3186 25.3626
21.3248 25.6628
21.3311 25.9686
21.3374 26.2799
21.3437 26.5970
21.3500 26.9201
21.3562 27.2487
21.3625 27.5840
21.3688 27.9258
21.3751 28.2741
21.3814 28.6291
21.3876 28.9910
21.3939 29.3600
21.4002 29.7362
21.4065 30.1193
21.4127 30.5107
21.4190 30.9099
21.4253 31.3173
21.4316 31.7329
21.4379 32.1570
21.4441 32.5900
21.4504 33.0319
21.4567 33.4831
21.4630 33.9438
21.4693 34.4144
21.4755 34.8950
21.4818 35.3860
21.4881 35.8877
21.4944 36.4004
21.5007 36.9245
21.5069 37.4593
21.5132 38.0070
21.5195 38.5671
21.5258 39.1400
21.5321 39.7260
21.5383 40.3256
21.5446 40.9392
21.5572 42.2091
21.5697 43.5417
21.5823 44.9387
21.5948 46.4070
21.6074 47.9489
21.6199 49.5722
21.6325 51.2815
21.6451 53.0829
21.6576 54.9818
21.6702 56.9887
21.6827 59.1104
21.6953 61.3560
21.7078 63.7335
21.7204 66.2577
21.7330 68.9390
21.7455 71.7910
21.7581 74.8289
21.7706 78.0694
21.7832 81.5315
21.7958 85.2362
21.8083 89.2042
21.8146 91.2979
21.8209 93.4686
21.8272 95.7202
21.8334 98.0569
21.8397 100.483
21.8460 103.004
21.8523 105.624
21.8585 108.344
21.8648 111.180
21.8711 114.132
21.8774 117.208
21.8837 120.416
21.8899 123.762
21.8962 127.256
21.9025 130.907
21.9088 134.718
21.9151 138.712
21.9213 142.895
21.9276 147.279
21.9339 151.880
21.9402 156.711
21.9465 161.790
21.9527 167.134
21.9590 172.755
21.9653 178.693
21.9716 184.963
21.9778 191.592
21.9841 198.600
21.9904 206.043
21.9967 213.946
22.0030 222.353
22.0092 231.295
22.0147 239.523
22.0201 248.224
22.0255 257.472
22.0309 267.280
22.0364 277.737
22.0418 288.864
22.0472 300.742
22.0526 313.445
22.0580 327.080
22.0635 341.684
22.0689 357.413
22.0743 374.318
22.0797 392.587
22.0852 412.287
22.0906 433.601
22.0960 456.697
22.0991 470.963
22.1023 485.925
22.1054 501.625
22.1086 518.104
22.1117 535.406
22.1148 553.580
22.1180 572.673
22.1211 592.671
22.1243 613.757
22.1274 635.922
22.1305 659.226
22.1337 683.728
22.1368 709.492
22.1400 736.582
22.1431 765.066
22.1462 794.914
22.1494 826.388
22.1525 859.467
22.1556 894.226
22.1588 930.740
22.1619 969.086
22.1651 1009.34
22.1682 1051.59
22.1713 1095.89
22.1745 1142.35
22.1776 1191.02
22.1808 1242.00
22.1839 1295.34
22.1870 1351.14
22.1902 1409.45
22.1933 1470.36
22.1965 1533.71
22.1996 1599.97
22.2027 1668.99
22.2090 1815.55
22.2153 1973.71
22.2216 2143.68
22.2279 2325.52
22.2341 2519.13
22.2404 2724.22
22.2467 2939.95
22.2547 3229.97
22.2627 3534.23
22.2707 3850.42
22.2787 4175.24
22.3038 5205.25
22.3163 5690.43
22.3226 5916.25
22.3289 6126.95
22.3364 6357.14
22.3439 6557.78
22.3515 6725.38
22.3590 6856.68
22.3643 6925.45
22.3695 6974.55
22.3748 7003.50
22.3800 7012.02
22.3813 7010.97
22.3826 7008.65
22.3869 6992.26
22.3912 6962.57
22.3997 6863.94
22.4082 6715.34
22.4168 6520.55
22.4242 6317.62
22.4316 6087.54
22.4390 5834.13
22.4464 5561.68
22.4538 5272.65
22.4613 4973.69
22.4762 4361.65
22.4911 3756.72
22.4985 3465.34
22.5059 3185.22
22.5124 2953.45
22.5188 2732.34
22.5252 2522.65
22.5317 2324.91
22.5381 2139.42
22.5445 1966.28
22.5510 1805.41
22.5574 1656.59
22.5611 1575.65
22.5648 1498.75
22.5686 1425.59
22.5723 1356.06
22.5760 1289.88
22.5797 1227.27
22.5834 1167.95
22.5872 1111.79
22.5909 1058.51
22.5946 1008.28
22.5983 960.826
22.6021 916.013
22.6058 873.716
22.6095 833.812
22.6132 796.178
22.6169 760.693
22.6210 724.196
22.6251 690.068
22.6291 658.075
22.6332 628.083
22.6372 599.963
22.6413 573.593
22.6454 548.857
22.6494 525.645
22.6535 503.802
22.6576 483.337
22.6616 464.102
22.6657 446.014
22.6697 428.991
22.6738 412.959
22.6779 397.849
22.6819 383.594
22.6894 359.469
22.6968 337.721
22.7043 318.002
22.7117 300.114
22.7191 283.791
22.7266 268.891
22.7340 255.210
22.7415 242.646
22.7489 231.044
22.7564 220.330
22.7638 210.384
22.7713 201.155
22.7787 192.548
22.7861 184.526
22.7936 177.013
22.8010 169.985
22.8085 163.379
22.8159 157.170
22.8234 151.325
22.8308 145.821
22.8383 140.617
22.8457 135.704
22.8606 126.642
22.8755 118.487
22.8904 111.118
