Mg-24(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.0625000 3.81310
0.0640625 3.81192
0.0656250 3.81078
0.0671875 3.80969
0.0687500 3.80865
0.0718750 3.80669
0.0750000 3.80488
0.0781250 3.80321
0.0812500 3.80165
0.0843750 3.80019
0.0875000 3.79884
0.0906250 3.79756
0.0937500 3.79637
0.0968750 3.79524
0.100000 3.79418
0.103125 3.79317
0.106250 3.79222
0.109375 3.79132
0.112500 3.79047
0.115625 3.78965
0.118750 3.78888
0.121875 3.78814
0.125000 3.78743
0.128125 3.78676
0.131250 3.78611
0.134375 3.78549
0.137500 3.78490
0.143750 3.78378
0.150000 3.78274
0.156250 3.78178
0.162500 3.78089
0.168750 3.78005
0.175000 3.77927
0.181250 3.77854
0.187500 3.77785
0.193750 3.77719
0.200000 3.77658
0.209375 3.77572
0.218750 3.77492
0.228125 3.77418
0.237500 3.77350
0.246875 3.77286
0.256250 3.77226
0.265625 3.77170
0.275000 3.77117
0.284375 3.77067
0.293750 3.77020
0.303125 3.76975
0.312500 3.76933
0.321875 3.76893
0.331250 3.76855
0.340625 3.76819
0.350000 3.76785
0.359375 3.76752
0.368750 3.76720
0.378125 3.76690
0.387500 3.76661
0.396875 3.76633
0.406250 3.76607
0.425000 3.76557
0.443750 3.76510
0.462500 3.76467
0.500000 3.76389
0.531250 3.76331
0.562500 3.76279
0.593750 3.76232
0.625000 3.76188
0.687500 3.76111
0.750000 3.76046
0.812500 3.75988
0.875000 3.75938
0.937500 3.75894
1.00000 3.75854
1.06250 3.75818
1.12500 3.75785
1.18750 3.75756
1.25000 3.75728
1.37500 3.75680
1.50000 3.75639
1.62500 3.75603
1.75000 3.75571
1.87500 3.75543
2.00000 3.75517
2.18750 3.75483
2.37500 3.75454
2.56250 3.75428
2.75000 3.75406
2.93750 3.75385
3.12500 3.75367
3.31250 3.75350
3.50000 3.75335
3.87500 3.75308
4.25000 3.75284
4.62500 3.75264
5.00000 3.75247
5.31250 3.75233
5.62500 3.75221
5.93750 3.75210
6.25000 3.75200
6.87500 3.75182
7.50000 3.75166
8.12500 3.75152
8.75000 3.75140
9.37500 3.75129
10.0000 3.75119
10.6250 3.75110
11.2500 3.75101
11.8750 3.75094
12.5000 3.75087
13.7500 3.75074
15.0000 3.75063
16.2500 3.75053
17.5000 3.75045
18.7500 3.75037
20.0000 3.75029
21.8750 3.75020
23.7500 3.75011
25.6250 3.75004
27.5000 3.74997
29.3750 3.74990
31.2500 3.74984
33.1250 3.74979
35.0000 3.74974
38.7500 3.74965
42.5000 3.74957
46.2500 3.74949
50.0000 3.74943
53.1250 3.74937
56.2500 3.74932
59.3750 3.74928
62.5000 3.74924
68.7500 3.74915
75.0000 3.74908
81.2500 3.74901
87.5000 3.74894
93.7500 3.74888
100.000 3.74882
106.250 3.74877
112.500 3.74871
125.000 3.74861
137.500 3.74851
150.000 3.74842
162.500 3.74833
175.000 3.74824
187.500 3.74816
200.000 3.74808
218.750 3.74795
237.500 3.74784
256.250 3.74772
275.000 3.74761
312.500 3.74739
350.000 3.74718
387.500 3.74697
425.000 3.74676
462.500 3.74656
500.000 3.74636
562.500 3.74603
625.000 3.74570
687.500 3.74537
750.000 3.74505
875.000 3.74440
1000.00 3.74377
1125.00 3.74314
1250.00 3.74251
1375.00 3.74189
1500.00 3.74127
1750.00 3.74003
2000.00 3.73881
2375.00 3.73699
2750.00 3.73519
3125.00 3.73340
3500.00 3.73163
4250.00 3.72815
5000.00 3.72473
5625.00 3.72193
6250.00 3.71917
7500.00 3.71380
8750.00 3.70861
10000.0 3.70362
12500.0 3.69425
13125.0 3.69204
15000.0 3.68576
17500.0 3.67826
20000.0 3.67189
23705.4 3.66495
27410.7 3.66161
31116.0 3.66296
34821.4 3.67059
36998.0 3.67910
39174.6 3.69126
41351.1 3.70794
43527.7 3.73036
44000.0 3.73612
44994.4 3.74946
45243.0 3.75306
45491.7 3.75679
45740.3 3.76067
45864.6 3.76269
45926.7 3.76373
45988.9 3.76482
46050.0 3.76594
46080.5 3.76655
46111.1 3.76720
46141.7 3.76792
46156.9 3.76833
46172.2 3.76877
46187.5 3.76927
46202.8 3.76986
46218.0 3.77058
46233.3 3.77150
46242.2 3.77218
46251.0 3.77300
46259.9 3.77404
46268.7 3.77542
46273.1 3.77629
46277.5 3.77732
46282.0 3.77856
46286.4 3.78009
46290.8 3.78200
46295.2 3.78446
46299.7 3.78776
46301.9 3.78989
46304.1 3.79249
46305.8 3.79497
46307.5 3.79803
46309.2 3.80195
46310.9 3.80713
46312.6 3.81423
46314.3 3.82424
46315.2 3.83082
46316.0 3.83864
46316.9 3.84808
46317.7 3.85946
46318.6 3.87336
46319.5 3.88994
46320.3 3.91013
46321.2 3.93409
46322.0 3.96309
46322.9 3.99722
46323.7 4.03815
46324.6 4.08584
46325.4 4.14241
46326.3 4.20754
46327.2 4.28382
46328.0 4.37047
46328.9 4.47053
46329.7 4.58256
46330.6 4.70841
46331.4 4.84867
46332.8 5.11399
46334.2 5.41991
46335.6 5.76392
46337.0 6.13780
46338.5 6.53834
46339.9 6.94830
46341.3 7.35919
46342.7 7.74899
46343.7 8.02163
46344.8 8.26673
46345.8 8.47733
46346.9 8.64585
46347.7 8.74429
46348.5 8.81487
46349.1 8.84832
46349.7 8.86559
46350.0 8.86812
46350.9 8.84859
46351.5 8.81320
46352.2 8.76033
46352.9 8.68035
46353.5 8.58148
46354.2 8.46218
46354.9 8.32738
46355.8 8.14271
46356.6 7.94115
46357.4 7.72136
46358.3 7.49219
46361.6 6.52053
46363.2 6.07976
46364.7 5.67024
46365.5 5.48074
46366.3 5.30272
46367.1 5.13678
46367.9 4.98327
46368.6 4.84230
46369.4 4.71377
46370.2 4.59737
46371.0 4.49267
46371.8 4.39910
46372.5 4.31599
46374.1 4.17900
46375.1 4.10434
46376.2 4.04288
46377.3 3.99273
46378.3 3.95215
46379.4 3.91955
46380.4 3.89351
46381.5 3.87282
46382.6 3.85657
46383.6 3.84358
46384.7 3.83330
46385.7 3.82514
46386.8 3.81869
46387.8 3.81345
46388.9 3.80921
46391.0 3.80287
46393.1 3.79836
46395.2 3.79501
46397.4 3.79239
46399.5 3.79028
46403.7 3.78702
46407.9 3.78463
46414.2 3.78208
46420.4 3.78027
46426.7 3.77895
46432.9 3.77797
46439.1 3.77721
46445.4 3.77663
46451.6 3.77618
46457.8 3.77583
46470.3 3.77534
46482.8 3.77504
46495.3 3.77487
46507.7 3.77478
46520.6 3.77477
46533.6 3.77480
46559.4 3.77497
46585.2 3.77522
46611.1 3.77554
46636.9 3.77588
46662.7 3.77626
46714.4 3.77706
46766.1 3.77790
46817.8 3.77878
46921.1 3.78057
47020.9 3.78236
47120.7 3.78419
47320.2 3.78791
47719.3 3.79565
48859.7 3.82016
50000.0 3.84823
52265.5 3.91788
54530.9 4.00957
55663.7 4.06734
56796.4 4.13416
57929.2 4.21161
59061.9 4.30169
60307.9 4.42050
61553.9 4.56334
62799.9 4.73621
63422.9 4.83663
64045.9 4.94708
64668.9 5.07121
65291.9 5.20843
65914.9 5.36152
66537.9 5.53405
67160.9 5.72619
67783.9 5.94428
68406.9 6.19071
69029.9 6.46801
69539.7 6.72626
70049.4 7.01459
70559.1 7.33715
70814.0 7.50964
71068.9 7.69910
71323.7 7.89313
71578.6 8.10653
72088.3 8.56667
72343.2 8.81676
72598.1 9.08644
72852.9 9.37413
73107.8 9.68165
73419.3 10.0894
73730.8 10.5306
74042.3 11.0110
74353.8 11.5380
74665.3 12.1103
74976.8 12.7404
75288.3 13.4311
75599.8 14.1855
75911.3 15.0239
76222.8 15.9426
76534.3 16.9563
76845.8 18.0835
77157.3 19.3221
77468.8 20.7031
77624.6 21.4422
77780.3 22.2333
78091.8 23.9198
78289.2 25.0913
78486.5 26.3429
78683.8 27.6766
78881.1 29.0966
79078.5 30.6124
79275.8 32.2032
79473.1 33.9276
79670.4 35.7379
79867.7 37.6316
80065.1 39.6506
80459.7 43.9558
80657.0 46.2330
80854.4 48.6124
81249.0 53.4074
81512.8 56.6425
81776.6 59.7858
82040.4 62.7380
82304.2 65.3923
82436.1 66.6085
82568.0 67.6843
82699.9 68.6342
82831.7 69.4469
82963.6 70.1128
83095.5 70.6238
83227.4 70.9731
83359.3 71.1561
83500.0 71.1675
83658.3 70.9539
83816.6 70.5094
83974.8 69.8503
84133.1 68.9925
84291.4 67.9537
84449.7 66.7139
84607.9 65.4071
84766.2 63.9194
85082.7 60.7458
85399.3 57.3398
86032.4 50.4365
86372.3 46.8773
86712.3 43.5133
86882.2 41.8971
87052.2 40.3742
87392.1 37.4739
87732.1 34.8211
88072.0 32.4182
88412.0 30.2319
88751.9 28.2524
89009.7 26.8847
89267.4 25.6115
89525.2 24.4305
89783.0 23.3400
90040.7 22.3226
90298.5 21.3816
90556.3 20.5066
90814.0 19.6892
91060.1 18.9701
91306.2 18.2929
91798.3 17.0602
92044.3 16.5048
92290.4 15.9832
92536.4 15.4850
92782.5 15.0253
93274.6 14.1743
93766.7 13.4245
94012.7 13.0740
94258.8 12.7503
94750.9 12.1427
95266.4 11.5781
95782.0 11.0670
96297.5 10.6057
96813.0 10.1909
97328.6 9.81174
97844.1 9.46844
98359.7 9.15481
98875.2 8.86610
99437.6 8.58078
100000 8.31796
100824 7.97598
101648 7.67104
102472 7.39988
103296 7.15949
104120 6.94221
104944 6.74779
105767 6.57197
106591 6.41149
108239 6.13434
109887 5.90186
111535 5.70485
113183 5.53649
114831 5.39293
116478 5.26712
118126 5.15728
119774 5.06172
121422 4.97675
123070 4.90216
126365 4.77660
129960 4.66945
133556 4.58614
137151 4.52181
140746 4.47315
146738 4.42157
152730 4.39981
156925 4.40226
161119 4.41805
165314 4.44751
169508 4.49139
172804 4.53749
174451 4.56433
175275 4.57887
175687 4.58644
175893 4.59029
176099 4.59425
176207 4.59637
176261 4.59747
176315 4.59859
176368 4.59976
176395 4.60038
176422 4.60102
176449 4.60171
176476 4.60246
176503 4.60332
176516 4.60382
176530 4.60436
176543 4.60496
176556 4.60567
176569 4.60653
176581 4.60762
176588 4.60830
176594 4.60910
176601 4.61008
176607 4.61130
176614 4.61296
176617 4.61403
176620 4.61538
176623 4.61713
176626 4.61949
176630 4.62275
176633 4.62736
176635 4.63232
176638 4.63891
176640 4.64768
176643 4.65927
176645 4.67452
176648 4.69438
176650 4.71996
176653 4.75248
176655 4.79324
176658 4.84355
176660 4.90464
176663 4.97756
176665 5.06301
176668 5.16126
176673 5.38898
176677 5.60822
176681 5.84032
176685 6.06730
176689 6.26355
176693 6.39912
176696 6.48896
176699 6.52432
176700 6.52576
176703 6.50983
176705 6.46553
176708 6.39815
176710 6.30511
176712 6.19756
176717 5.94573
176723 5.61215
176729 5.30849
176733 5.13949
176737 4.99613
176739 4.93750
176740 4.88848
176742 4.84548
176744 4.80810
176746 4.77422
176748 4.74693
176749 4.72379
176751 4.70432
176753 4.68724
176755 4.67388
176757 4.66287
176759 4.65383
176760 4.64608
176762 4.64014
176764 4.63532
176766 4.63142
176768 4.62810
176770 4.62556
176771 4.62349
176773 4.62181
176777 4.61921
176780 4.61746
176784 4.61616
176788 4.61521
176795 4.61386
176800 4.61321
176805 4.61270
176814 4.61195
176824 4.61144
176834 4.61110
176843 4.61088
176853 4.61074
176873 4.61063
176892 4.61067
176911 4.61081
176931 4.61102
176950 4.61126
176989 4.61184
177028 4.61248
177067 4.61317
177105 4.61388
177183 4.61536
177261 4.61688
177338 4.61842
177416 4.61998
177571 4.62314
177727 4.62632
177882 4.62955
178192 4.63608
178938 4.65228
179683 4.66906
182291 4.73370
184900 4.80682
187508 4.89023
190117 4.98377
192725 5.08880
195334 5.20793
197942 5.34056
200550 5.48796
202982 5.64264
205413 5.81330
207844 6.00122
210275 6.21060
212706 6.43941
215138 6.68996
217569 6.96360
218784 7.11260
219392 7.18710
219696 7.22435
219848 7.24296
219924 7.25221
219962 7.24568
219981 7.20648
220000 7.12475
220000 7.12377
220001 7.12084
220001 7.11790
220003 7.11206
220005 7.10050
220010 7.07839
220019 7.04125
220039 7.00289
220097 6.99847
220155 7.01552
220177 7.01780
220186 7.01817
220212 7.02010
220237 7.02405
220288 7.03210
220407 7.04695
220511 7.06106
220660 7.07968
220868 7.10901
221165 7.15136
221462 7.18971
221848 7.24888
222234 7.29542
222888 7.38872
223839 7.52051
225146 7.72771
226572 7.93848
228927 8.33624
231936 8.87087
233342 9.12677
234748 9.40101
236998 9.84313
239248 10.3097
243220 11.1273
247302 11.9602
248651 12.2341
249326 12.3703
249663 12.4390
249831 12.4730
249916 12.4899
249958 12.4830
249979 12.4221
250000 12.2871
250000 12.2856
250001 12.2782
250002 12.2716
250004 12.2578
250008 12.2314
250015 12.1826
250030 12.1148
250060 12.0780
250119 12.0848
250239 12.1031
250477 12.1404
250954 12.2131
252274 12.4156
253594 12.6169
254297 12.7092
254999 12.8013
255435 12.8577
255652 12.8861
255870 12.9143
256092 12.9432
256202 12.9577
256313 12.9721
256379 12.9807
256444 12.9893
256510 12.9980
256575 13.0067
256618 13.0125
256661 13.0183
256704 13.0260
256747 13.0413
256775 13.0534
256802 13.0657
256830 13.0781
256857 13.0908
256880 13.1017
256903 13.1147
256925 13.1335
256948 13.1602
256963 13.1810
256978 13.2042
256992 13.2319
257007 13.2664
257018 13.2983
257029 13.3367
257040 13.3832
257051 13.4401
257065 13.5365
257072 13.5980
257079 13.6719
257090 13.8234
257096 13.9215
257101 14.0402
257109 14.2623
257117 14.5665
257122 14.8029
257127 15.0849
257131 15.4353
257136 15.8507
257139 16.1912
257143 16.5757
257146 17.0071
257149 17.4717
257155 18.3589
257160 19.3661
257167 20.8042
257173 22.1236
257179 23.3202
257184 24.1280
257188 24.7934
257192 25.2401
257196 25.5050
257200 25.5869
257201 25.5803
257201 25.5776
257202 25.5619
257202 25.5569
257203 25.5421
257203 25.5282
257204 25.4901
257204 25.4804
257205 25.4541
257205 25.4249
257206 25.3582
257208 25.1920
257212 24.7501
257216 24.2201
257219 23.6132
257226 22.2592
257232 21.0447
257240 19.3084
257241 19.1334
257241 19.0949
257242 18.9993
257242 18.9234
257243 18.7550
257245 18.4455
257248 17.8464
257254 17.0289
257259 16.3420
257259 16.3190
257260 16.2622
257260 16.2064
257261 16.1086
257263 15.9226
257267 15.5791
257270 15.2829
257274 15.0287
257275 14.9543
257280 14.6865
257285 14.4683
257286 14.4212
257289 14.3303
257291 14.2480
257296 14.1056
257306 13.8909
257315 13.7510
257319 13.6985
257330 13.5893
257340 13.5067
257345 13.4742
257354 13.4268
257362 13.3873
257379 13.3265
257394 13.2863
257409 13.2552
257426 13.2270
257443 13.2051
257463 13.1872
257482 13.1749
257502 13.1649
257521 13.1555
257560 13.1378
257598 13.1249
257635 13.1198
257671 13.1168
257708 13.1141
257744 13.1125
257789 13.1137
257835 13.1162
257925 13.1212
258020 13.1265
258114 13.1319
258209 13.1373
258303 13.1427
