Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
54.6875 2.00110
56.2500 2.04868
57.8125 2.10012
59.3750 2.15568
60.9375 2.21566
62.5000 2.28041
64.0625 2.35029
65.6250 2.42575
67.1875 2.50728
68.7500 2.59541
70.3125 2.69078
71.8750 2.79408
73.4375 2.90614
75.0000 3.02785
76.5625 3.16027
78.1250 3.30460
79.6875 3.46222
81.2500 3.63474
82.8125 3.82400
84.3750 4.03176
85.1563 4.14331
85.9375 4.26090
86.7188 4.38458
87.5000 4.51477
88.5742 4.70530
89.6484 4.91025
90.7227 5.13118
91.7969 5.36986
92.8711 5.62799
93.9453 5.90800
95.0195 6.21228
96.0938 6.54360
97.0703 6.87129
98.0469 7.22702
99.0234 7.61397
100.000 8.03639
100.967 8.49387
101.935 8.99478
102.902 9.54521
103.869 10.1519
104.353 10.4786
104.836 10.8228
105.320 11.1835
105.803 11.5626
106.287 11.9651
106.771 12.3906
107.254 12.8406
107.738 13.3169
108.364 13.9760
108.989 14.6878
109.615 15.4582
110.241 16.2937
110.867 17.2021
111.493 18.1918
112.119 19.2729
112.744 20.4570
113.370 21.7578
113.996 23.1908
114.622 24.7747
114.935 25.6298
115.248 26.5310
115.561 27.4821
115.874 28.4861
116.187 29.5473
116.500 30.6701
116.813 31.8598
117.125 33.1209
117.438 34.4597
117.751 35.8824
118.206 38.1171
118.662 40.5692
119.117 43.2686
119.572 46.2462
120.027 49.5357
120.255 51.3130
120.482 53.1898
120.710 55.1747
120.937 57.2736
121.165 59.4944
121.392 61.8453
121.705 65.3126
122.018 69.0758
122.331 73.1698
122.644 77.6334
122.957 82.5125
123.270 87.8547
123.583 93.7201
123.896 100.176
124.209 107.303
124.522 115.186
124.678 119.446
124.835 123.934
124.991 128.670
125.148 133.667
125.304 138.949
125.460 144.528
125.617 150.435
125.773 156.683
125.930 163.307
126.086 170.325
126.243 177.775
126.399 185.679
126.556 194.080
126.712 203.009
126.869 212.506
127.025 222.606
127.182 233.364
127.338 244.814
127.494 257.019
127.651 270.016
127.807 283.874
127.964 298.639
128.120 314.367
128.277 331.100
128.433 348.912
128.590 367.828
128.746 387.911
128.903 409.167
129.051 430.511
129.200 452.935
129.349 476.457
129.498 501.008
129.795 552.939
130.093 607.661
130.390 663.428
130.688 717.744
130.836 743.358
130.985 767.296
131.134 789.099
131.283 808.251
131.462 827.195
131.641 840.928
131.821 848.903
132.000 850.789
132.146 847.770
132.292 840.749
132.437 829.900
132.583 815.514
132.729 797.928
132.875 777.579
133.020 754.889
133.166 730.354
133.458 677.503
133.749 622.364
134.041 567.564
134.332 515.000
134.526 481.787
134.721 450.340
134.915 420.772
135.110 393.135
135.304 367.385
135.499 343.481
135.693 321.340
135.888 300.875
136.110 279.338
136.333 259.694
136.556 241.775
136.778 225.429
137.001 210.499
137.224 196.854
137.446 184.360
137.669 172.906
137.844 164.569
138.019 156.776
138.194 149.482
138.368 142.648
138.543 136.241
138.718 130.228
138.893 124.580
139.068 119.269
139.243 114.271
139.418 109.564
139.593 105.127
139.768 100.940
139.943 96.9860
140.117 93.2489
140.292 89.7139
140.467 86.3672
140.817 80.1880
141.167 74.6254
141.517 69.6015
141.867 65.0510
142.216 60.9169
142.566 57.1534
142.916 53.7178
143.266 50.5738
143.679 47.1910
144.093 44.1282
144.506 41.3466
144.920 38.8138
145.333 36.5044
145.746 34.3942
146.160 32.4547
146.573 30.6677
146.923 29.2650
147.273 27.9546
147.623 26.7283
147.972 25.5792
148.322 24.5007
148.672 23.4879
149.022 22.5353
149.372 21.6383
149.722 20.7924
150.071 19.9944
150.421 19.2405
150.771 18.5276
151.471 17.2135
152.170 16.0318
152.870 14.9653
153.570 14.0000
154.269 13.1234
154.969 12.3252
155.669 11.5963
156.368 10.9291
157.068 10.3167
157.767 9.75359
158.308 9.34879
158.849 8.96829
159.389 8.61016
159.930 8.27307
160.471 7.95675
161.011 7.65719
161.552 7.37259
162.092 7.10347
163.174 6.60663
164.255 6.15938
165.336 5.75530
166.417 5.38915
167.117 5.17034
167.817 4.96430
168.516 4.77000
169.216 4.58690
169.916 4.41394
170.615 4.25032
171.315 4.09562
172.015 3.94911
