Hg-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
14.6875 17.9674
15.0000 17.7552
15.3125 17.5532
15.6250 17.3607
15.9375 17.1770
16.2500 17.0016
16.5625 16.8339
16.8750 16.6733
17.1875 16.5196
17.5000 16.3721
17.8125 16.2306
18.1250 16.0948
18.7500 15.8385
19.3750 15.6006
20.0000 15.3792
20.6445 15.1669
21.2891 14.9681
21.9336 14.7821
22.5781 14.6079
23.2227 14.4435
23.8672 14.2887
24.5117 14.1424
25.1563 14.0036
25.7422 13.8837
26.3281 13.7692
27.5000 13.5545
28.4375 13.3950
29.3750 13.2451
30.3125 13.1036
31.2500 12.9698
32.1875 12.8427
33.1250 12.7217
34.0625 12.6060
35.0000 12.4952
35.9375 12.3887
36.8750 12.2861
37.8125 12.1869
38.7500 12.0909
39.6875 11.9976
40.6250 11.9067
41.5625 11.8180
42.5000 11.7311
43.4375 11.6459
44.3750 11.5621
45.3125 11.4795
46.2500 11.3979
47.1875 11.3171
48.1250 11.2368
49.0625 11.1570
50.0000 11.0773
51.6068 10.9408
52.4101 10.8724
53.2135 10.8035
54.0169 10.7345
54.8202 10.6647
55.6236 10.5944
56.4270 10.5233
58.0337 10.3786
59.6405 10.2293
61.2472 10.0748
62.0506 9.99508
62.8540 9.91358
63.7842 9.81668
64.7144 9.71701
65.6446 9.61421
66.5748 9.50790
67.5051 9.39806
68.4353 9.28411
68.9004 9.22562
69.3655 9.16587
70.2957 9.04315
71.0991 8.93310
71.9025 8.81919
72.3042 8.76088
72.7058 8.70131
73.1075 8.64093
73.5092 8.57937
74.3126 8.45321
75.1159 8.32275
75.5176 8.25592
75.9193 8.18831
76.3210 8.11958
76.7227 8.04993
77.1878 7.96826
77.6529 7.88565
78.1180 7.80231
78.5831 7.71851
79.0482 7.63463
79.5134 7.55112
79.9785 7.46861
80.4436 7.38785
80.9087 7.30986
81.1412 7.27228
81.3738 7.23590
81.6064 7.20093
81.8389 7.16762
82.0715 7.13625
82.3040 7.10715
82.5366 7.08066
82.7691 7.05722
83.0017 7.03731
83.2342 7.02144
83.4668 7.01024
83.6993 7.00448
83.9319 7.00492
84.1645 7.01249
84.4182 7.02991
84.6719 7.05821
84.9256 7.10060
85.1792 7.15885
85.4329 7.23559
85.6866 7.33409
85.9403 7.45828
86.1940 7.61285
86.4160 7.77747
86.6380 7.97427
86.8600 8.20870
87.0820 8.48726
87.3040 8.81782
87.5259 9.20980
87.6369 9.43223
87.7479 9.67420
87.8589 9.93741
87.9699 10.2242
88.0439 10.4298
88.1179 10.6478
88.1919 10.8790
88.2659 11.1241
88.3399 11.3843
88.3769 11.5203
88.4139 11.6604
88.4509 11.8047
88.4879 11.9535
88.5249 12.1067
88.5619 12.2647
88.5936 12.4040
88.6253 12.5469
88.6570 12.6935
88.6887 12.8441
88.7204 12.9987
88.7521 13.1575
88.7838 13.3204
88.8156 13.4878
88.8446 13.6451
88.8737 13.8064
88.9028 13.9717
88.9318 14.1412
88.9609 14.3148
88.9900 14.4929
89.0190 14.6754
89.0481 14.8625
89.0798 15.0722
89.1115 15.2876
89.1406 15.4904
89.1697 15.6985
89.1987 15.9119
89.2278 16.1309
89.2569 16.3555
89.2860 16.5861
89.3150 16.8228
89.3441 17.0656
89.3732 17.3150
89.4022 17.5710
89.4313 17.8339
89.4604 18.1040
89.4894 18.3813
89.5185 18.6661
89.5476 18.9588
89.5766 19.2594
89.6057 19.5685
89.6348 19.8861
89.6638 20.2126
89.6929 20.5483
89.7220 20.8935
89.7511 21.2485
89.7801 21.6137
89.8092 21.9893
89.8383 22.3759
89.8673 22.7736
89.8964 23.1830
89.9255 23.6045
89.9545 24.0385
89.9836 24.4854
90.0127 24.9458
90.0417 25.4199
90.0787 26.0445
90.1157 26.6936
90.1527 27.3684
90.1897 28.0700
90.2267 28.7999
90.2637 29.5594
90.3007 30.3501
90.3377 31.1732
90.3668 31.8440
90.3959 32.5370
90.4249 33.2528
90.4540 33.9926
90.4831 34.7573
90.5121 35.5479
90.5412 36.3656
90.5703 37.2114
90.5994 38.0868
90.6284 38.9928
90.6575 39.9309
90.6866 40.9025
90.7156 41.9091
90.7447 42.9523
90.7738 44.0338
90.8028 45.1553
90.8319 46.3187
90.8610 47.5260
