Ni-61(n,g) ENDFB-8.0
Energy(eV) XS(b)
3135.61 2.39254
3135.70 2.56496
3135.80 2.75409
3135.89 2.95696
3135.99 3.17883
3136.08 3.41603
3136.15 3.59164
3136.21 3.77361
3136.28 3.96479
3136.34 4.16546
3136.41 4.37918
3136.48 4.59970
3136.54 4.83039
3136.61 5.07144
3136.67 5.32697
3136.74 5.58936
3136.87 6.14645
3137.00 6.74683
3137.13 7.39018
3137.22 7.89227
3137.32 8.41650
3137.41 8.96192
3137.51 9.52130
3137.70 10.6988
3137.89 11.9336
3138.19 13.9127
3138.48 15.8814
3138.67 17.1029
3138.86 18.2453
3139.06 19.2816
3139.25 20.1705
3139.35 20.5961
3139.46 20.9643
3139.57 21.2713
3139.67 21.5120
3139.82 21.7346
3139.91 21.8097
3140.00 21.8342
3140.09 21.8084
3140.18 21.7320
3140.27 21.6057
3140.36 21.4324
3140.46 21.1852
3140.56 20.8827
3140.66 20.5275
3140.76 20.1227
3140.86 19.6672
3140.96 19.1740
3141.16 18.0779
3141.37 16.8593
3141.57 15.5604
3141.64 15.0761
3141.81 13.9154
3141.99 12.7538
3142.16 11.6107
3142.33 10.5031
3142.53 9.27902
3142.63 8.70028
3142.73 8.14384
3142.83 7.60576
3142.93 7.09761
3143.03 6.61459
3143.13 6.15705
3143.21 5.81794
3143.29 5.49841
3143.37 5.19004
3143.44 4.90055
3143.52 4.62215
3143.60 4.36169
3143.68 4.11204
3143.75 3.87920
3143.83 3.65671
3143.91 3.44980
3143.99 3.25261
3144.06 3.06971
3144.14 2.89584
3144.22 2.73493
3144.30 2.58228
3144.37 2.44128
3144.48 2.25558
3144.59 2.08853
3144.70 1.93567
3144.81 1.79847
3144.92 1.67313
3145.03 1.56076
3145.14 1.45905
3145.25 1.36699
3145.36 1.28290
3145.47 1.20744
3145.58 1.13840
3145.69 1.07632
3145.80 1.01938
3145.91 0.968027
3146.01 0.921181
3146.12 0.878365
3146.32 0.808582
3146.52 0.749082
