55-Cs_n-tot
> 55-Cs-133:1.000000
9.687500e-02 1.89859000e+01
1.000000e-01 1.87565000e+01
1.031250e-01 1.85376000e+01
1.062500e-01 1.83287000e+01
1.093750e-01 1.81288000e+01
1.125000e-01 1.79375000e+01
1.156250e-01 1.77540000e+01
1.187500e-01 1.75780000e+01
1.218750e-01 1.74089000e+01
1.250000e-01 1.72464000e+01
1.281250e-01 1.70899000e+01
1.312500e-01 1.69392000e+01
1.375000e-01 1.66536000e+01
1.437500e-01 1.63868000e+01
1.500000e-01 1.61371000e+01
1.562500e-01 1.59027000e+01
1.625000e-01 1.56822000e+01
1.687500e-01 1.54743000e+01
1.750000e-01 1.52779000e+01
1.812500e-01 1.50920000e+01
1.875000e-01 1.49156000e+01
1.937500e-01 1.47482000e+01
2.000000e-01 1.45889000e+01
2.093750e-01 1.43638000e+01
2.187500e-01 1.41536000e+01
2.281250e-01 1.39567000e+01
2.375000e-01 1.37719000e+01
2.468750e-01 1.35981000e+01
2.562500e-01 1.34343000e+01
2.656250e-01 1.32795000e+01
2.750000e-01 1.31330000e+01
2.843750e-01 1.29941000e+01
2.937500e-01 1.28621000e+01
3.031250e-01 1.27366000e+01
3.125000e-01 1.26170000e+01
3.218750e-01 1.25029000e+01
3.312500e-01 1.23940000e+01
3.406250e-01 1.22898000e+01
3.500000e-01 1.21901000e+01
3.593750e-01 1.20945000e+01
3.687500e-01 1.20028000e+01
3.781250e-01 1.19148000e+01
3.875000e-01 1.18304000e+01
4.062500e-01 1.16708000e+01
4.250000e-01 1.15224000e+01
4.437500e-01 1.13842000e+01
4.625000e-01 1.12551000e+01
5.000000e-01 1.10216000e+01
5.312500e-01 1.08482000e+01
5.625000e-01 1.06906000e+01
6.250000e-01 1.04164000e+01
6.875000e-01 1.01864000e+01
7.500000e-01 9.99142000e+00
8.125000e-01 9.82484000e+00
8.750000e-01 9.68224000e+00
9.375000e-01 9.55936000e+00
1.000000e+00 9.45287000e+00
1.062500e+00 9.36108000e+00
1.125000e+00 9.28221000e+00
1.250000e+00 9.15784000e+00
1.375000e+00 9.07135000e+00
1.500000e+00 9.01720000e+00
1.625000e+00 8.99179000e+00
1.750000e+00 8.99338000e+00
1.875000e+00 9.02022000e+00
2.000000e+00 9.07107000e+00
2.093750e+00 9.12557000e+00
2.187500e+00 9.19480000e+00
2.281250e+00 9.27905000e+00
2.375000e+00 9.37907000e+00
2.468750e+00 9.49585000e+00
2.562500e+00 9.63062000e+00
2.656250e+00 9.78484000e+00
2.750000e+00 9.96030000e+00
2.843750e+00 1.01591000e+01
2.937500e+00 1.03838000e+01
3.031250e+00 1.06373000e+01
3.125000e+00 1.09232000e+01
3.218750e+00 1.12457000e+01
3.312500e+00 1.16099000e+01
3.406250e+00 1.20216000e+01
3.500000e+00 1.24883000e+01
3.576170e+00 1.29139000e+01
3.652340e+00 1.33863000e+01
3.728520e+00 1.39091000e+01
3.804690e+00 1.44971000e+01
3.880860e+00 1.51569000e+01
3.957030e+00 1.58992000e+01
4.033200e+00 1.67376000e+01
4.071290e+00 1.71978000e+01
4.109380e+00 1.76884000e+01
4.179690e+00 1.86835000e+01
4.214840e+00 1.92293000e+01
4.250000e+00 1.98110000e+01
4.302740e+00 2.07579000e+01
4.355470e+00 2.18048000e+01
4.408200e+00 2.29660000e+01
4.460940e+00 2.42585000e+01
4.513670e+00 2.57025000e+01
4.566410e+00 2.73222000e+01
4.592770e+00 2.82069000e+01
4.619140e+00 2.91470000e+01
4.645510e+00 3.01467000e+01
4.671880e+00 3.12106000e+01
4.707030e+00 3.27383000e+01
4.742190e+00 3.44062000e+01
4.777340e+00 3.62352000e+01
4.812500e+00 3.82466000e+01
4.847660e+00 4.04637000e+01
4.882810e+00 4.29143000e+01
4.917970e+00 4.56323000e+01
4.953130e+00 4.86582000e+01
4.976560e+00 5.08702000e+01
5.000000e+00 5.32567000e+01
5.031430e+00 5.67637000e+01
5.062850e+00 6.06708000e+01
5.078560e+00 6.27938000e+01
5.094270e+00 6.50414000e+01
5.109990e+00 6.74237000e+01
5.125700e+00 6.99514000e+01
5.141410e+00 7.26365000e+01
5.157120e+00 7.54918000e+01
5.172830e+00 7.85320000e+01
5.188550e+00 8.17734000e+01
5.204260e+00 8.52348000e+01
5.219970e+00 8.89372000e+01
5.235680e+00 9.29043000e+01
5.251390e+00 9.71625000e+01
5.269590e+00 1.02496000e+02
5.287780e+00 1.08310000e+02
5.305970e+00 1.14665000e+02
5.324170e+00 1.21630000e+02
5.342360e+00 1.29283000e+02
