Mo-96(n,g) ENDFB-8.0
Energy(eV) XS(b)
154.848 0.230080
155.583 0.215820
156.318 0.202823
157.052 0.190944
157.787 0.180059
158.288 0.173150
158.789 0.166625
159.290 0.160453
159.791 0.154612
160.793 0.143827
161.294 0.138852
161.795 0.134166
162.796 0.125377
163.798 0.117400
164.800 0.110146
165.802 0.103530
166.537 0.0990505
167.272 0.0948410
168.006 0.0908788
168.741 0.0871668
169.476 0.0836703
170.210 0.0803654
170.945 0.0772558
171.680 0.0743215
172.415 0.0715378
173.149 0.0689079
174.619 0.0640571
176.088 0.0596888
177.558 0.0557369
179.027 0.0521605
180.497 0.0489058
181.966 0.0459383
183.435 0.0432289
184.905 0.0407426
186.374 0.0384613
187.844 0.0363613
189.313 0.0344225
190.649 0.0327893
191.985 0.0312666
193.321 0.0298446
194.657 0.0285336
195.993 0.0272756
197.328 0.0261122
198.664 0.0250176
200.000 0.0239765
202.363 0.0223017
203.544 0.0215231
204.725 0.0207885
207.088 0.0194201
209.450 0.0181829
211.813 0.0170530
214.175 0.0160254
216.538 0.0150860
218.900 0.0142227
220.511 0.0136760
222.122 0.0131596
223.733 0.0126714
225.344 0.0122093
228.565 0.0113564
230.176 0.0109623
231.787 0.0105931
235.008 0.00989697
238.230 0.00926638
241.452 0.00869376
244.673 0.00817257
247.036 0.00782263
249.398 0.00749189
251.761 0.00717858
254.123 0.00688892
258.848 0.00635560
261.211 0.00611314
263.573 0.00588512
265.936 0.00566741
268.298 0.00546264
273.023 0.00508698
277.748 0.00474984
282.473 0.00444496
287.199 0.00417216
291.924 0.00392434
296.649 0.00369983
301.374 0.00349726
306.099 0.00331224
310.824 0.00314505
315.549 0.00299326
320.274 0.00285503
324.999 0.00273101
329.724 0.00261885
334.449 0.00251860
339.174 0.00243059
343.899 0.00235356
348.624 0.00228925
353.349 0.00223792
358.074 0.00220046
364.947 0.00217824
368.383 0.00218479
371.820 0.00220632
376.545 0.00226850
378.907 0.00231813
381.270 0.00238414
383.632 0.00246990
385.995 0.00258186
388.357 0.00272728
390.720 0.00291654
392.545 0.00310361
394.371 0.00333738
396.197 0.00363273
398.022 0.00401100
399.848 0.00450373
400.761 0.00480167
401.673 0.00514453
402.586 0.00555152
403.499 0.00603054
404.412 0.00659858
405.324 0.00727859
406.130 0.00799626
406.935 0.00885360
407.741 0.00988878
408.546 0.0111470
409.352 0.0126985
409.754 0.0136227
410.157 0.0146660
410.560 0.0158482
410.962 0.0171948
411.365 0.0187377
411.768 0.0205170
412.170 0.0225837
412.573 0.0250020
412.976 0.0278533
413.379 0.0312449
413.781 0.0353317
413.983 0.0377015
414.184 0.0403304
414.385 0.0432599
414.587 0.0465336
414.788 0.0502111
414.989 0.0543571
415.204 0.0593945
415.419 0.0651899
415.634 0.0719044
415.848 0.0797432
415.956 0.0841703
416.063 0.0889892
416.171 0.0942490
416.278 0.100007
416.385 0.106330
416.493 0.113296
416.600 0.120997
416.708 0.129537
416.842 0.141619
416.976 0.155547
417.043 0.163343
417.110 0.171758
417.177 0.180875
417.245 0.190783
417.312 0.201598
