Ca-42(n,g) ENDFB-8.0
Energy(eV) XS(b)
9142.09 16.2347
9142.43 16.5289
9142.76 16.6930
9143.00 16.7288
9143.32 16.6668
9143.63 16.4832
9143.90 16.2362
9144.17 15.9094
9144.44 15.5081
9144.71 15.0387
9144.97 14.5084
9145.24 13.9277
9145.49 13.3584
9145.73 12.7617
9146.22 11.5031
9147.29 8.66221
9147.53 8.03845
9147.77 7.43569
9148.02 6.85249
9148.26 6.29654
9148.50 5.76561
9148.75 5.26576
9148.99 4.79595
9149.23 4.35683
9149.40 4.06634
9149.57 3.79266
9149.75 3.53243
9149.92 3.28846
9150.09 3.05757
9150.26 2.84210
9150.43 2.63908
9150.60 2.45043
9150.77 2.27342
9150.94 2.10958
9151.11 1.95644
9151.28 1.81520
9151.45 1.68363
9151.62 1.56268
9151.79 1.45098
9151.96 1.34797
9152.09 1.27252
9152.23 1.20186
9152.36 1.13571
9152.50 1.07384
9152.76 0.961930
9153.03 0.864608
9153.30 0.779439
9153.57 0.705248
9153.84 0.640624
9154.10 0.584497
9154.37 0.535327
9154.64 0.492349
9154.91 0.454695
9155.17 0.421728
9155.44 0.392551
9155.71 0.366825
9155.98 0.343878
9156.24 0.323475
9156.78 0.288587
9157.31 0.260103
9157.85 0.236346
9158.39 0.216287
9158.92 0.199046
9159.46 0.184102
9159.99 0.170970
9160.53 0.159373
9161.06 0.149022
9161.60 0.139762
9162.67 0.123852
9163.74 0.110722
9164.81 0.0997361
9166.03 0.0892739
9167.25 0.0805162
9168.46 0.0730980
9169.68 0.0667549
9170.90 0.0612869
9172.11 0.0565404
9174.55 0.0487565
9176.98 0.0427027
9179.42 0.0379077
9181.85 0.0340433
9184.28 0.0308860
9186.82 0.0281888
9189.35 0.0259689
9194.41 0.0226023
9199.47 0.0202818
9204.54 0.0186790
9209.60 0.0175750
9214.66 0.0168755
9219.72 0.0165074
9224.79 0.0164219
9229.85 0.0165908
9234.91 0.0169973
9239.98 0.0176380
9245.04 0.0185438
9250.10 0.0197357
9255.16 0.0212511
9260.23 0.0231491
9265.29 0.0255128
9269.57 0.0279625
9273.86 0.0309253
9278.14 0.0345314
9282.43 0.0389591
9286.71 0.0444569
9290.99 0.0513790
9293.14 0.0555270
9295.28 0.0602411
9297.42 0.0656233
9299.56 0.0717980
9302.58 0.0821655
9304.09 0.0882509
9305.60 0.0950746
9307.11 0.102764
9308.62 0.111473
9309.37 0.116270
9310.13 0.121389
9310.88 0.126875
9311.63 0.132748
9312.41 0.139270
9312.95 0.144050
9313.48 0.149079
9314.02 0.154396
9314.56 0.160000
9315.09 0.165937
9315.63 0.172208
9316.16 0.178865
9316.70 0.185913
9317.23 0.193413
9317.77 0.201375
9318.30 0.209869
9318.84 0.218910
9319.38 0.228585
9319.91 0.238916
9320.45 0.250006
9320.98 0.261888
9321.52 0.274691
9322.05 0.288462
9322.59 0.303362
9323.12 0.319460
9323.66 0.336961
9324.19 0.355965
9324.73 0.376698
9325.26 0.399386
9325.80 0.424347
9326.34 0.451859
9326.87 0.482305
9327.41 0.516084
9327.68 0.534448
9327.94 0.553884
9328.21 0.574482
9328.48 0.596260
9328.75 0.619495
9329.01 0.644235
9329.28 0.670624
9329.55 0.698714
9329.78 0.724719
9330.01 0.752225
9330.24 0.781484
9330.47 0.812658
9330.71 0.846073
9330.94 0.881640
9331.17 0.919719
9331.40 0.960555
9331.63 1.00462
9331.86 1.05183
9332.09 1.10271
9332.32 1.15762
9332.56 1.21698
9332.79 1.28123
9333.02 1.35087
9333.25 1.42644
9333.38 1.47322
9333.52 1.52232
9333.65 1.57386
9333.78 1.62797
9333.92 1.68481
9334.05 1.74451
9334.19 1.80724
9334.32 1.87263
9334.45 1.94185
9334.59 2.01458
9334.72 2.09100
9334.86 2.17129
9334.99 2.25564
9335.12 2.34424
9335.26 2.43728
9335.39 2.53423
9335.52 2.63674
9335.66 2.74431
9335.79 2.85714
9335.93 2.97544
9336.06 3.09943
9336.19 3.22932
9336.33 3.36531
9336.46 3.50652
9336.60 3.65528
9336.73 3.81074
9336.86 3.97310
9337.00 4.14253
9337.13 4.31921
9337.27 4.50330
9337.40 4.69494
9337.53 4.89275
9337.67 5.09982
9337.80 5.31479
9338.07 5.76873
9338.34 6.25491
9338.60 6.77127
9338.87 7.32115
9339.14 7.90161
9339.41 8.51104
9339.67 9.14478
9339.94 9.80470
9340.21 10.4850
9340.75 11.8865
9341.82 14.7119
9342.35 16.0308
9342.62 16.6412
9342.89 17.2073
9343.22 17.8369
9343.55 18.3803
9343.87 18.8267
9344.20 19.1673
9344.40 19.3194
9344.60 19.4282
9344.80 19.4937
9345.00 19.5153
9345.11 19.5078
9345.49 19.3840
9345.86 19.1118
9346.23 18.6971
9346.60 18.1528
9346.83 17.7418
9347.07 17.2890
9347.31 16.7973
9347.54 16.2712
9347.88 15.4655
9348.22 14.6139
9348.90 12.8317
9349.77 10.5187
9350.21 9.41353
9350.65 8.37075
9350.87 7.87375
9351.09 7.39845
9351.31 6.94345
9351.53 6.50938
9351.75 6.09482
9351.97 5.70372
9352.19 5.33412
9352.41 4.98582
9352.58 4.72991
9352.74 4.48780
9352.91 4.25634
9353.08 4.03797
9353.25 3.82976
9353.42 3.63380
9353.59 3.44738
9353.76 3.27231
9353.93 3.10609
9354.10 2.95026
9354.27 2.80257
9354.44 2.66431
9354.61 2.53343
9354.78 2.41105
9354.95 2.29597
9355.12 2.18780
9355.34 2.05668
9355.56 1.93631
9355.77 1.82529
9355.99 1.72289
9356.21 1.62799
9356.43 1.54081
9356.65 1.46029
9356.87 1.38587
9357.09 1.31672
9357.31 1.25300
9357.53 1.19392
9357.75 1.13910
9357.97 1.08793
9358.19 1.04053
9358.62 0.955158
9359.06 0.880435
9359.50 0.814946
9359.94 0.756947
9360.38 0.705522
9360.82 0.659469
9361.26 0.618204
9361.69 0.580884
9362.13 0.547140
9362.57 0.516366
9363.01 0.488265
9363.45 0.462518
9363.89 0.438907
9364.33 0.417094
9364.76 0.396980
9365.64 0.361003
9366.52 0.329860
9367.40 0.302695
9368.27 0.278840
9369.15 0.257765
9370.03 0.239025
9370.90 0.222318
9371.78 0.207338
9372.66 0.193851
9373.54 0.181662
9374.41 0.170609
9375.29 0.160551
9376.17 0.151373
9377.44 0.139385
9378.72 0.128789
9379.99 0.119375
9381.27 0.110978
9382.55 0.103442
9383.82 0.0966565
9385.10 0.0905251
9386.37 0.0849694
9388.13 0.0781306
9389.88 0.0720981
9391.64 0.0667466
9393.39 0.0619769
9395.14 0.0577073
9396.90 0.0538699
9400.41 0.0472739
9404.23 0.0413858
9408.06 0.0365490
9411.89 0.0325280
9415.71 0.0291479
9419.22 0.0264962
9422.73 0.0241953
9426.24 0.0221865
9429.75 0.0204226
9436.76 0.0174827
9443.78 0.0151472
9451.44 0.0131066
9459.09 0.0114620
9466.74 0.0101175
9474.40 0.00900592
9481.42 0.00814259
9488.43 0.00740179
9502.46 0.00620391
9516.50 0.00528534
9530.53 0.00456507
9545.84 0.00394302
9561.15 0.00344666
9576.46 0.00304412
9591.77 0.00271425
9619.83 0.00224174
9647.90 0.00189211
9675.96 0.00162584
9704.03 0.00141828
9737.20 0.00122690
9770.37 0.00107750
9803.54 0.000959192
9836.71 0.000862380
9877.53 0.000766907
9918.35 0.000690531
10000.0 0.000577205
10078.1 0.000501218
10156.3 0.000445447
10234.4 0.000403096
10312.5 0.000370155
10449.2 0.000327748
10585.9 0.000297677
10859.4 0.000258750
11191.4 0.000230967
11523.4 0.000213592
12187.5 0.000192819
12500.0 0.000186545
13125.0 0.000177575
13750.0 0.000171693
15000.0 0.000165657
15625.0 0.000164764
15800.0 0.000164737
16225.0 0.000165087
16650.0 0.000166131
17500.0 0.000169691
18125.0 0.000174358
18750.0 0.000181308
19375.0 0.000191765
19687.5 0.000199058
20000.0 0.000208496
20295.3 0.000220447
20590.6 0.000236597
20738.2 0.000247273
20885.9 0.000260334
21033.5 0.000276576
21181.2 0.000297224
21307.7 0.000320057
21434.3 0.000349631
21560.8 0.000389006
21624.1 0.000414004
21687.4 0.000443290
21766.5 0.000488558
21845.6 0.000546606
21885.1 0.000581546
21924.7 0.000622140
21964.2 0.000669258
22003.8 0.000724399
22032.8 0.000771171
22061.8 0.000824142
22090.8 0.000884670
22119.8 0.000954442
22148.8 0.00103494
22177.8 0.00112913
22206.8 0.00123995
22235.8 0.00137122
22263.5 0.00152177
22291.2 0.00170265
22318.8 0.00192256
22346.5 0.00219576
22374.2 0.00253927
22401.9 0.00297696
22429.6 0.00355352
22443.4 0.00390822
22457.3 0.00431881
22470.4 0.00478418
22483.6 0.00533214
22490.2 0.00564174
22496.8 0.00598117
22503.4 0.00635487
22510.0 0.00676627
22517.2 0.00726918
22520.9 0.00754260
22524.5 0.00783140
22528.1 0.00813845
22531.7 0.00846352
22535.4 0.00880996
22539.0 0.00917763
22542.6 0.00957049
22546.2 0.00998856
22549.9 0.0104365
22553.5 0.0109146
22557.1 0.0114285
22560.7 0.0119788
22564.4 0.0125722
22568.0 0.0132096
22572.3 0.0140303
22576.6 0.0149277
22580.9 0.0159173
22585.1 0.0170085
22589.4 0.0182219
