Tm-169(n,g) ENDFB-8.0
0.000350000 884.663
0.000359375 873.051
0.000368750 861.884
0.000378125 851.136
0.000387500 840.780
0.000396875 830.793
0.000406250 821.153
0.000425000 802.841
0.000443750 785.702
0.000462500 769.616
0.000481250 754.480
0.000500000 740.203
0.000515625 728.906
0.000531250 718.111
0.000546875 707.782
0.000562500 697.886
0.000578125 688.395
0.000593750 679.280
0.000609375 670.519
0.000625000 662.088
0.000640625 653.968
0.000656250 646.140
0.000671875 638.586
0.000687500 631.291
0.000718750 617.422
0.000750000 604.429
0.000781250 592.224
0.000812500 580.731
0.000843750 569.882
0.000875000 559.619
0.000906250 549.892
0.000937500 540.656
0.000968750 531.871
0.00100000 523.501
0.00103125 515.514
0.00106250 507.882
0.00109375 500.580
0.00112500 493.585
0.00115625 486.875
0.00118750 480.431
0.00121875 474.238
0.00125000 468.278
0.00128125 462.537
0.00131250 457.003
0.00134375 451.663
0.00137500 446.506
0.00143750 436.702
0.00150000 427.517
0.00156250 418.890
0.00162500 410.765
0.00168750 403.095
0.00175000 395.841
0.00181250 388.965
0.00187500 382.436
0.00193750 376.226
0.00200000 370.309
0.00209375 361.936
0.00218750 354.108
0.00228125 346.767
0.00237500 339.865
0.00246875 333.361
0.00256250 327.217
0.00265625 321.402
0.00275000 315.887
0.00284375 310.647
0.00293750 305.660
0.00303125 300.906
0.00312500 296.368
0.00321875 292.030
0.00331250 287.878
0.00340625 283.898
0.00350000 280.080
0.00359375 276.412
0.00368750 272.885
0.00378125 269.490
0.00387500 266.220
0.00396875 263.066
0.00406250 260.022
0.00425000 254.239
0.00443750 248.827
0.00462500 243.748
0.00481250 238.969
0.00500000 234.461
0.00515625 230.895
0.00531250 227.487
0.00546875 224.227
0.00562500 221.103
0.00578125 218.108
0.00593750 215.231
0.00609375 212.466
0.00625000 209.806
0.00640625 207.244
0.00656250 204.773
0.00671875 202.390
0.00687500 200.089
0.00718750 195.714
0.00750000 191.615
0.00781250 187.765
0.00812500 184.140
0.00843750 180.719
0.00875000 177.483
0.00906250 174.416
0.00937500 171.503
0.00968750 168.734
0.0100000 166.095
0.0103125 163.578
0.0106250 161.173
0.0109375 158.872
0.0112500 156.668
0.0115625 154.554
0.0118750 152.525
0.0121875 150.574
0.0125000 148.698
0.0128125 146.891
0.0131250 145.149
0.0134375 143.468
0.0137500 141.845
0.0143750 138.760
0.0150000 135.870
0.0156250 133.156
0.0162500 130.601
0.0168750 128.189
0.0175000 125.908
0.0181250 123.746
0.0187500 121.694
0.0193750 119.743
0.0200000 117.884
0.0206625 116.007
0.0213250 114.219
0.0219875 112.512
0.0226500 110.882
0.0233125 109.322
0.0239750 107.827
0.0246375 106.394
0.0253000 105.017
0.0264578 102.738
0.0276156 100.605
0.0287734 98.6026
0.0299313 96.7190
0.0310891 94.9427
0.0322469 93.2639
0.0334047 91.6739
0.0345625 90.1651
0.0355274 88.9649
0.0364922 87.8128
0.0374570 86.7059
0.0384219 85.6411
0.0393867 84.6161
0.0403516 83.6284
0.0413164 82.6758
0.0422813 81.7564
0.0442109 80.0097
0.0461406 78.3752
0.0480703 76.8414
0.0500000 75.3985
0.0515625 74.2908
0.0531250 73.2331
0.0546875 72.2218
0.0562500 71.2536
0.0578125 70.3256
0.0593750 69.4353
0.0609375 68.5802
0.0625000 67.7581
0.0640625 66.9670
0.0656250 66.2050
0.0687500 64.7608
0.0718750 63.4131
0.0750000 62.1517
0.0781250 60.9683
0.0812500 59.8553
0.0843750 58.8063
0.0875000 57.8155
0.0906250 56.8778
0.0937500 55.9888
0.0968750 55.1443
0.100000 54.3411
0.103125 53.5758
0.106250 52.8456
0.109375 52.1481
0.112500 51.4809
0.115625 50.8419
0.118750 50.2294
0.121875 49.6417
0.125000 49.0774
0.128125 48.5349
0.131250 48.0130
0.135938 47.2655
0.140625 46.5570
0.145313 45.8843
0.150000 45.2449
0.156250 44.4400
0.162500 43.6847
0.168750 42.9743
0.175000 42.3049
0.181250 41.6728
0.187500 41.0750
0.193750 40.5089
0.200000 39.9720
0.209375 39.2158
0.218750 38.5125
0.228125 37.8569
0.237500 37.2445
0.246875 36.6713
0.256250 36.1336
0.265625 35.6282
0.275000 35.1523
0.284375 34.7036
0.293750 34.2798
0.303125 33.8791
0.312500 33.4996
0.321875 33.1398
0.331250 32.7984
0.340625 32.4741
0.350000 32.1658
0.359375 31.8727
0.368750 31.5942
0.387500 31.0750
0.406250 30.6010
0.425000 30.1683
0.443750 29.7729
0.462500 29.4111
0.500000 28.7776
0.531250 28.3281
0.562500 27.9380
0.625000 27.3134
0.687500 26.8609
0.750000 26.5496
0.812500 26.3581
0.875000 26.2733
0.937500 26.2819
1.00000 26.3742
1.06250 26.5471
1.12500 26.7974
1.18750 27.1233
1.25000 27.5246
1.31250 28.0020
1.37500 28.5574
1.43750 29.1941
1.50000 29.9160
1.56250 30.7285
1.62500 31.6381
1.68750 32.6527
1.75000 33.7817
1.81250 35.0362
1.87500 36.4294
1.93750 37.9767
2.00000 39.6953
2.06869 41.8090
2.13739 44.1922
2.20608 46.8852
2.24043 48.3631
2.27477 49.9384
2.30912 51.6194
2.34347 53.4141
2.37781 55.3341
2.41216 57.3881
2.44651 59.5842
2.48085 61.9326
2.51520 64.4675
2.54955 67.2029
2.58932 70.6417
2.62909 74.4056
2.66886 78.5361
2.70863 83.0818
2.74840 88.0999
2.78817 93.6578
2.82794 99.8351
2.84782 103.184
2.86770 106.723
2.88397 109.769
2.90024 112.960
2.91651 116.309
2.93278 119.827
2.94905 123.526
2.96532 127.417
2.98159 131.513
2.99786 135.829
3.01503 140.641
3.03221 145.735
3.04079 148.395
3.04938 151.135
3.05797 153.957
3.06655 156.864
3.07514 159.861
3.08373 162.951
3.09231 166.137
3.10090 169.424
3.10949 172.817
3.11807 176.320
3.12666 179.938
3.13525 183.676
3.14519 188.162
3.15513 192.826
3.16507 197.677
3.17502 202.725
3.18496 207.982
3.19490 213.457
3.20484 219.165
3.21479 225.118
3.22473 231.332
3.23467 237.819
3.24461 244.600
3.25456 251.688
3.26450 259.107
3.27444 266.874
3.28438 275.013
3.29433 283.548
3.30427 292.507
3.31421 301.915
3.32415 311.806
3.33410 322.212
3.34404 333.171
3.35398 344.721
3.36392 356.907
3.37386 369.776
3.38381 383.383
3.39375 397.782
3.40369 413.040
3.41363 429.223
3.42358 446.411
3.43352 464.686
3.44346 484.144
3.45340 504.891
3.46335 527.045
3.47329 550.732
3.48323 576.103
3.49317 603.317
3.50312 632.564
3.51306 664.046
3.51803 680.702
3.52300 698.004
3.52797 715.991
3.53294 734.699
3.53792 754.171
3.54289 774.442
3.54786 795.561
3.55283 817.574
3.55780 840.539
3.56277 864.502
3.56774 889.527
3.57271 915.677
3.57769 943.026
3.58266 971.639
3.58763 1001.60
3.59260 1032.99
3.59757 1065.92
3.60254 1100.47
3.60751 1136.76
3.61248 1174.90
3.61700 1211.30
3.62152 1249.44
3.62604 1289.44
3.63056 1331.42
3.63508 1375.52
3.63960 1421.87
3.64412 1470.63
3.64864 1521.98
3.65316 1576.12
3.65768 1633.21
3.66220 1693.51
3.66671 1757.24
3.67123 1824.69
3.67575 1896.13
3.68027 1971.89
3.68479 2052.32
3.68976 2146.67
3.69473 2247.70
3.69971 2356.09
3.70468 2472.51
3.70965 2597.81
3.71462 2732.83
3.71959 2878.60
3.72456 3036.25
3.72953 3207.07
3.73451 3392.43
3.73948 3593.93
3.74445 3813.35
3.74942 4052.69
3.75439 4314.14
3.75936 4600.14
3.76185 4753.21
3.76433 4913.37
3.76682 5081.14
3.76930 5256.83
3.77179 5440.85
3.77427 5633.52
3.77676 5835.42
3.77925 6046.83
3.78173 6268.36
3.78422 6500.26
3.78670 6743.18
3.78919 6997.46
3.79167 7263.55
3.79416 7541.75
3.79665 7832.70
3.79913 8136.56
3.80162 8453.93
3.80410 8784.87
3.80659 9129.94
3.80907 9489.23
3.81404 10250.9
3.81902 11070.6
3.82399 11947.2
3.82896 12878.1
3.83393 13858.6
3.83890 14881.8
3.84387 15938.2
3.85426 18197.5
3.86464 20405.3
3.86984 21435.8
3.87503 22385.8
3.88022 23232.1
3.88541 23952.2
3.89056 24522.4
3.89571 24933.5
3.90085 25173.8
3.90600 25236.4
3.90943 25178.2
3.91222 25072.7
3.91501 24915.8
3.92058 24454.0
3.92616 23808.2
3.93174 22999.8
3.93731 22053.7
3.94289 20997.9
3.94846 19861.5
3.95404 18673.4
3.96489 16313.1
3.97031 15151.6
3.97574 14025.5
3.98116 12947.5
3.98658 11927.0
3.99201 10970.4
3.99743 10081.1
4.00301 9237.26
4.00859 8465.14
4.01139 8105.11
4.01418 7762.05
4.01697 7435.22
4.01976 7124.32
4.02255 6828.57
4.02534 6547.57
4.02813 6280.52
4.03092 6027.00
4.03371 5786.20
4.03650 5557.68
4.03929 5340.67
4.04208 5134.75
4.04766 4753.49
4.05324 4409.67
4.05882 4099.21
4.06441 3818.46
4.06999 3564.14
4.07557 3333.33
4.08115 3123.43
4.08673 2932.14
4.09054 2811.32
4.09434 2697.66
4.09815 2590.57
4.10195 2489.64
4.10576 2394.35
4.10956 2304.37
4.11337 2219.28
4.11717 2138.74
4.12478 1990.11
4.13239 1856.27
4.14000 1735.34
4.14761 1625.73
4.15320 1551.74
4.15878 1482.64
4.16436 1418.01
4.16994 1357.48
4.17552 1300.70
4.18110 1247.37
4.18668 1197.23
4.19226 1150.02
4.19784 1105.52
4.20343 1063.54
4.20901 1023.88
4.21459 986.371
4.22575 917.238
4.23691 855.064
4.24807 798.944
4.25924 748.130
4.27040 701.971
4.28156 659.918
4.29272 621.498
4.30389 586.312
4.31505 554.009
4.32621 524.282
4.33585 500.474
4.34549 478.241
4.35513 457.442
4.36477 437.957
4.37441 419.676
4.38405 402.501
4.39369 386.344
4.40333 371.126
4.41297 356.777
4.42261 343.233
4.43225 330.434
4.44189 318.329
4.46117 296.007
4.48045 275.925
4.49161 265.206
4.50278 255.094
4.51394 245.541
4.52510 236.508
4.54742 219.857
4.56975 204.883
4.59207 191.369
4.61440 179.132
4.63672 168.017
4.65905 157.893
4.68543 147.049
4.71181 137.271
4.73820 128.426
4.76458 120.402
4.79096 113.102
4.81735 106.443
4.84373 100.345
4.87011 94.7449
4.90259 88.4604
4.93506 82.7722
4.96753 77.6104
5.00000 72.9134
5.02686 69.3400
5.05371 66.0188
5.08057 62.9265
5.10742 60.0436
5.13428 57.3520
5.16113 54.8355
5.18799 52.4794
5.21484 50.2706
5.24170 48.1970
5.26856 46.2480
5.29541 44.4139
5.32227 42.6860
5.34912 41.0562
5.37598 39.5175
5.40283 38.0631
5.42969 36.6871
5.48340 34.1490
5.53711 31.8645
5.59082 29.8015
5.64453 27.9324
5.69824 26.2340
5.75195 24.6864
5.80567 23.2724
5.85938 21.9773
5.90820 20.8922
5.95703 19.8865
6.00586 18.9527
6.05469 18.0852
6.10352 17.2793
6.15234 16.5266
6.20117 15.8209
6.25000 15.1601
6.30371 14.4811
6.35742 13.8481
6.41113 13.2570
6.46484 12.7043
6.51856 12.1869
6.57227 11.7018
6.62598 11.2464
6.67969 10.8185
6.73340 10.4158
6.78711 10.0366
6.84082 9.67900
6.89453 9.34149
7.00195 8.72110
7.10938 8.16534
7.20703 7.70909
7.30469 7.29394
7.40234 6.91526
7.50000 6.56908
7.56836 6.34423
7.63672 6.13257
7.77344 5.74508
7.91016 5.39999
8.04688 5.09187
8.18359 4.81816
8.32031 4.57041
8.45703 4.34771
8.59375 4.14754
8.75000 3.94325
8.90625 3.76225
9.06250 3.60207
9.21875 3.46072
9.37500 3.33654
9.53125 3.22819
9.68750 3.13461
9.84375 3.05500
10.0000 2.98867
10.1667 2.93235
10.3334 2.89094
10.5001 2.86450
10.6667 2.85363
10.8251 2.85866
10.9834 2.87992
11.1418 2.91915
11.3001 2.97877
11.3793 3.01724
11.4585 3.06205
11.5376 3.11391
11.6168 3.17333
11.6960 3.24085
11.7752 3.31706
11.8543 3.40424
11.9335 3.50335
12.0252 3.63466
12.1168 3.78634
12.2085 3.96178
12.3002 4.16512
12.3460 4.27886
12.3919 4.40162
12.4377 4.53427
12.4835 4.67775
12.5294 4.83322
12.5752 5.00184
12.6211 5.18505
12.6669 5.38422
12.7169 5.62180
12.7669 5.88337
12.8169 6.17274
12.8669 6.49371
12.9169 6.85076
12.9669 7.24901
13.0169 7.69493
13.0669 8.19629
13.0961 8.51806
13.1253 8.86405
13.1544 9.23674
13.1836 9.63891
13.2128 10.0737
13.2419 10.5448
13.2711 11.0563
13.3003 11.6129
13.3336 12.3114
13.3670 13.0852
13.4003 13.9457
13.4336 14.9057
13.4503 15.4284
13.4670 15.9824
13.4836 16.5705
13.5003 17.1951
13.5170 17.8603
13.5336 18.5693
13.5503 19.3259
13.5670 20.1341
13.5899 21.3399
13.6128 22.6682
13.6357 24.1359
13.6586 25.7628
13.6816 27.5747
13.6930 28.5586
13.7045 29.6000
13.7159 30.7035
13.7274 31.8741
13.7389 33.1175
13.7503 34.4388
13.7701 36.9304
13.7800 38.2852
13.7899 39.7190
13.7998 41.2412
13.8097 42.8578
13.8196 44.5769
13.8295 46.4056
13.8394 48.3577
13.8493 50.4427
13.8592 52.6732
13.8691 55.0610
13.8790 57.6269
13.8889 60.3868
13.8988 63.3615
13.9087 66.5710
13.9201 70.6231
13.9316 75.0795
13.9430 79.9979
13.9545 85.4419
13.9660 91.5033
13.9717 94.7941
13.9774 98.2771
13.9831 101.968
13.9889 105.884
13.9946 110.046
14.0003 114.466
14.0061 119.184
14.0118 124.219
14.0175 129.602
14.0232 135.364
14.0290 141.545
14.0347 148.185
14.0404 155.330
14.0462 163.033
14.0519 171.350
14.0576 180.347
14.0634 190.094
14.0691 200.670
14.0748 212.164
14.0805 224.670
14.0863 238.294
14.0920 253.152
14.0988 272.495
14.1056 293.930
14.1089 305.534
14.1123 317.723
14.1157 330.603
14.1191 344.130
14.1225 358.418
14.1259 373.419
14.1293 389.254
14.1326 405.866
14.1360 423.388
14.1394 441.752
14.1428 461.099
14.1462 481.349
14.1519 517.956
14.1576 557.552
14.1634 600.262
14.1691 646.188
14.1748 695.398
14.1806 747.927
14.1863 803.763
14.1920 862.739
14.1977 924.943
14.2035 990.095
14.2092 1057.95
14.2149 1128.18
14.2264 1274.17
14.2378 1424.07
14.2485 1562.00
14.2591 1694.24
14.2697 1815.97
14.2750 1871.33
14.2803 1922.19
14.2852 1965.30
14.2902 2003.53
14.2952 2036.47
14.3001 2063.79
14.3051 2085.19
14.3101 2100.44
14.3150 2109.38
14.3200 2111.90
14.3233 2110.01
14.3287 2100.85
14.3341 2084.31
14.3395 2060.58
14.3449 2029.98
14.3502 1992.81
14.3556 1949.67
14.3610 1901.02
14.3664 1847.42
14.3746 1756.94
14.3829 1658.60
14.3912 1554.76
14.3994 1447.88
14.4155 1237.86
14.4236 1135.72
14.4317 1037.52
14.4368 977.385
14.4419 919.558
14.4471 864.090
14.4522 811.105
14.4573 760.595
14.4625 712.807
14.4676 667.657
14.4727 625.135
14.4768 593.473
14.4808 563.462
14.4848 534.920
14.4889 507.947
14.4929 482.363
14.4969 458.244
14.5010 435.474
14.5050 413.996
14.5090 393.706
14.5131 374.645
14.5171 356.705
14.5211 339.827
14.5252 323.916
14.5292 308.995
14.5332 294.968
14.5373 281.784
14.5413 269.360
14.5453 257.709
14.5494 246.726
14.5534 236.422
14.5574 226.702
14.5615 217.575
14.5655 208.977
14.5695 200.875
14.5736 193.215
14.5776 186.005
14.5816 179.197
14.5857 172.762
14.5937 160.902
14.6018 150.272
14.6080 142.778
14.6143 135.865
14.6205 129.465
14.6267 123.529
14.6330 118.004
14.6392 112.869
14.6454 108.078
14.6517 103.602
14.6579 99.4058
14.6641 95.4787
14.6704 91.7915
14.6766 88.3244
14.6828 85.0547
14.6891 81.9768
14.6953 79.0710
14.7015 76.3243
14.7096 72.9839
14.7177 69.8679
14.7257 66.9563
14.7338 64.2344
14.7419 61.6794
14.7499 59.2836
14.7580 57.0282
14.7660 54.9074
14.7741 52.9057
14.7822 51.0188
14.7983 47.5469
14.8144 44.4336
14.8306 41.6305
14.8401 40.1020
14.8496 38.6621
14.8687 36.0177
14.8878 33.6490
14.9068 31.5211
14.9259 29.6002
14.9450 27.8620
14.9640 26.2832
14.9831 24.8447
14.9992 23.7242
15.0153 22.6849
15.0315 21.7185
15.0476 20.8184
15.0637 19.9783
15.0799 19.1940
15.0960 18.4604
15.1121 17.7732
15.1283 17.1283
15.1444 16.5232
15.1605 15.9544
15.1767 15.4191
15.2089 14.4395
15.2412 13.5670
15.2735 12.7870
15.3057 12.0880
15.3380 11.4599
15.3702 10.8941
15.4025 10.3834
15.4348 9.92207
15.4670 9.50471
15.4993 9.12677
15.5316 8.78415
15.5638 8.47357
15.5961 8.19194
15.6283 7.93700
15.6606 7.70653
15.6929 7.49890
15.7251 7.31250
15.7574 7.14595
15.7897 6.99807
15.8219 6.86797
15.8542 6.75478
15.8864 6.65784
15.9187 6.57663
15.9510 6.51082
15.9832 6.46014
16.0155 6.42449
16.0624 6.39955
16.1152 6.41038
16.1680 6.46422
16.2208 6.56411
16.2736 6.71439
16.3000 6.81023
16.3264 6.92105
16.3528 7.04795
16.3792 7.19219
16.4056 7.35543
16.4320 7.53932
16.4584 7.74608
16.4848 7.97789
16.5170 8.29944
16.5493 8.66826
16.5816 9.09161
16.6138 9.57782
16.6300 9.84792
16.6461 10.1377
16.6622 10.4492
16.6784 10.7841
16.6945 11.1447
16.7106 11.5333
16.7268 11.9527
16.7429 12.4058
16.7649 13.0847
16.7869 13.8433
16.8089 14.6938
16.8309 15.6512
16.8419 16.1756
16.8529 16.7339
16.8639 17.3289
16.8749 17.9641
16.8859 18.6430
16.8969 19.3697
16.9079 20.1488
16.9189 20.9848
16.9306 21.9479
16.9423 22.9904
16.9541 24.1224
16.9658 25.3547
16.9775 26.6997
16.9893 28.1719
17.0010 29.7885
17.0127 31.5698
17.0201 32.7789
17.0274 34.0668
17.0347 35.4430
17.0421 36.9162
17.0494 38.4984
17.0567 40.1967
17.0641 42.0259
17.0714 44.0009
17.0787 46.1415
17.0861 48.4614
17.0934 50.9861
17.1007 53.7417
17.1081 56.7629
17.1154 60.0765
17.1227 63.7275
17.1300 67.7631
17.1341 70.1715
17.1381 72.7170
17.1421 75.4164
17.1462 78.2817
17.1502 81.3335
17.1542 84.5705
17.1583 88.0149
17.1623 91.6827
17.1663 95.6010
17.1704 99.7687
17.1744 104.215
17.1784 108.960
17.1825 114.038
17.1865 119.449
17.1905 125.228
17.1946 131.401
17.1986 138.012
17.2026 145.056
17.2067 152.597
17.2107 160.626
17.2147 169.215
17.2188 178.352
17.2228 188.089
17.2268 198.456
17.2309 209.513
17.2349 221.235
17.2389 233.680
17.2430 246.875
17.2470 260.883
17.2510 275.658
17.2551 291.258
17.2591 307.699
17.2642 329.917
17.2694 353.504
17.2745 378.562
17.2796 404.989
17.2848 432.867
17.2899 462.049
17.2950 492.529
17.3002 524.228
17.3082 576.316
17.3163 630.602
17.3244 686.586
17.3324 743.365
17.3486 855.950
17.3566 909.646
17.3647 960.187
17.3731 1008.26
17.3814 1050.49
17.3898 1085.83
17.3982 1113.34
17.4037 1126.67
17.4091 1136.20
17.4146 1141.83
17.4200 1143.48
17.4255 1141.14
17.4299 1136.32
17.4343 1128.91
17.4387 1118.99
17.4432 1106.63
17.4476 1091.92
17.4520 1074.98
17.4609 1034.99
17.4678 998.867
17.4746 959.085
17.4815 916.186
17.4884 870.973
17.5020 776.889
17.5156 681.189
17.5237 625.626
17.5317 571.742
17.5398 520.147
17.5478 471.317
17.5547 432.373
17.5615 395.856
17.5683 361.791
17.5751 330.207
17.5819 301.088
17.5853 287.418
17.5887 274.381
17.5921 261.888
17.5955 250.000
17.5989 238.632
17.6023 227.836
17.6057 217.532
17.6091 207.735
17.6126 198.427
17.6160 189.616
17.6194 181.230
17.6228 173.302
17.6262 165.765
17.6296 158.646
17.6330 151.884
17.6364 145.502
17.6398 139.443
17.6432 133.726
17.6466 128.301
17.6500 123.184
17.6534 118.328
17.6568 113.747
17.6621 107.127
17.6673 101.058
17.6726 95.4693
17.6779 90.3383
17.6831 85.6050
17.6884 81.2502
17.6937 77.2308
17.6989 73.5158
17.7042 70.0710
17.7095 66.8839
17.7147 63.9247
17.7200 61.1728
17.7252 58.6046
17.7305 56.2131
17.7358 53.9781
17.7410 51.8859
17.7478 49.3659
17.7547 47.0451
17.7615 44.8992
17.7683 42.9100
17.7751 41.0594
17.7819 39.3390
17.7887 37.7339
17.7955 36.2333
17.8023 34.8260
17.8092 33.5077
17.8160 32.2688
17.8228 31.1029
17.8296 30.0023
17.8364 28.9652
17.8500 27.0574
17.8581 26.0237
17.8661 25.0524
17.8742 24.1385
17.8822 23.2774
17.8903 22.4649
17.8983 21.6974
17.9144 20.2840
17.9305 19.0139
17.9466 17.8679
17.9627 16.8298
17.9788 15.8869
17.9924 15.1534
18.0061 14.4740
18.0197 13.8425
18.0333 13.2551
18.0469 12.7071
18.0606 12.1956
18.0742 11.7170
18.0878 11.2686
18.1014 10.8475
18.1151 10.4521
18.1287 10.0797
18.1423 9.72916
18.1696 9.08583
18.1968 8.51086
18.2240 7.99437
18.2513 7.52890
18.2785 7.10754
18.3058 6.72509
18.3330 6.37659
18.3603 6.05831
18.3875 5.76658
18.4148 5.49864
18.4420 5.25170
18.4693 5.02362
18.4965 4.81244
18.5237 4.61656
18.5510 4.43437
18.5782 4.26467
18.6055 4.10633
18.6327 3.95838
18.6600 3.81984
18.6872 3.68993
18.7145 3.56794
18.7417 3.45326
18.7962 3.24338
18.8507 3.05626
18.8829 2.95504
18.9151 2.86002
18.9795 2.68663
19.0439 2.53255
19.1083 2.39497
19.1727 2.27160
19.2371 2.16046
19.3015 2.05973
19.3659 1.96802
19.4452 1.86599
19.5244 1.77441
19.6037 1.69184
19.6830 1.61706
19.7622 1.54906
19.8415 1.48702
19.9207 1.43019
20.0000 1.37799
20.0865 1.32582
20.1729 1.27810
20.2594 1.23408
20.3458 1.19331
20.4323 1.15555
20.5187 1.12051
20.6052 1.08792
20.6916 1.05755
20.8645 1.00263
21.0374 0.954371
21.2103 0.911676
21.3832 0.873688
21.5388 0.842944
21.6944 0.815036
21.8500 0.789652
22.0056 0.766727
22.1612 0.745491
22.3169 0.725995
22.4725 0.707989
22.6281 0.691539
22.9393 0.662288
23.2505 0.637420
23.5617 0.616328
23.8729 0.598565
24.0804 0.588424
24.2879 0.579541
24.4954 0.571845
24.7028 0.565342
24.9103 0.560057
25.1178 0.555985
25.3253 0.553144
25.5328 0.551645
25.7575 0.551720
25.9823 0.553798
26.2071 0.558225
26.4318 0.565254
26.6566 0.576266
26.7690 0.583613
26.8814 0.592483
26.9938 0.603192
27.1061 0.616118
27.2185 0.631759
27.3309 0.651025
27.4087 0.667080
27.4865 0.685877
27.5643 0.708051
27.6421 0.734435
27.7199 0.766145
27.7588 0.784449
27.7977 0.804707
27.8366 0.827227
27.8755 0.852381
27.9144 0.880615
27.9533 0.912464
27.9922 0.948591
28.0311 0.989784
28.0700 1.03707
28.1089 1.09174
28.1284 1.12236
28.1479 1.15549
28.1673 1.19142
28.1868 1.23050
28.2062 1.27312
28.2257 1.31975
28.2451 1.37091
28.2646 1.42726
28.2883 1.50429
28.3121 1.59184
28.3240 1.64023
28.3359 1.69211
28.3478 1.74782
28.3597 1.80772
28.3715 1.87239
28.3834 1.94233
28.3953 2.01815
28.4072 2.10052
28.4191 2.19045
28.4310 2.28879
28.4429 2.39692
28.4547 2.51610
28.4688 2.67383
28.4758 2.76060
28.4828 2.85315
28.4899 2.95234
28.4969 3.05855
28.5039 3.17282
28.5109 3.29570
28.5180 3.42846
28.5250 3.57182
28.5320 3.72739
28.5390 3.89609
28.5461 4.07992
28.5531 4.28006
28.5601 4.49867
28.5671 4.73786
28.5731 4.95845
28.5790 5.19667
28.5850 5.45502
28.5909 5.73445
28.5969 6.03790
28.6028 6.36646
28.6087 6.72286
28.6147 7.10952
28.6206 7.52968
28.6266 7.98460
28.6325 8.47773
28.6385 9.01191
28.6444 9.59112
28.6503 10.2164
28.6563 10.8917
28.6622 11.6200
28.6698 12.6297
28.6774 13.7346
28.6849 14.9431
28.6925 16.2566
28.7001 17.6828
28.7076 19.2206
28.7152 20.8758
28.7227 22.6441
28.7287 24.1158
28.7346 25.6535
28.7406 27.2601
28.7465 28.9268
28.7584 32.4339
28.7703 36.1270
28.7941 43.8306
28.8060 47.6808
28.8178 51.4006
28.8286 54.5889
28.8394 57.5069
28.8464 59.2103
28.8534 60.7523
28.8603 62.1152
28.8673 63.2830
28.8755 64.3874
28.8836 65.1847
28.8918 65.6616
28.9000 65.8100
28.9097 65.5586
28.9193 64.8512
28.9290 63.7047
28.9387 62.1464
28.9476 60.3748
28.9554 58.5926
28.9632 56.6206
28.9710 54.4808
28.9787 52.2073
28.9943 47.3639
29.0099 42.3184
29.0297 35.9310
29.0396 32.8555
29.0495 29.9101
29.0573 27.6995
29.0651 25.5971
29.0729 23.6074
29.0806 21.7356
