>,72-Hf-177:0.186000
>,72-Hf-178:0.272800
>,72-Hf-179:0.136200
>,72-Hf-180:0.350800
1.625000e-03,5.34662528e+02
1.687500e-03,5.24786032e+02
1.750000e-03,5.15442077e+02
1.812500e-03,5.06588139e+02
1.875000e-03,4.98181207e+02
1.937500e-03,4.90183627e+02
2.000000e-03,4.82564735e+02
2.070000e-03,4.74512826e+02
2.093750e-03,4.71785282e+02
2.140000e-03,4.66808142e+02
2.187500e-03,4.61704480e+02
2.210000e-03,4.59433602e+02
2.280000e-03,4.52379588e+02
2.281250e-03,4.52253803e+02
2.350000e-03,4.45737089e+02
2.375000e-03,4.43370719e+02
2.420000e-03,4.39349578e+02
2.468750e-03,4.34999387e+02
2.490000e-03,4.33204444e+02
2.560000e-03,4.27299740e+02
2.562500e-03,4.27089038e+02
2.568360e-03,4.26620921e+02
2.574220e-03,4.26152909e+02
2.596190e-03,4.24398592e+02
2.618170e-03,4.22644239e+02
2.656250e-03,4.19606583e+02
2.662110e-03,4.19162348e+02
2.750000e-03,4.12507645e+02
2.843750e-03,4.05765621e+02
2.937500e-03,3.99347391e+02
3.031250e-03,3.93230580e+02
3.125000e-03,3.87392356e+02
3.218750e-03,3.81813415e+02
3.312500e-03,3.76470358e+02
3.406250e-03,3.71351927e+02
3.500000e-03,3.66440670e+02
3.593750e-03,3.61723489e+02
3.687500e-03,3.57187804e+02
3.781250e-03,3.52822149e+02
3.875000e-03,3.48616544e+02
3.968750e-03,3.44560779e+02
4.062500e-03,3.40647436e+02
4.250000e-03,3.33213047e+02
4.437500e-03,3.26256260e+02
4.625000e-03,3.19728061e+02
4.812500e-03,3.13586912e+02
5.000000e-03,3.07795510e+02
5.120000e-03,3.04275822e+02
5.156250e-03,3.03213889e+02
5.261250e-03,3.00270979e+02
5.312500e-03,2.98836371e+02
5.402500e-03,2.96422830e+02
5.468750e-03,2.94648441e+02
5.543750e-03,2.92721763e+02
5.625000e-03,2.90637070e+02
5.685000e-03,2.89158596e+02
5.781250e-03,2.86789746e+02
5.826250e-03,2.85725137e+02
5.937500e-03,2.83096293e+02
5.967500e-03,2.82414030e+02
6.093750e-03,2.79546131e+02
6.108750e-03,2.79217930e+02
6.250000e-03,2.76130843e+02
6.406250e-03,2.72841862e+02
6.562500e-03,2.69671575e+02
6.718750e-03,2.66612792e+02
6.875000e-03,2.63659765e+02
7.187500e-03,2.58046136e+02
7.500000e-03,2.52788935e+02
7.812500e-03,2.47852012e+02
8.125000e-03,2.43203961e+02
8.437500e-03,2.38817992e+02
8.750000e-03,2.34670402e+02
9.062500e-03,2.30740314e+02
9.375000e-03,2.27009734e+02
9.687500e-03,2.23462355e+02
1.000000e-02,2.20083763e+02
1.031250e-02,2.16861155e+02
1.062500e-02,2.13782903e+02
1.093750e-02,2.10838830e+02
1.125000e-02,2.08019224e+02
1.156250e-02,2.05315603e+02
1.187500e-02,2.02720706e+02
1.218750e-02,2.00226969e+02
1.250000e-02,1.97828580e+02
1.281250e-02,1.95519032e+02
1.312500e-02,1.93293362e+02
1.343750e-02,1.91173616e+02
1.375000e-02,1.89073872e+02
1.437500e-02,1.85135037e+02
1.500000e-02,1.81447424e+02
1.562500e-02,1.77985425e+02
1.625000e-02,1.74727149e+02
1.687500e-02,1.71653482e+02
1.750000e-02,1.68748144e+02
1.812500e-02,1.65996072e+02
1.875000e-02,1.63384889e+02
1.937500e-02,1.60902816e+02
2.000000e-02,1.58539944e+02
2.066250e-02,1.56154951e+02
2.132500e-02,1.53883701e+02
2.198750e-02,1.51717774e+02
2.265000e-02,1.49649122e+02
2.331250e-02,1.47670997e+02
2.397500e-02,1.45777007e+02
2.463750e-02,1.43961340e+02
2.530000e-02,1.42219007e+02
2.611300e-02,1.40193759e+02
2.636130e-02,1.39576161e+02
2.645780e-02,1.39336237e+02
2.692600e-02,1.38244877e+02
2.742270e-02,1.37088827e+02
2.761560e-02,1.36640043e+02
2.773910e-02,1.36369979e+02
2.848400e-02,1.34743485e+02
2.855210e-02,1.34594848e+02
2.877340e-02,1.34112497e+02
2.936510e-02,1.32897561e+02
2.954530e-02,1.32528067e+02
2.993130e-02,1.31736892e+02
3.017810e-02,1.31259114e+02
3.060670e-02,1.30430519e+02
3.099110e-02,1.29687652e+02
3.108910e-02,1.29498505e+02
3.166800e-02,1.28441345e+02
3.180420e-02,1.28192714e+02
3.224690e-02,1.27385887e+02
3.272930e-02,1.26552230e+02
3.311380e-02,1.25887993e+02
3.340470e-02,1.25386429e+02
3.379060e-02,1.24754384e+02
3.442340e-02,1.23718267e+02
3.456250e-02,1.23490935e+02
3.552740e-02,1.21984895e+02
3.573310e-02,1.21676568e+02
3.649220e-02,1.20540848e+02
3.704270e-02,1.19748991e+02
3.745700e-02,1.19154101e+02
3.835240e-02,1.17917108e+02
3.842190e-02,1.17821256e+02
3.938670e-02,1.16539600e+02
3.966200e-02,1.16187197e+02
4.035160e-02,1.15305944e+02
4.097160e-02,1.14551447e+02
4.131640e-02,1.14132532e+02
4.228130e-02,1.12970321e+02
4.324610e-02,1.11882932e+02
4.421090e-02,1.10795813e+02
4.614060e-02,1.08764725e+02
4.807030e-02,1.06862474e+02
5.000000e-02,1.05076972e+02
5.060000e-02,1.04551337e+02
5.156250e-02,1.03709295e+02
5.279380e-02,1.02680810e+02
5.312500e-02,1.02404748e+02
5.468750e-02,1.01159804e+02
5.498750e-02,1.00930988e+02
5.625000e-02,9.99700693e+01
5.718130e-02,9.92911118e+01
5.781250e-02,9.88318549e+01
5.937500e-02,9.77413363e+01
5.952570e-02,9.76405037e+01
5.989750e-02,9.73918046e+01
6.026930e-02,9.71431790e+01
6.093750e-02,9.66965706e+01
6.101290e-02,9.66481345e+01
6.250000e-02,9.56937679e+01
6.406250e-02,9.47308579e+01
6.562500e-02,9.38050097e+01
6.718750e-02,9.29278582e+01
6.875000e-02,9.20558420e+01
7.031250e-02,9.12428955e+01
7.187500e-02,9.04301651e+01
7.343750e-02,8.96725675e+01
7.500000e-02,8.89151620e+01
7.812500e-02,8.74999306e+01
8.125000e-02,8.61751812e+01
8.437500e-02,8.49323273e+01
8.750000e-02,8.37642657e+01
9.062500e-02,8.26645538e+01
9.375000e-02,8.16270551e+01
9.687500e-02,8.06470481e+01
1.000000e-01,7.97201294e+01
1.023440e-01,7.90612259e+01
1.031250e-01,7.88419743e+01
1.046880e-01,7.84252241e+01
1.062500e-01,7.80095420e+01
1.093750e-01,7.72183780e+01
1.125000e-01,7.64674084e+01
1.140630e-01,7.61094757e+01
1.156250e-01,7.57526614e+01
1.187500e-01,7.50719773e+01
1.190510e-01,7.50095377e+01
1.197950e-01,7.48552641e+01
1.205390e-01,7.47010484e+01
1.218750e-01,7.44242775e+01
1.220260e-01,7.43944047e+01
1.250000e-01,7.38067326e+01
1.281250e-01,7.32269092e+01
1.312500e-01,7.26543084e+01
1.343750e-01,7.21255502e+01
1.359380e-01,7.18629147e+01
1.375000e-01,7.16018665e+01
1.406250e-01,7.11184484e+01
1.433670e-01,7.06967323e+01
1.437500e-01,7.06379839e+01
1.453130e-01,7.04159380e+01
1.468750e-01,7.01952451e+01
1.492340e-01,6.98620539e+01
1.500000e-01,6.97540317e+01
1.531250e-01,6.93484477e+01
1.562500e-01,6.89435929e+01
1.593750e-01,6.85715100e+01
1.625000e-01,6.81995471e+01
1.687500e-01,6.75158209e+01
1.750000e-01,6.68878191e+01
1.803880e-01,6.63901864e+01
1.812500e-01,6.63107686e+01
1.857760e-01,6.59266781e+01
1.875000e-01,6.57806188e+01
1.937500e-01,6.52942327e+01
2.000000e-01,6.48485141e+01
2.024000e-01,6.46917078e+01
2.046880e-01,6.45425707e+01
2.058590e-01,6.44667735e+01
2.064450e-01,6.44312193e+01
