49-In_n-g
> 49-In-113:0.042900
> 49-In-115:0.957100
1.398610e+00 1.33118603e+04
1.399770e+00 1.36536705e+04
1.400860e+00 1.39748546e+04
1.403110e+00 1.46610112e+04
1.407570e+00 1.60798878e+04
1.407800e+00 1.61530587e+04
1.412480e+00 1.77143058e+04
1.415380e+00 1.87056758e+04
1.421840e+00 2.09140402e+04
1.423180e+00 2.13606689e+04
1.425360e+00 2.20872746e+04
1.428880e+00 2.32129417e+04
1.430980e+00 2.38444444e+04
1.432390e+00 2.42684539e+04
1.435910e+00 2.52310325e+04
1.438780e+00 2.59246575e+04
1.439420e+00 2.60793337e+04
1.442940e+00 2.67927807e+04
1.446450e+00 2.73541445e+04
1.446580e+00 2.73687227e+04
1.449970e+00 2.77488789e+04
1.453490e+00 2.79670284e+04
1.454390e+00 2.79762380e+04
1.457000e+00 2.80029473e+04
1.459340e+00 2.79250581e+04
1.462190e+00 2.77026381e+04
1.463150e+00 2.76277183e+04
1.466960e+00 2.71275706e+04
1.469990e+00 2.65807805e+04
1.470770e+00 2.64400232e+04
1.474580e+00 2.55855594e+04
1.477790e+00 2.47451038e+04
1.478390e+00 2.45880097e+04
1.482200e+00 2.34747487e+04
1.485600e+00 2.24025389e+04
1.486010e+00 2.22732434e+04
1.489810e+00 2.10123047e+04
1.493400e+00 1.97913890e+04
1.501040e+00 1.71931238e+04
1.501570e+00 1.70196406e+04
1.506660e+00 1.53535518e+04
1.509470e+00 1.44743950e+04
1.509750e+00 1.43897622e+04
1.512270e+00 1.36280694e+04
1.514990e+00 1.28434760e+04
1.517700e+00 1.20948694e+04
1.517920e+00 1.20373317e+04
1.520420e+00 1.13834972e+04
1.523130e+00 1.07099306e+04
1.525850e+00 1.00742654e+04
1.526090e+00 1.00212980e+04
1.528560e+00 9.47617912e+03
1.531280e+00 8.91488428e+03
1.533990e+00 8.38927955e+03
1.534270e+00 8.33914015e+03
1.537450e+00 7.76970492e+03
1.540910e+00 7.20257025e+03
1.542440e+00 6.97276056e+03
1.544360e+00 6.68437539e+03
1.547820e+00 6.21162660e+03
1.550610e+00 5.86288504e+03
1.551270e+00 5.78038837e+03
1.554730e+00 5.38736344e+03
1.558180e+00 5.02888961e+03
1.558790e+00 4.97125208e+03
1.561640e+00 4.70196879e+03
1.564350e+00 4.46508489e+03
1.566960e+00 4.25340296e+03
1.567070e+00 4.24448180e+03
1.569780e+00 4.03884498e+03
1.572500e+00 3.84697153e+03
1.575130e+00 3.67307847e+03
1.575210e+00 3.66778913e+03
1.577930e+00 3.50029915e+03
1.579220e+00 3.42570585e+03
1.580640e+00 3.34359779e+03
1.583310e+00 3.19952208e+03
1.583360e+00 3.19682412e+03
1.586070e+00 3.05922400e+03
1.587400e+00 2.99607881e+03
1.588790e+00 2.93008781e+03
1.591480e+00 2.80964982e+03
1.591500e+00 2.80875441e+03
1.594220e+00 2.69465297e+03
1.595570e+00 2.64113577e+03
1.596930e+00 2.58722529e+03
1.599650e+00 2.48599355e+03
1.599660e+00 2.48564112e+03
1.602360e+00 2.39049191e+03
1.603740e+00 2.34474382e+03
1.605080e+00 2.30032528e+03
1.607800e+00 2.21506261e+03
1.607830e+00 2.21417002e+03
1.610510e+00 2.13443985e+03
1.611920e+00 2.09582287e+03
1.615940e+00 1.98573690e+03
1.616000e+00 1.98425839e+03
1.620090e+00 1.88348688e+03
1.621370e+00 1.85195456e+03
1.624180e+00 1.78945241e+03
1.626800e+00 1.73119063e+03
1.630120e+00 1.66432648e+03
1.632230e+00 1.62184637e+03
1.636070e+00 1.55160962e+03
1.637660e+00 1.52253712e+03
1.639040e+00 1.49955193e+03
1.642010e+00 1.45009697e+03
1.643090e+00 1.43211858e+03
1.644980e+00 1.40338142e+03
1.647960e+00 1.35808558e+03
1.648520e+00 1.34957695e+03
1.650930e+00 1.31574905e+03
1.652720e+00 1.29063466e+03
1.653900e+00 1.27511177e+03
1.656870e+00 1.23606110e+03
1.656910e+00 1.23553545e+03
1.659840e+00 1.19955459e+03
1.661110e+00 1.18396820e+03
1.662820e+00 1.16428722e+03
1.665310e+00 1.13565103e+03
1.665790e+00 1.13045408e+03
1.668760e+00 1.09832529e+03
1.669500e+00 1.09032755e+03
1.671730e+00 1.06772767e+03
1.673700e+00 1.04778658e+03
1.675450e+00 1.03107277e+03
1.677890e+00 1.00780699e+03
1.679160e+00 9.96427088e+02
1.682090e+00 9.70220653e+02
1.682880e+00 9.63557292e+02
