Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
0.625000 8.48774
0.687500 8.48340
0.750000 8.47960
0.812500 8.47625
0.875000 8.47326
0.937500 8.47057
1.00000 8.46812
1.06250 8.46588
1.12500 8.46382
1.18750 8.46192
1.25000 8.46016
1.37500 8.45699
1.50000 8.45420
1.62500 8.45171
1.75000 8.44948
1.87500 8.44745
2.00000 8.44560
2.18750 8.44308
2.37500 8.44083
2.56250 8.43880
2.75000 8.43695
2.93750 8.43524
3.12500 8.43366
3.31250 8.43219
3.50000 8.43081
3.87500 8.42829
4.25000 8.42601
4.62500 8.42394
5.00000 8.42203
5.31250 8.42054
5.62500 8.41913
5.93750 8.41779
6.25000 8.41650
6.87500 8.41409
7.50000 8.41184
8.12500 8.40972
8.75000 8.40771
9.37500 8.40579
10.0000 8.40394
10.6250 8.40216
11.2500 8.40043
11.8750 8.39875
12.5000 8.39712
13.7500 8.39394
15.0000 8.39088
16.2500 8.38791
17.5000 8.38502
18.7500 8.38218
20.0000 8.37940
21.8750 8.37529
23.7500 8.37127
25.6250 8.36730
27.5000 8.36337
29.3750 8.35949
31.2500 8.35564
33.1250 8.35181
35.0000 8.34800
38.7500 8.34042
42.5000 8.33289
46.2500 8.32537
50.0000 8.31787
53.1250 8.31161
56.2500 8.30535
59.3750 8.29908
62.5000 8.29279
68.7500 8.28015
75.0000 8.26741
81.2500 8.25455
87.5000 8.24154
93.7500 8.22838
100.000 8.21502
106.250 8.20147
112.500 8.18769
118.750 8.17367
125.000 8.15938
134.375 8.13736
143.750 8.11465
150.000 8.09902
156.250 8.08297
162.500 8.06646
168.750 8.04946
175.000 8.03191
181.250 8.01376
187.500 7.99494
193.750 7.97540
200.000 7.95505
207.495 7.92939
211.243 7.91613
214.990 7.90233
222.485 7.87369
229.980 7.84298
233.727 7.82693
237.475 7.81009
241.222 7.79279
244.970 7.77479
248.717 7.75587
252.464 7.73634
256.212 7.71588
259.959 7.69455
263.885 7.67092
267.811 7.64608
271.737 7.61985
275.663 7.59201
279.589 7.56256
283.515 7.53112
285.478 7.51467
287.441 7.49755
291.367 7.46169
294.579 7.43027
297.791 7.39683
299.397 7.37933
301.003 7.36116
302.609 7.34253
304.215 7.32302
305.821 7.30307
307.427 7.28214
309.033 7.26061
310.639 7.23817
312.245 7.21503
313.851 7.19079
315.457 7.16555
317.063 7.13924
319.026 7.10550
320.989 7.06992
322.952 7.03230
324.915 6.99246
326.878 6.95020
328.841 6.90525
330.804 6.85735
332.767 6.80622
334.552 6.75658
335.444 6.73057
336.336 6.70366
337.228 6.67588
338.121 6.64711
339.013 6.61733
339.905 6.58653
340.797 6.55455
341.690 6.52142
342.582 6.48704
343.474 6.45129
344.366 6.41420
345.259 6.37561
346.151 6.33561
347.043 6.29377
348.025 6.24564
349.006 6.19519
349.988 6.14226
350.969 6.08665
351.950 6.02815
352.932 5.96655
353.913 5.90159
354.895 5.83302
355.876 5.76052
356.858 5.68377
357.349 5.64369
357.839 5.60241
358.330 5.55988
358.821 5.51605
359.312 5.47084
359.802 5.42423
360.293 5.37614
360.784 5.32651
361.275 5.27526
361.765 5.22235
362.256 5.16769
362.747 5.11124
363.282 5.04755
363.817 4.98156
364.353 4.91307
364.888 4.84200
365.423 4.76830
365.959 4.69189
366.494 4.61269
367.029 4.53066
367.520 4.45293
368.011 4.37281
368.502 4.29030
368.992 4.20551
369.483 4.11855
369.729 4.07434
369.974 4.02970
370.219 3.98465
370.465 3.93927
370.710 3.89361
370.955 3.84777
371.357 3.77257
371.758 3.69766
372.160 3.62372
372.361 3.58737
372.561 3.55163
372.762 3.51663
372.963 3.48257
373.164 3.44961
373.364 3.41804
373.565 3.38809
373.766 3.36011
373.967 3.33444
374.167 3.31153
374.413 3.28793
374.658 3.27017
374.904 3.25947
375.149 3.25730
375.394 3.26544
375.640 3.28606
375.885 3.32176
376.130 3.37571
376.292 3.42315
376.454 3.48151
376.616 3.55237
376.777 3.63751
376.939 3.73910
377.020 3.79678
377.101 3.85944
377.182 3.92757
377.263 4.00143
377.343 4.08163
377.424 4.16843
377.486 4.23918
377.547 4.31421
377.608 4.39402
377.670 4.47862
377.731 4.56858
377.792 4.66392
377.854 4.76512
377.915 4.87252
