17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
9.375000e-02 3.33897854e+01
9.687500e-02 3.31038552e+01
1.000000e-01 3.28314563e+01
1.031250e-01 3.25715208e+01
1.062500e-01 3.23231396e+01
1.093750e-01 3.20855503e+01
1.125000e-01 3.18578413e+01
1.156250e-01 3.16395580e+01
1.187500e-01 3.14298647e+01
1.218750e-01 3.12283020e+01
1.250000e-01 3.10344177e+01
1.281250e-01 3.08476766e+01
1.312500e-01 3.06676243e+01
1.343750e-01 3.04938794e+01
1.375000e-01 3.03260656e+01
1.437500e-01 3.00070046e+01
1.500000e-01 2.97080098e+01
1.562500e-01 2.94271039e+01
1.625000e-01 2.91624616e+01
1.687500e-01 2.89125677e+01
1.750000e-01 2.86762002e+01
1.812500e-01 2.84521446e+01
1.875000e-01 2.82393403e+01
1.937500e-01 2.80369467e+01
2.000000e-01 2.78440545e+01
2.093750e-01 2.75710592e+01
2.187500e-01 2.73156178e+01
2.281250e-01 2.70759854e+01
2.375000e-01 2.68506444e+01
2.468750e-01 2.66380698e+01
2.562500e-01 2.64372768e+01
2.656250e-01 2.62471241e+01
2.750000e-01 2.60666978e+01
2.843750e-01 2.58951669e+01
2.937500e-01 2.57319206e+01
3.031250e-01 2.55761962e+01
3.125000e-01 2.54275418e+01
3.218750e-01 2.52852707e+01
3.312500e-01 2.51490797e+01
3.406250e-01 2.50185144e+01
3.500000e-01 2.48931910e+01
3.593750e-01 2.47727333e+01
3.687500e-01 2.46568357e+01
3.781250e-01 2.45452710e+01
3.875000e-01 2.44377336e+01
3.968750e-01 2.43340697e+01
4.062500e-01 2.42339054e+01
4.250000e-01 2.40435303e+01
4.437500e-01 2.38650125e+01
4.625000e-01 2.36972890e+01
5.000000e-01 2.33904127e+01
5.312500e-01 2.31594605e+01
5.625000e-01 2.29473574e+01
5.937500e-01 2.27516694e+01
6.250000e-01 2.25705758e+01
6.875000e-01 2.22450947e+01
7.500000e-01 2.19601196e+01
8.125000e-01 2.17076007e+01
8.750000e-01 2.14821348e+01
9.375000e-01 2.12787096e+01
1.000000e+00 2.10931461e+01
1.062500e+00 2.09233893e+01
1.125000e+00 2.07672370e+01
1.187500e+00 2.06228640e+01
1.250000e+00 2.04887525e+01
1.375000e+00 2.02466709e+01
1.500000e+00 2.00331648e+01
1.625000e+00 1.98426866e+01
1.750000e+00 1.96715903e+01
1.875000e+00 1.95159951e+01
2.000000e+00 1.93729390e+01
