Rank by Integral,TOF (us),Rank by TOF,Integral,Peak Width,Rank by Peak Width,Peak Height,Rank by Peak Height,Relevant Isotope
340,19.9445,(84),0.0354852,0.0316745,(338),12.1399,(226),none
341,17.8452,(55),0.0347658,0.038091,(323),10.7929,(282),none
342,41.6707,(298),0.0347169,0.0147206,(409),32.9491,(57),none
343,17.8835,(56),0.034061,0.0928328,(204),11.3426,(264),none
344,13.4593,(25),0.0334176,0.11223,(178),13.5793,(175),none
345,57.0651,(357),0.0321658,0.0614986,(263),6.37876,(419),none
346,19.6974,(78),0.0309242,0.0474156,(301),11.5835,(254),none
347,41.734,(299),0.0304196,0.0169304,(400),22.1259,(75),none
348,20.2296,(88),0.0294083,0.017031,(399),15.3268,(134),none
349,32.5683,(239),0.0291743,0.0247525,(368),13.7732,(170),none
350,19.7897,(80),0.0289214,0.0413939,(317),12.1056,(229),none
351,32.3946,(237),0.0287148,0.0264783,(357),10.3613,(300),none
352,19.3874,(70),0.0285743,0.0154378,(407),14.4754,(150),none
353,23.89,(132),0.0274342,0.0398973,(321),14.0144,(164),none
354,59.2508,(363),0.0268698,0.0361353,(326),11.5949,(252),none
355,12.904,(21),0.0262255,0.0996944,(197),14.224,(157),none
356,22.1779,(108),0.0256946,0.105336,(187),10.8607,(281),none
357,74.7078,(390),0.0253823,0.070818,(242),15.9913,(124),none
358,26.163,(160),0.0252232,0.0208132,(383),13.0307,(199),none
359,21.5833,(99),0.0250607,0.0424166,(313),13.813,(167),none
360,11.5353,(7),0.0241388,0.0520324,(290),13.1932,(188),none
361,31.9509,(231),0.0237931,0.0284237,(346),12.9974,(201),none
362,31.3945,(222),0.0230077,0.0124825,(417),16.4276,(116),none
363,22.5292,(110),0.0228367,0.00684083,(435),30.3781,(61),none
364,30.9437,(216),0.0224462,0.0228923,(374),13.5016,(179),none
365,43.9575,(313),0.0212359,0.0815755,(223),10.2853,(306),none
366,12.3061,(19),0.0208803,0.331619,(87),12.6328,(211),none
367,28.6904,(190),0.0195613,0.0347298,(330),7.1129,(392),none
368,28.641,(188),0.0195073,0.0166574,(402),8.29318,(364),none
