>,14-Si-30:0.030920
1.062500e+00,2.54528937e-02
1.125000e+00,2.47351711e-02
1.187500e+00,2.40749764e-02
1.250000e+00,2.34649977e-02
1.375000e+00,2.23724679e-02
1.500000e+00,2.14195706e-02
1.625000e+00,2.05789912e-02
1.750000e+00,1.98323132e-02
1.875000e+00,1.91613952e-02
2.000000e+00,1.85515087e-02
2.187500e+00,1.77372655e-02
2.375000e+00,1.70224668e-02
2.562500e+00,1.63876253e-02
2.750000e+00,1.58204507e-02
2.937500e+00,1.53084583e-02
3.125000e+00,1.48417121e-02
3.312500e+00,1.44152347e-02
3.500000e+00,1.40234675e-02
3.875000e+00,1.33272952e-02
4.250000e+00,1.27255052e-02
4.625000e+00,1.21985019e-02
5.000000e+00,1.17327301e-02
5.312500e+00,1.13829870e-02
5.625000e+00,1.10621035e-02
5.937500e+00,1.07668673e-02
6.250000e+00,1.04940574e-02
6.875000e+00,1.00055641e-02
7.500000e+00,9.57942074e-03
8.125000e+00,9.20350888e-03
8.750000e+00,8.86928924e-03
9.375000e+00,8.56906829e-03
1.000000e+01,8.29682211e-03
1.062500e+01,8.04898070e-03
1.125000e+01,7.82211253e-03
1.187500e+01,7.61340894e-03
1.250000e+01,7.42057884e-03
1.375000e+01,7.07515832e-03
1.500000e+01,6.77389689e-03
1.625000e+01,6.50811670e-03
1.750000e+01,6.27169335e-03
1.875000e+01,6.05931504e-03
2.000000e+01,5.86673996e-03
2.187500e+01,5.60952182e-03
2.375000e+01,5.38354357e-03
2.562500e+01,5.18285694e-03
2.750000e+01,5.00326012e-03
2.937500e+01,4.84115576e-03
3.125000e+01,4.69366676e-03
3.312500e+01,4.55890209e-03
3.500000e+01,4.43511606e-03
3.875000e+01,4.21508887e-03
4.250000e+01,4.02488702e-03
4.625000e+01,3.85832031e-03
5.000000e+01,3.71095114e-03
5.312500e+01,3.60027181e-03
5.625000e+01,3.49887401e-03
5.937500e+01,3.40559854e-03
6.250000e+01,3.31941134e-03
6.875000e+01,3.16502604e-03
7.500000e+01,3.03037522e-03
8.125000e+01,2.91158789e-03
8.750000e+01,2.80583619e-03
9.375000e+01,2.71084934e-03
1.000000e+02,2.62485165e-03
1.062500e+02,2.54655701e-03
1.125000e+02,2.47489276e-03
1.187500e+02,2.40897038e-03
1.250000e+02,2.34805099e-03
1.375000e+02,2.23894406e-03
1.500000e+02,2.14378084e-03
1.625000e+02,2.05983987e-03
1.750000e+02,1.98509325e-03
1.875000e+02,1.91796185e-03
2.000000e+02,1.85718800e-03
2.187500e+02,1.77600651e-03
2.375000e+02,1.70466334e-03
2.562500e+02,1.64131544e-03
2.750000e+02,1.58458857e-03
2.937500e+02,1.53340039e-03
3.125000e+02,1.48687373e-03
3.312500e+02,1.44435517e-03
3.500000e+02,1.40531785e-03
3.875000e+02,1.33594340e-03
4.250000e+02,1.27599116e-03
4.625000e+02,1.22351171e-03
5.000000e+02,1.17708209e-03
5.312500e+02,1.14222647e-03
5.625000e+02,1.11032875e-03
5.937500e+02,1.08105325e-03
6.250000e+02,1.05389888e-03
6.875000e+02,1.00541557e-03
7.500000e+02,9.63193002e-04
8.125000e+02,9.26002853e-04
8.750000e+02,8.92949618e-04
9.375000e+02,8.63338208e-04
1.000000e+03,8.36630472e-04
1.062500e+03,8.12452246e-04
1.125000e+03,7.90412482e-04
1.156250e+03,7.80685338e-04
1.250000e+03,7.51789295e-04
1.312500e+03,7.35498882e-04
1.375000e+03,7.19434493e-04
1.437500e+03,7.05817705e-04
1.500000e+03,6.92587480e-04
1.531250e+03,6.87025866e-04
1.562500e+03,6.81619502e-04
1.593750e+03,6.76398782e-04
1.625000e+03,6.71402262e-04
1.656250e+03,6.67388984e-04
1.687500e+03,6.63713353e-04
1.718750e+03,6.60459284e-04
1.750000e+03,6.57735494e-04
1.771490e+03,6.56672742e-04
1.792970e+03,6.55984224e-04
1.814450e+03,6.55763216e-04
1.835940e+03,6.56144429e-04
1.857420e+03,6.57190523e-04
1.875000e+03,6.58808065e-04
1.878910e+03,6.59227453e-04
1.900390e+03,6.62656678e-04
1.921880e+03,6.67455092e-04
1.941410e+03,6.73471643e-04
1.960940e+03,6.81508815e-04
1.970700e+03,6.86493162e-04
1.980470e+03,6.92243139e-04
1.990240e+03,6.98867534e-04
2.000000e+03,7.06533264e-04
2.009610e+03,7.15466952e-04
2.019230e+03,7.25799371e-04
2.028840e+03,7.37787337e-04
2.038450e+03,7.51837359e-04
2.048060e+03,7.68336553e-04
2.057670e+03,7.87770983e-04
2.067290e+03,8.10968904e-04
2.076900e+03,8.38594970e-04
2.081930e+03,8.55396536e-04
2.086970e+03,8.74025382e-04
2.092000e+03,8.94745440e-04
2.097040e+03,9.17862943e-04
2.102070e+03,9.43758390e-04
2.107110e+03,9.72877465e-04
2.112140e+03,1.00576083e-03
2.117180e+03,1.04305516e-03
2.121070e+03,1.07541894e-03
2.124960e+03,1.11135707e-03
2.128850e+03,1.15140447e-03
2.132740e+03,1.19618882e-03
2.136630e+03,1.24647074e-03
2.140520e+03,1.30291502e-03
2.144410e+03,1.36711403e-03
2.148300e+03,1.44034478e-03
2.150820e+03,1.49332551e-03
2.153340e+03,1.55131837e-03
2.155850e+03,1.61502657e-03
2.158370e+03,1.68515863e-03
2.160890e+03,1.76267128e-03
2.163410e+03,1.84855708e-03
2.165920e+03,1.94410361e-03
2.168440e+03,2.05080165e-03
2.170730e+03,2.15902986e-03
2.173020e+03,2.27958587e-03
2.175310e+03,2.41441765e-03
