>,28-Ni-60:0.262230
>,28-Ni-61:0.011399
>,28-Ni-62:0.036346
>,28-Ni-64:0.009255
2.048410e-01,2.72982255e+01
2.093750e-01,2.71968927e+01
2.096820e-01,2.71903241e+01
2.187500e-01,2.69975155e+01
2.193640e-01,2.69851278e+01
2.281250e-01,2.68096673e+01
2.290470e-01,2.67918770e+01
2.328130e-01,2.67197398e+01
2.375000e-01,2.66320680e+01
2.387290e-01,2.66096466e+01
2.421880e-01,2.65469796e+01
2.468750e-01,2.64640681e+01
2.484110e-01,2.64379194e+01
2.500000e-01,2.64110473e+01
2.562500e-01,2.63053512e+01
2.580930e-01,2.62753881e+01
2.609380e-01,2.62294347e+01
2.656250e-01,2.61556551e+01
2.677750e-01,2.61231124e+01
2.750000e-01,2.60143645e+01
2.774580e-01,2.59791047e+01
2.843750e-01,2.58804740e+01
2.844790e-01,2.58790531e+01
2.915000e-01,2.57834705e+01
2.937500e-01,2.57529708e+01
2.985220e-01,2.56907969e+01
3.000000e-01,2.56716259e+01
3.031250e-01,2.56310917e+01
3.055430e-01,2.56009119e+01
3.125000e-01,2.55145185e+01
3.195860e-01,2.54300100e+01
3.218750e-01,2.54029109e+01
3.312500e-01,2.52964509e+01
3.336290e-01,2.52705648e+01
3.406250e-01,2.51950173e+01
3.476720e-01,2.51219443e+01
3.500000e-01,2.50979622e+01
3.593750e-01,2.50048844e+01
3.617140e-01,2.49824103e+01
3.687500e-01,2.49152493e+01
3.757570e-01,2.48503687e+01
3.781250e-01,2.48285688e+01
3.875000e-01,2.47447065e+01
3.898000e-01,2.47247055e+01
3.968750e-01,2.46636024e+01
4.000000e-01,2.46373835e+01
4.035750e-01,2.46073890e+01
4.062500e-01,2.45850646e+01
4.156250e-01,2.45092221e+01
4.173500e-01,2.44957158e+01
4.250000e-01,2.44361586e+01
4.311250e-01,2.43901310e+01
4.343750e-01,2.43658367e+01
4.437500e-01,2.42981958e+01
4.449000e-01,2.42901769e+01
4.500000e-01,2.42548166e+01
4.531250e-01,2.42331498e+01
4.586750e-01,2.41958027e+01
4.625000e-01,2.41701770e+01
4.724500e-01,2.41076041e+01
5.000000e-01,2.39357111e+01
5.312500e-01,2.37576928e+01
5.435870e-01,2.36918291e+01
5.500000e-01,2.36580526e+01
