>,38-Sr-87:0.070000
>,38-Sr-88:0.825800
>,38-Sr-89:0.000000
>,38-Sr-90:0.000000
2.562500e-03,3.83346429e+00
2.656250e-03,3.76534495e+00
2.750000e-03,3.70074458e+00
2.843750e-03,3.63936465e+00
2.937500e-03,3.58094788e+00
3.031250e-03,3.52527342e+00
3.125000e-03,3.47211749e+00
3.218750e-03,3.42130941e+00
3.312500e-03,3.37267295e+00
3.406250e-03,3.32605572e+00
3.500000e-03,3.28133156e+00
3.593750e-03,3.23837136e+00
3.687500e-03,3.19705821e+00
3.781250e-03,3.15729432e+00
3.875000e-03,3.11897873e+00
3.968750e-03,3.08203983e+00
4.062500e-03,3.04637990e+00
4.250000e-03,2.97864937e+00
4.437500e-03,2.91525497e+00
4.625000e-03,2.85576371e+00
4.812500e-03,2.79979235e+00
5.000000e-03,2.74699517e+00
5.156250e-03,2.70522492e+00
5.312500e-03,2.66531255e+00
5.468750e-03,2.62712483e+00
5.625000e-03,2.59053873e+00
5.781250e-03,2.55545346e+00
5.937500e-03,2.52176303e+00
6.093750e-03,2.48938175e+00
6.250000e-03,2.45821784e+00
6.406250e-03,2.42820783e+00
6.562500e-03,2.39927692e+00
6.718750e-03,2.37136174e+00
6.875000e-03,2.34440273e+00
7.187500e-03,2.29315631e+00
7.500000e-03,2.24515849e+00
7.812500e-03,2.20006559e+00
8.125000e-03,2.15761413e+00
8.437500e-03,2.11754198e+00
8.750000e-03,2.07964229e+00
9.062500e-03,2.04372846e+00
9.375000e-03,2.00962516e+00
9.687500e-03,1.97719302e+00
1.000000e-02,1.94629303e+00
1.031250e-02,1.91681819e+00
1.062500e-02,1.88865348e+00
1.093750e-02,1.86171215e+00
1.125000e-02,1.83590344e+00
1.156250e-02,1.81114983e+00
1.187500e-02,1.78738260e+00
1.218750e-02,1.76453923e+00
1.250000e-02,1.74256529e+00
1.281250e-02,1.72140122e+00
1.312500e-02,1.70099864e+00
1.343750e-02,1.68131321e+00
1.375000e-02,1.66231253e+00
1.437500e-02,1.62618333e+00
1.500000e-02,1.59234254e+00
1.562500e-02,1.56056544e+00
1.625000e-02,1.53064410e+00
1.687500e-02,1.50240318e+00
1.750000e-02,1.47570126e+00
1.812500e-02,1.45039429e+00
1.875000e-02,1.42637231e+00
1.937500e-02,1.40352235e+00
2.000000e-02,1.38176565e+00
2.066250e-02,1.35979307e+00
2.132500e-02,1.33885335e+00
2.198750e-02,1.31888183e+00
2.265000e-02,1.29979088e+00
2.331250e-02,1.28153000e+00
2.397500e-02,1.26403364e+00
2.463750e-02,1.24725942e+00
2.530000e-02,1.23114791e+00
2.607190e-02,1.21335946e+00
2.645780e-02,1.20446871e+00
2.684380e-02,1.19614233e+00
2.761560e-02,1.17949819e+00
2.838750e-02,1.16387668e+00
2.877340e-02,1.15606881e+00
2.915940e-02,1.14871912e+00
2.993130e-02,1.13402514e+00
3.108910e-02,1.11323158e+00
3.147500e-02,1.10668109e+00
3.224690e-02,1.09358422e+00
3.301880e-02,1.08117667e+00
3.340470e-02,1.07497628e+00
3.456250e-02,1.05731578e+00
3.552740e-02,1.04327296e+00
3.610630e-02,1.03518262e+00
3.649220e-02,1.02979159e+00
3.745700e-02,1.01683448e+00
3.765000e-02,1.01434229e+00
3.842190e-02,1.00437850e+00
3.919380e-02,9.94787102e-01
3.938670e-02,9.92391021e-01
4.035160e-02,9.80836237e-01
4.073750e-02,9.76448633e-01
4.131640e-02,9.69868951e-01
4.228130e-02,9.58935278e-01
4.382500e-02,9.42591132e-01
4.421090e-02,9.38506636e-01
4.536880e-02,9.27033068e-01
4.614060e-02,9.19387669e-01
4.691250e-02,9.12210057e-01
4.807030e-02,9.01447333e-01
4.845630e-02,8.98070594e-01
5.000000e-02,8.84570217e-01
5.156250e-02,8.71619882e-01
5.312500e-02,8.59248067e-01
5.468750e-02,8.47430008e-01
5.625000e-02,8.36106181e-01
5.781250e-02,8.25260769e-01
5.937500e-02,8.14852114e-01
6.093750e-02,8.04854506e-01
6.250000e-02,7.95239910e-01
6.406250e-02,7.85996642e-01
6.562500e-02,7.77083566e-01
6.718750e-02,7.68629079e-01
6.875000e-02,7.60200285e-01
7.187500e-02,7.44451747e-01
7.500000e-02,7.29716746e-01
7.812500e-02,7.15893489e-01
8.125000e-02,7.02894131e-01
8.437500e-02,6.90643714e-01
8.750000e-02,6.79073343e-01
9.062500e-02,6.68124953e-01
9.375000e-02,6.57746275e-01
9.687500e-02,6.47889512e-01
1.000000e-01,6.38515294e-01
1.031250e-01,6.29586310e-01
1.062500e-01,6.21066623e-01
1.093750e-01,6.12930752e-01
1.125000e-01,6.05148220e-01
1.156250e-01,5.97699092e-01
1.187500e-01,5.90557179e-01
1.218750e-01,5.83707679e-01
1.250000e-01,5.77128697e-01
1.281250e-01,5.70805638e-01
1.312500e-01,5.64720309e-01
1.343750e-01,5.58956068e-01
1.375000e-01,5.53209993e-01
1.437500e-01,5.42494383e-01
1.500000e-01,5.32488340e-01
1.562500e-01,5.23123766e-01
1.625000e-01,5.14339036e-01
1.687500e-01,5.06081008e-01
1.750000e-01,4.98301346e-01
1.812500e-01,4.90960815e-01
1.875000e-01,4.84020551e-01
1.937500e-01,4.77451049e-01
2.000000e-01,4.71220358e-01
2.093750e-01,4.62452416e-01
2.187500e-01,4.54306335e-01
2.281250e-01,4.46719559e-01
2.375000e-01,4.39638870e-01
2.468750e-01,4.33016253e-01
2.562500e-01,4.26809364e-01
2.656250e-01,4.20982447e-01
2.750000e-01,4.15500359e-01
2.843750e-01,4.10338009e-01
2.937500e-01,4.05466831e-01
3.031250e-01,4.00866416e-01
3.125000e-01,3.96514956e-01
3.218750e-01,3.92396278e-01
3.312500e-01,3.88491367e-01
3.406250e-01,3.84789479e-01
3.500000e-01,3.81275190e-01
3.593750e-01,3.77941044e-01
3.687500e-01,3.74772234e-01
3.781250e-01,3.71822861e-01
3.875000e-01,3.68885974e-01
3.968750e-01,3.66206160e-01
4.062500e-01,3.63537395e-01
4.250000e-01,3.58676166e-01
4.437500e-01,3.54254009e-01
4.625000e-01,3.50229083e-01
5.000000e-01,3.43250485e-01
5.312500e-01,3.38366850e-01
5.625000e-01,3.34195438e-01
5.937500e-01,3.30934736e-01
6.250000e-01,3.27721602e-01
6.875000e-01,3.23338057e-01
7.500000e-01,3.20695231e-01
7.812500e-01,3.19960509e-01
8.125000e-01,3.19632722e-01
8.281250e-01,3.19491117e-01
8.750000e-01,3.19783802e-01
9.375000e-01,3.21234365e-01
1.000000e+00,3.23802122e-01
1.062500e+00,3.27480739e-01
1.125000e+00,3.32256136e-01
1.187500e+00,3.38134139e-01
1.250000e+00,3.45143501e-01
1.312500e+00,3.53342866e-01
1.375000e+00,3.62759531e-01
1.437500e+00,3.73530693e-01
1.500000e+00,3.85720755e-01
1.562500e+00,3.99503191e-01
1.625000e+00,4.15005528e-01
1.687500e+00,4.32455861e-01
1.750000e+00,4.52058694e-01
1.812500e+00,4.74123759e-01
1.875000e+00,4.98965025e-01
1.937500e+00,5.27009828e-01
2.000000e+00,5.58651931e-01
2.055750e+00,5.90479532e-01
2.111500e+00,6.26300634e-01
2.167250e+00,6.66685735e-01
2.187500e+00,6.82763012e-01
2.195130e+00,6.88823483e-01
2.223000e+00,7.12405552e-01
2.250880e+00,7.37548597e-01
2.278750e+00,7.64392666e-01
2.306630e+00,7.93084710e-01
2.334500e+00,8.23785780e-01
2.362380e+00,8.56656824e-01
2.375000e+00,8.72609586e-01
2.390250e+00,8.91891255e-01
2.418130e+00,9.29761274e-01
2.446000e+00,9.70585315e-01
2.476660e+00,1.01930605e+00
2.507330e+00,1.07242277e+00
2.537990e+00,1.13047451e+00
2.562500e+00,1.18131376e+00
2.568650e+00,1.19407173e+00
2.599310e+00,1.26393984e+00
2.629980e+00,1.34092693e+00
2.660640e+00,1.42603404e+00
2.691300e+00,1.52043016e+00
2.721960e+00,1.62553627e+00
2.750000e+00,1.73294409e+00
2.752630e+00,1.74301888e+00
2.767960e+00,1.80703397e+00
2.783290e+00,1.87492705e+00
2.798620e+00,1.94702713e+00
2.813950e+00,2.02369822e+00
2.829280e+00,2.10532530e+00
2.844610e+00,2.19234238e+00
2.859940e+00,2.28523246e+00
2.875280e+00,2.38453453e+00
2.890610e+00,2.49085061e+00
2.905940e+00,2.60482470e+00
2.921270e+00,2.72721278e+00
2.936600e+00,2.85886886e+00
2.937500e+00,2.86722593e+00
2.953330e+00,3.01421999e+00
2.970050e+00,3.18323527e+00
2.986780e+00,3.36758754e+00
3.003500e+00,3.56920883e+00
3.020230e+00,3.79033210e+00
3.036950e+00,4.03351239e+00
3.053680e+00,4.30174566e+00
3.070400e+00,4.59855295e+00
3.085730e+00,4.89928954e+00
3.101060e+00,5.23128813e+00
3.116390e+00,5.59900772e+00
3.125000e+00,5.82839663e+00
3.131730e+00,6.00769926e+00
3.139390e+00,6.22931467e+00
3.147060e+00,6.46360006e+00
3.154720e+00,6.71150747e+00
3.162390e+00,6.97405886e+00
3.170050e+00,7.25248626e+00
3.177720e+00,7.54794465e+00
3.185390e+00,7.86202304e+00
3.193050e+00,8.19598145e+00
3.199670e+00,8.50187143e+00
3.206290e+00,8.82512141e+00
3.212910e+00,9.16699139e+00
3.219530e+00,9.52895136e+00
3.226150e+00,9.91254134e+00
3.232770e+00,1.03192313e+01
3.239390e+00,1.07510513e+01
3.246010e+00,1.12098913e+01
3.252630e+00,1.16980613e+01
3.259250e+00,1.22176612e+01
3.265870e+00,1.27714212e+01
3.272490e+00,1.33621412e+01
3.279120e+00,1.39929012e+01
3.285740e+00,1.46668511e+01
3.292360e+00,1.53876311e+01
3.298980e+00,1.61591611e+01
3.306640e+00,1.71212995e+01
3.312500e+00,1.79178916e+01
3.314310e+00,1.81639381e+01
3.321970e+00,1.92943575e+01
3.329640e+00,2.05201868e+01
3.337300e+00,2.18498962e+01
3.344970e+00,2.32914655e+01
3.352640e+00,2.48535749e+01
3.360300e+00,2.65437842e+01
3.365880e+00,2.78579565e+01
3.373540e+00,2.97866558e+01
3.381210e+00,3.18606052e+01
3.388870e+00,3.40826745e+01
3.396540e+00,3.64525139e+01
3.404200e+00,3.89668332e+01
3.411870e+00,4.16168126e+01
3.419540e+00,4.43897119e+01
3.427200e+00,4.72652313e+01
3.436040e+00,5.06735190e+01
3.444870e+00,5.41329767e+01
3.453700e+00,5.75822145e+01
3.462540e+00,6.09477322e+01
3.471370e+00,6.41495199e+01
3.480210e+00,6.71011276e+01
3.489040e+00,6.97165254e+01
3.497880e+00,7.19135331e+01
3.500000e+00,7.23286066e+01
3.505910e+00,7.34857228e+01
3.513940e+00,7.46050129e+01
3.521970e+00,7.52399030e+01
