>,24-Cr-53:0.095001
>,24-Cr-54:0.023650
3.687500e-01,4.27991879e+00
3.781250e-01,4.26968723e+00
3.875000e-01,4.25982979e+00
3.968750e-01,4.25033240e+00
4.062500e-01,4.24116383e+00
4.250000e-01,4.22375478e+00
4.437500e-01,4.20744526e+00
4.625000e-01,4.19213665e+00
5.000000e-01,4.16418176e+00
5.312500e-01,4.14319158e+00
5.625000e-01,4.12393979e+00
5.937500e-01,4.10623719e+00
6.250000e-01,4.08986845e+00
6.875000e-01,4.06056870e+00
7.500000e-01,4.03501691e+00
8.125000e-01,4.01249411e+00
8.750000e-01,3.99247491e+00
9.375000e-01,3.97450535e+00
1.000000e+00,3.95819320e+00
1.062500e+00,3.94335143e+00
1.125000e+00,3.92976055e+00
1.187500e+00,3.91726503e+00
1.250000e+00,3.90572598e+00
1.375000e+00,3.88506349e+00
1.500000e+00,3.86705208e+00
1.625000e+00,3.85116640e+00
1.750000e+00,3.83706491e+00
1.875000e+00,3.82440273e+00
2.000000e+00,3.81289874e+00
2.187500e+00,3.79755017e+00
2.375000e+00,3.78408409e+00
2.562500e+00,3.77213397e+00
2.750000e+00,3.76146788e+00
2.937500e+00,3.75184800e+00
3.125000e+00,3.74309097e+00
3.312500e+00,3.73510416e+00
3.500000e+00,3.72776580e+00
3.875000e+00,3.71475300e+00
4.250000e+00,3.70353151e+00
4.625000e+00,3.69371822e+00
5.000000e+00,3.68506978e+00
5.312500e+00,3.67859436e+00
5.625000e+00,3.67266828e+00
5.937500e+00,3.66722397e+00
6.250000e+00,3.66221614e+00
6.875000e+00,3.65326256e+00
7.500000e+00,3.64549560e+00
8.125000e+00,3.63868495e+00
8.750000e+00,3.63265509e+00
9.375000e+00,3.62727971e+00
1.000000e+01,3.62243231e+00
1.062500e+01,3.61804840e+00
1.125000e+01,3.61406247e+00
1.187500e+01,3.61042462e+00
1.250000e+01,3.60708555e+00
1.375000e+01,3.60116912e+00
1.500000e+01,3.59609702e+00
1.625000e+01,3.59169212e+00
1.750000e+01,3.58784885e+00
1.875000e+01,3.58445678e+00
2.000000e+01,3.58144808e+00
2.187500e+01,3.57752907e+00
2.375000e+01,3.57420902e+00
2.562500e+01,3.57136664e+00
2.750000e+01,3.56893218e+00
2.937500e+01,3.56682012e+00
3.125000e+01,3.56499922e+00
3.312500e+01,3.56340469e+00
3.500000e+01,3.56203069e+00
3.687500e+01,3.56089960e+00
3.875000e+01,3.55980283e+00
4.250000e+01,3.55814574e+00
4.625000e+01,3.55693658e+00
5.000000e+01,3.55610169e+00
5.312500e+01,3.55563372e+00
5.625000e+01,3.55534460e+00
5.937500e+01,3.55520879e+00
6.250000e+01,3.55521311e+00
6.875000e+01,3.55556961e+00
7.500000e+01,3.55630467e+00
8.125000e+01,3.55735319e+00
8.750000e+01,3.55864913e+00
9.375000e+01,3.56015794e+00
1.000000e+02,3.56184692e+00
1.062500e+02,3.56368973e+00
1.125000e+02,3.56566075e+00
1.187500e+02,3.56775569e+00
1.250000e+02,3.56994873e+00
1.312500e+02,3.57226865e+00
1.375000e+02,3.57460073e+00
1.500000e+02,3.57955483e+00
1.625000e+02,3.58475607e+00
1.750000e+02,3.59015940e+00
1.875000e+02,3.59575160e+00
2.000000e+02,3.60149782e+00
2.187500e+02,3.61038319e+00
2.375000e+02,3.61954486e+00
2.562500e+02,3.62895306e+00
2.750000e+02,3.63860050e+00
2.937500e+02,3.64845131e+00
3.125000e+02,3.65850493e+00
3.312500e+02,3.66874847e+00
3.500000e+02,3.67917726e+00
3.687500e+02,3.68979466e+00
3.875000e+02,3.70057710e+00
4.062500e+02,3.71162431e+00
4.250000e+02,3.72268064e+00
4.625000e+02,3.74549079e+00
5.000000e+02,3.76900768e+00
5.312500e+02,3.78916119e+00
5.625000e+02,3.80980467e+00
5.937500e+02,3.83097955e+00
6.250000e+02,3.85269066e+00
6.562500e+02,3.87519064e+00
6.875000e+02,3.89775277e+00
7.500000e+02,3.94513925e+00
8.125000e+02,3.99496557e+00
8.750000e+02,4.04739789e+00
9.375000e+02,4.10259557e+00
9.999990e+02,4.16073439e+00
1.001960e+03,4.16260949e+00
1.002450e+03,4.16307805e+00
1.003910e+03,4.16447135e+00
1.007810e+03,4.16823517e+00
1.009280e+03,4.16965530e+00
1.011920e+03,4.17220573e+00
1.016600e+03,4.17672695e+00
1.019290e+03,4.17932569e+00
1.021390e+03,4.18137650e+00
1.022950e+03,4.18289996e+00
1.031250e+03,4.19102221e+00
1.034670e+03,4.19436906e+00
1.038090e+03,4.19777294e+00
1.040330e+03,4.20000839e+00
1.065430e+03,4.22505740e+00
1.068360e+03,4.22807827e+00
1.078210e+03,4.23828495e+00
1.085940e+03,4.24629870e+00
1.126950e+03,4.28881478e+00
1.128910e+03,4.29094059e+00
1.140630e+03,4.30374654e+00
1.156430e+03,4.32101100e+00
1.188480e+03,4.35603827e+00
1.189450e+03,4.35714841e+00
1.195310e+03,4.36390550e+00
1.234640e+03,4.40925709e+00
1.250000e+03,4.42697659e+00
1.278640e+03,4.46202626e+00
