>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
4.421090e-02,1.31539611e-01
4.614060e-02,1.28758913e-01
4.807030e-02,1.26147548e-01
5.000000e-02,1.23688662e-01
5.060000e-02,1.22962423e-01
5.156250e-02,1.21800759e-01
5.208750e-02,1.21192594e-01
5.312500e-02,1.19995613e-01
5.357500e-02,1.19496808e-01
5.468750e-02,1.18268518e-01
5.506250e-02,1.17870188e-01
5.625000e-02,1.16613682e-01
5.655000e-02,1.16308039e-01
5.781250e-02,1.15026620e-01
5.803750e-02,1.14806459e-01
5.937500e-02,1.13502545e-01
5.952500e-02,1.13361446e-01
6.093750e-02,1.12037583e-01
6.101250e-02,1.11969708e-01
6.250000e-02,1.10628311e-01
6.406250e-02,1.09271374e-01
6.562500e-02,1.07963570e-01
6.718750e-02,1.06701956e-01
6.875000e-02,1.05483721e-01
7.187500e-02,1.03167333e-01
7.500000e-02,1.00995377e-01
7.812500e-02,9.89541416e-02
8.125000e-02,9.70317006e-02
8.437500e-02,9.52172871e-02
8.750000e-02,9.35011224e-02
9.062500e-02,9.18746750e-02
9.375000e-02,9.03301276e-02
9.687500e-02,8.88609542e-02
1.000000e-01,8.74610666e-02
1.027530e-01,8.62841714e-02
1.031250e-01,8.61254771e-02
1.055070e-01,8.51522983e-02
1.062500e-01,8.48493517e-02
1.082600e-01,8.40632458e-02
1.093750e-01,8.36280397e-02
1.110130e-01,8.30141345e-02
1.125000e-01,8.24579189e-02
1.137660e-01,8.20027724e-02
1.156250e-01,8.13357284e-02
1.165190e-01,8.10269752e-02
1.187500e-01,8.02579631e-02
1.192730e-01,8.00843363e-02
1.218750e-01,7.92221283e-02
1.220260e-01,7.91738695e-02
1.250000e-01,7.82252372e-02
1.281250e-01,7.72656027e-02
1.312500e-01,7.63407803e-02
1.343750e-01,7.54489665e-02
1.375000e-01,7.45881870e-02
1.437500e-01,7.29508579e-02
1.500000e-01,7.14145964e-02
1.562500e-01,6.99708090e-02
1.625000e-01,6.86113571e-02
1.687500e-01,6.73284359e-02
1.750000e-01,6.61150005e-02
1.812500e-01,6.49649958e-02
1.875000e-01,6.38729812e-02
1.937500e-01,6.28346356e-02
2.000000e-01,6.18459465e-02
2.068040e-01,6.08300573e-02
2.093750e-01,6.04471660e-02
2.136080e-01,5.98548666e-02
2.187500e-01,5.91371061e-02
2.204130e-01,5.89186754e-02
2.272170e-01,5.80272903e-02
2.281250e-01,5.79086107e-02
2.340210e-01,5.71815699e-02
2.375000e-01,5.67535450e-02
2.408250e-01,5.63668715e-02
2.468750e-01,5.56649434e-02
2.476290e-01,5.55820539e-02
2.544330e-01,5.48357357e-02
2.562500e-01,5.46369905e-02
2.647170e-01,5.37576925e-02
2.656250e-01,5.36637189e-02
2.750000e-01,5.27412710e-02
2.843750e-01,5.18647695e-02
2.937500e-01,5.10298886e-02
3.031250e-01,5.02340917e-02
3.125000e-01,4.94743431e-02
3.218750e-01,4.87482774e-02
3.312500e-01,4.80533224e-02
3.406250e-01,4.73873628e-02
3.500000e-01,4.67483970e-02
3.593750e-01,4.61346972e-02
3.687500e-01,4.55442993e-02
3.781250e-01,4.49766682e-02
3.875000e-01,4.44289841e-02
3.968750e-01,4.39016038e-02
4.062500e-01,4.33928975e-02
4.250000e-01,4.24264077e-02
4.437500e-01,4.15198680e-02
4.625000e-01,4.06692050e-02
5.000000e-01,3.91161264e-02
5.312500e-01,3.79500639e-02
5.625000e-01,3.68808341e-02
5.937500e-01,3.58959519e-02
6.250000e-01,3.49864583e-02
6.875000e-01,3.33572926e-02
7.500000e-01,3.19364717e-02
8.125000e-01,3.06829220e-02
8.750000e-01,2.95687753e-02
9.375000e-01,2.85677311e-02
1.000000e+00,2.76597949e-02
1.062500e+00,2.68332657e-02
1.125000e+00,2.60774771e-02
1.187500e+00,2.53810388e-02
1.250000e+00,2.47379529e-02
1.368100e+00,2.36492815e-02
1.375000e+00,2.35861024e-02
1.486210e+00,2.26917712e-02
1.500000e+00,2.25813060e-02
1.546240e+00,2.22530611e-02
1.592480e+00,2.19251565e-02
1.625000e+00,2.16955021e-02
1.684950e+00,2.13166160e-02
1.687500e+00,2.13005353e-02
1.695310e+00,2.12512872e-02
1.703130e+00,2.12019837e-02
1.718750e+00,2.11035157e-02
1.750000e+00,2.09066460e-02
1.875000e+00,2.01985600e-02
2.000000e+00,1.95561880e-02
2.181020e+00,1.87280234e-02
2.187500e+00,1.86985205e-02
2.211830e+00,1.86006108e-02
2.236160e+00,1.85027444e-02
2.284810e+00,1.83071225e-02
2.375000e+00,1.79448276e-02
2.382130e+00,1.79192214e-02
2.562500e+00,1.72754964e-02
2.576750e+00,1.72297029e-02
2.750000e+00,1.66764033e-02
2.937500e+00,1.61368577e-02
3.059950e+00,1.58145467e-02
3.125000e+00,1.56442604e-02
3.214920e+00,1.54280999e-02
